tag,game_id,arm,status,wall_seconds,imgsz_observed,person_rows,denominator_evaluated_frames,denominator_reason,frames_with_rows,person_rows_per_evaluated_frame,distinct_track_ids,median_track_len_rows,ball_rows_detected,ball_rows_total,p95_norm_footpoint_step,denominator_step_pairs,source_height
wnba_01_1080p_armP,wnba_01_1080p,P,COMPLETE,1668.4,640,1433,,max_frames_is_detector_dependent_in_this_route,458,,10,158.0,414,500,0.3315283564001633,1423,1080
wnba_01_1080p_armN,wnba_01_1080p,N,COMPLETE,2193.4,1920,2940,,max_frames_is_detector_dependent_in_this_route,469,,10,267.5,173,500,0.9010191798259714,2930,1080
