candidate_id,seed,slot,source_frame,source_time_s,source_duration_s,source_fps,source_width,source_height,render_path
B1,1122026,0,7227,240.900,6438,30,640,360,renders/B1_00.jpg
B1,1122026,1,10449,348.300,6438,30,640,360,renders/B1_01.jpg
B1,1122026,2,23460,782.000,6438,30,640,360,renders/B1_02.jpg
B1,1122026,3,37682,1256.067,6438,30,640,360,renders/B1_03.jpg
B1,1122026,4,43170,1439.000,6438,30,640,360,renders/B1_04.jpg
B1,1122026,5,57846,1928.200,6438,30,640,360,renders/B1_05.jpg
B1,1122026,6,62968,2098.933,6438,30,640,360,renders/B1_06.jpg
B1,1122026,7,70888,2362.933,6438,30,640,360,renders/B1_07.jpg
B1,1122026,8,78983,2632.767,6438,30,640,360,renders/B1_08.jpg
B1,1122026,9,88475,2949.167,6438,30,640,360,renders/B1_09.jpg
B1,1122026,10,100239,3341.300,6438,30,640,360,renders/B1_10.jpg
B1,1122026,11,113130,3771.000,6438,30,640,360,renders/B1_11.jpg
B1,1122026,12,122460,4082.000,6438,30,640,360,renders/B1_12.jpg
B1,1122026,13,128515,4283.833,6438,30,640,360,renders/B1_13.jpg
B1,1122026,14,136606,4553.533,6438,30,640,360,renders/B1_14.jpg
B1,1122026,15,150076,5002.533,6438,30,640,360,renders/B1_15.jpg
B1,1122026,16,159061,5302.033,6438,30,640,360,renders/B1_16.jpg
B1,1122026,17,170867,5695.567,6438,30,640,360,renders/B1_17.jpg
B1,1122026,18,181373,6045.767,6438,30,640,360,renders/B1_18.jpg
B1,1122026,19,184742,6158.067,6438,30,640,360,renders/B1_19.jpg
