candidate_id,seed,slot,source_frame,source_time_s,view,sport_identity,baseball_reachability_label
B1,1122026,0,7227,240.900,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,1,10449,348.300,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,2,23460,782.000,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,3,37682,1256.067,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,4,43170,1439.000,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,5,57846,1928.200,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,6,62968,2098.933,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,7,70888,2362.933,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,8,78983,2632.767,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,9,88475,2949.167,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,10,100239,3341.300,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,11,113130,3771.000,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,12,122460,4082.000,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,13,128515,4283.833,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,14,136606,4553.533,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,15,150076,5002.533,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,16,159061,5302.033,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,17,170867,5695.567,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,18,181373,6045.767,fixed_home_plate_view,sport_unverified,not_scored
B1,1122026,19,184742,6158.067,fixed_home_plate_view,sport_unverified,not_scored
