frame,game_clock,shot_clock,home_score,away_score,period,confidence
5502,,24.0,,,,0.2
11322,,18.0,,,,0.2
19062,,24.0,,,,0.2
30852,6:39,6.0,39,24,,0.8
31332,6:39,24.0,39,24,,0.8
31452,6:39,24.0,39,24,,0.8
45462,6:39,16.0,39,24,,0.8
45582,6:39,19.0,39,24,,0.8
50382,6:39,23.0,39,24,,0.8
52152,6:39,24.0,39,24,,0.8
61302,6:39,23.0,39,24,,0.8
61992,6:39,4.0,39,24,,0.8
64752,6:39,2.0,39,24,,0.8
66672,6:39,1.0,39,24,,0.8
67392,6:39,16.0,39,24,,0.8
70272,6:39,24.0,39,24,,0.8
72432,6:39,16.0,39,24,,0.8
84282,6:39,13.0,39,24,,0.8
84402,6:39,24.0,39,24,,0.8
84642,6:39,24.0,39,24,,0.8
87822,6:39,10.0,39,24,,0.8
87942,6:39,10.0,39,24,4,1.0
88062,6:39,24.0,39,24,4,1.0
88182,6:39,10.0,39,24,4,1.0
88542,6:39,10.0,39,24,4,1.0
89022,6:39,16.0,39,24,4,1.0
90222,6:39,15.0,39,24,4,1.0
91452,6:39,8.0,39,24,4,1.0
91572,6:39,8.0,39,24,4,1.0
92652,6:39,4.0,39,24,4,1.0
92772,6:39,24.0,39,24,4,1.0
96012,6:39,13.0,39,24,4,1.0
99732,6:39,16.0,39,24,4,1.0
101532,6:39,19.0,39,24,4,1.0
105702,6:39,18.0,39,24,4,1.0
109542,6:39,20.0,39,24,4,1.0
109662,6:39,21.0,39,24,4,1.0
115062,6:39,1.0,39,24,4,1.0
125622,6:39,1.0,39,24,4,1.0
125742,6:39,12.0,39,24,4,1.0
127122,6:39,8.0,39,24,4,1.0
127782,6:39,23.0,39,24,4,1.0
132972,6:39,12.0,39,24,4,1.0
134172,6:39,24.0,39,24,4,1.0
147582,6:39,24.0,39,24,4,1.0
149382,6:39,13.0,39,24,4,1.0
153642,6:39,7.0,39,24,4,1.0
155052,6:39,6.0,39,24,4,1.0
159132,6:39,15.0,39,24,4,1.0
162192,6:39,16.0,39,24,4,1.0
162792,6:39,16.0,39,24,4,1.0
176592,6:39,24.0,39,24,4,1.0
177072,6:39,15.0,39,24,4,1.0
181182,6:39,24.0,39,24,4,1.0
182082,6:39,1.0,39,24,4,1.0
182322,6:39,1.0,39,24,4,1.0
182562,6:39,8.0,39,24,4,1.0
184932,6:39,4.0,39,24,4,1.0
185292,6:39,10.0,39,24,4,1.0
187902,6:39,24.0,39,24,4,1.0
189462,6:39,10.0,39,24,4,1.0
191142,6:39,8.0,39,24,4,1.0
192102,6:39,10.0,39,24,4,1.0
194742,6:39,24.0,39,24,4,1.0
195582,6:39,24.0,39,24,4,1.0
198582,6:39,15.0,39,24,4,1.0
199302,6:39,24.0,57,24,4,1.0
203352,6:39,24.0,57,24,4,1.0
209352,6:39,7.0,57,24,4,1.0
215232,6:39,20.0,57,24,4,1.0
224862,6:39,22.0,57,24,4,1.0
225222,6:39,16.0,57,24,4,1.0
229572,6:39,19.0,57,24,4,1.0
231972,6:39,12.0,57,24,4,1.0
233532,6:39,9.0,57,24,4,1.0
235812,6:39,15.0,57,24,4,1.0
