game_id,shot_id,frame,timestamp,player_id,player_name,team,x_position,y_position,x_norm,y_norm,court_zone,defender_distance,defender_dist_norm,team_spacing,possession_id,possession_duration,made,shot_clock,contest_arm_angle,closeout_speed,fatigue_proxy,dribble_count,ball_shot_arc_angle,catch_and_shoot,shot_distance,second_chance,shot_creation,shots_pbp_coverage
0022400537,1,5184,86.4,4,,LAL,2011,259,0.4061,0.3481,mid_range,13.4,0.0027,0.0,5,3,1,,0.7854306504986067,,5.7,0,,1,1791.7,0,catch_and_shoot,0.7576
0022400537,2,5394,89.9,7,,SAS,1898,33,0.3833,0.0444,mid_range,208.0,0.042,0.0,6,2,1,,0.0,,157.9,0,-88.08486521519278,1,1709.1,0,catch_and_shoot,0.7576
0022400537,3,5676,94.6,9,#23,SAS,1954,144,0.3946,0.1935,mid_range,35.8,0.0072,0.0,7,35,,,0.0,,370.2,0,83.06671902081759,1,1746.1,0,catch_and_shoot,0.7576
0022400537,4,6096,101.6,5,LAL#?,LAL,1984,205,0.4006,0.2755,mid_range,77.4,0.0156,0.0,8,55,,,0.006644518143989985,,231.3,0,83.75311174216404,1,1769.1,0,catch_and_shoot,0.7576
0022400537,5,6354,105.9,5,LAL#?,LAL,1991,218,0.4021,0.293,mid_range,11.2,0.0023,0.0,8,98,,,0.11824424975585787,,349.6,0,82.57056719000488,1,1774.9,1,catch_and_shoot,0.7576
0022400537,6,6672,111.2,3,,LAL,1872,457,0.378,0.6142,mid_range,9.4,0.0019,0.0,8,151,,,0.0,,573.6,0,87.86912579800493,1,1651.3,1,catch_and_shoot,0.7576
0022400537,7,6882,114.7,4,#7,LAL,1912,428,0.3861,0.5753,mid_range,48.0,0.0097,0.0,8,186,,,0.5164877919784513,,2665.2,0,85.8990237039014,1,1690.1,1,catch_and_shoot,0.7576
0022400537,8,7098,118.3,1,#3,LAL,1864,462,0.3764,0.621,mid_range,22.8,0.0046,0.0,9,32,,,0.5626067766641851,,1125.5,0,-89.05656774950324,1,1643.6,0,catch_and_shoot,0.7576
0022400537,9,7326,122.1,7,,SAS,1896,440,0.3829,0.5914,mid_range,25.2,0.0051,0.0,9,70,,,0.0,,1995.9,0,-84.0097111897971,1,1674.5,1,catch_and_shoot,0.7576
0022400537,10,7614,126.9,3,#2,LAL,1871,457,0.3778,0.6142,mid_range,16.4,0.0033,0.0,10,41,0,,0.0,,698.3,0,-88.59854922073046,1,1650.4,0,catch_and_shoot,0.7576
0022400537,11,7896,131.6,5,LAL#?,LAL,1865,462,0.3766,0.621,mid_range,13.6,0.0027,0.0,11,29,,,0.0,,1042.5,0,86.73729584874437,1,1644.6,0,catch_and_shoot,0.7576
0022400537,12,8280,138.0,2,,LAL,1875,454,0.3786,0.6102,mid_range,34.4,0.0069,0.0,11,33,,,0.0,,1837.6,0,77.7047929569818,1,1654.2,1,catch_and_shoot,0.7576
0022400537,13,8580,143.0,8,#5,SAS,2061,319,0.4162,0.4288,mid_range,222.6,0.045,0.2,12,39,,,0.06781975392805356,,5208.0,0,-86.70539702771691,1,1838.9,0,catch_and_shoot,0.7576
0022400537,14,8826,147.1,9,#23,SAS,2380,89,0.4806,0.1196,backcourt,399.8,0.0807,0.0,12,80,,,0.0,,2983.1,0,89.02085964214619,1,2175.6,1,catch_and_shoot,0.7576
0022400537,15,9060,151.0,5,LAL#?,LAL,1788,518,0.3611,0.6962,mid_range,85.2,0.0172,0.0,13,33,,,0.4395224038537059,,1264.9,0,-86.42146725569351,1,1572.0,0,catch_and_shoot,0.7576
0022400537,16,9270,154.5,2,#6,LAL,1795,513,0.3625,0.6895,mid_range,395.3,0.0798,0.0,13,68,,,0.0,,2643.3,0,-89.13395850563134,1,1578.5,1,catch_and_shoot,0.7576
0022400537,17,9528,158.8,9,#23,SAS,2380,89,0.4806,0.1196,backcourt,722.5,0.1459,0.0,13,96,,,0.0,,2983.1,0,87.81237933520868,1,2175.6,1,catch_and_shoot,0.7576
0022400537,18,9798,163.3,2,#6,LAL,1795,513,0.3625,0.6895,mid_range,397.6,0.0803,0.0,15,3,1,,0.0,,2643.3,0,88.52569199459688,1,1578.5,0,catch_and_shoot,0.7576
0022400537,19,10032,167.2,6,#1,SAS,1719,568,0.3471,0.7634,mid_range,478.8,0.0967,0.0,16,25,,,0.3598790264535641,,2471.1,0,82.29505130366064,1,1508.9,0,catch_and_shoot,0.7576
