path,field_hits,reader_status,field_alias
scripts/platformkit/tracking/g397_cards.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g397_prepare.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g397_report.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g397_run.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g399_prepare.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g400_finish.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g400_frames.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g401_finish.py,2,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g402_prepare.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g402_retain.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g404_finish.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g406_measure.py,4,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g406_seal.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g407_report.py,2,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g408_build.py,3,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g410_measure.py,3,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g410_render.py,2,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g410_repeats.py,2,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g410_sources.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g411_extract.py,4,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g411_run.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g411_seal.py,2,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g412_premise.py,4,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g412_seal.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g412_tables.py,1,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g416_contract.py,22,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g416_finish.py,26,PROPOSED_OR_TEST,
scripts/platformkit/tracking/g416_prepare.py,1,PROPOSED_OR_TEST,
src/tracking/advanced_tracker.py,7,PROPOSED_UNAPPLIED,detection_to_slot
src/pipeline/unified_pipeline.py,7,PROPOSED_UNAPPLIED,slot_to_csv
