field,original_changed,status
draw_kind,0,UNCHANGED
section_id,0,UNCHANGED
frame,0,UNCHANGED
player_id,0,UNCHANGED
position_source,0,UNCHANGED
source_branch,0,UNCHANGED
matched_event_id,0,UNCHANGED
x_position,0,UNCHANGED
y_position,0,UNCHANGED
bbox_x1,0,UNCHANGED
bbox_y1,0,UNCHANGED
bbox_x2,0,UNCHANGED
bbox_y2,0,UNCHANGED
native_width,0,UNCHANGED
native_height,0,UNCHANGED
topcut_px,0,UNCHANGED
detector_frame_height,0,UNCHANGED
archived_head_x,0,UNCHANGED
archived_foot_y,0,UNCHANGED
archived_foot_clipped,0,UNCHANGED
stored_box_bottom_minus_projected_foot_px,0,UNCHANGED
homography_valid,0,UNCHANGED
predecessor_frame,0,UNCHANGED
position_retained,0,UNCHANGED
box_moved,0,UNCHANGED
box_foot_dx_px,0,UNCHANGED
box_foot_dy_px,0,UNCHANGED
box_l2_px,0,UNCHANGED
retained_position_age,0,UNCHANGED
box_identical_age,0,UNCHANGED
predecessor_status,0,UNCHANGED
role,0,UNCHANGED
shadow_court_x,0,ADDITIVE
shadow_court_y,0,ADDITIVE
shadow_status,0,ADDITIVE
matrix_receipt,0,ADDITIVE
source_receipt,0,ADDITIVE
call_receipt,0,ADDITIVE
would_violate_existing_guard,0,ADDITIVE
