j,section_id,source_digest,middle_saved_tick,retained_path
0,3eeaJz1PJTM_s90,049a0328fc4000ff937c6ae9f43540110e7f6564555e70287718efb85a34e48f,3256,C:/Users/neelj/g402_receiver/wnba__3eeaJz1PJTM_s90.mp4
1,Kh7Fj4ogPN4_s3606,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,1533,C:/Users/neelj/g402_receiver/nba__Kh7Fj4ogPN4_s3606.mp4
2,Ge4uewCFUFQ_s4674,081a5b8634af9e6ef013ebb6215c2fcf698308f6e35ca8e045daf1c4a5d69932,4968,C:/Users/neelj/g402_receiver/ncaa_basketball__Ge4uewCFUFQ_s4674.mp4
3,UCVSlzgun0o_s2298,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,546,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s2298.mp4
4,yZ5u2sOpiNU_s90,1c98e777689a974d4fff1fa6f68f7c57cbfb072f293200e063d0b8173fc1b732,2311,C:/Users/neelj/g402_receiver/nba__yZ5u2sOpiNU_s90.mp4
5,Y1cgaIWW8gk_s2784,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,1340,C:/Users/neelj/g402_receiver/Y1cgaIWW8gk_s2784.mp4
6,4JS090XPhmM_s3537,25a78d9554165483c59a08b5a4d42635ac5d30a0fcc4f9ba74b44f599126235d,2507,C:/Users/neelj/g402_receiver/ncaa_basketball__4JS090XPhmM_s3537.mp4
7,7blRl4zVfrY_s90,38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698,4110,C:/Users/neelj/g402_receiver/ncaa_basketball__7blRl4zVfrY_s90.mp4
8,3eeaJz1PJTM_s3813,3a5c08bd887cea3503f9b777920ca1ef3817e931e2093a9a56a099708ff35ea6,2993,C:/Users/neelj/g402_receiver/wnba__3eeaJz1PJTM_s3813.mp4
9,J8pMOFvFlsU_s3972,3de8f9f051dcc218266201eb853db4a06f52025bdd70cadd3e6532e1d1b422f2,3391,C:/Users/neelj/g402_receiver/wnba__J8pMOFvFlsU_s3972.mp4
