check_key,section_id,frame,slot,call_identity_present,matrix_source_run,deficit_reason,sampled_row
23,4JS090XPhmM_s4686,2790,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
24,4JS090XPhmM_s4686,2790,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
25,4JS090XPhmM_s4686,2790,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
26,4JS090XPhmM_s4686,2790,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
27,4JS090XPhmM_s4686,2820,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
28,4JS090XPhmM_s4686,2820,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
29,4JS090XPhmM_s4686,2820,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
30,4JS090XPhmM_s4686,2820,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
31,4JS090XPhmM_s4686,2820,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
32,4JS090XPhmM_s4686,2820,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
33,9sq-YMlIo9Q_s2346,127,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
34,9sq-YMlIo9Q_s2346,127,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
35,9sq-YMlIo9Q_s2346,127,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
36,9sq-YMlIo9Q_s2346,127,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
