kind,item,restoration
field,parent_schema.g410_per_row.draw_kind,RESTORED
field,parent_schema.g410_per_row.section_id,RESTORED
field,parent_schema.g410_per_row.frame,RESTORED
field,parent_schema.g410_per_row.player_id,RESTORED
field,parent_schema.g410_per_row.position_source,RESTORED
field,parent_schema.g410_per_row.source_branch,RESTORED
field,parent_schema.g410_per_row.matched_event_id,RESTORED
field,parent_schema.g410_per_row.x_position,RESTORED
field,parent_schema.g410_per_row.y_position,RESTORED
field,parent_schema.g410_per_row.bbox_x1,RESTORED
field,parent_schema.g410_per_row.bbox_y1,RESTORED
field,parent_schema.g410_per_row.bbox_x2,RESTORED
field,parent_schema.g410_per_row.bbox_y2,RESTORED
field,parent_schema.g410_per_row.native_width,RESTORED
field,parent_schema.g410_per_row.native_height,RESTORED
field,parent_schema.g410_per_row.topcut_px,RESTORED
field,parent_schema.g410_per_row.detector_frame_height,RESTORED
field,parent_schema.g410_per_row.archived_head_x,RESTORED
field,parent_schema.g410_per_row.archived_foot_y,RESTORED
field,parent_schema.g410_per_row.archived_foot_clipped,RESTORED
field,parent_schema.g410_per_row.stored_box_bottom_minus_projected_foot_px,RESTORED
field,parent_schema.g410_per_row.homography_valid,RESTORED
field,parent_schema.g410_per_row.predecessor_frame,RESTORED
field,parent_schema.g410_per_row.position_retained,RESTORED
field,parent_schema.g410_per_row.box_moved,RESTORED
field,parent_schema.g410_per_row.box_foot_dx_px,RESTORED
field,parent_schema.g410_per_row.box_foot_dy_px,RESTORED
field,parent_schema.g410_per_row.box_l2_px,RESTORED
field,parent_schema.g410_per_row.retained_position_age,RESTORED
field,parent_schema.g410_per_row.box_identical_age,RESTORED
field,parent_schema.g410_per_row.predecessor_status,RESTORED
field,parent_schema.g410_per_row.role,RESTORED
field,replay_shadow_points.route,RESTORED
field,summary.citations,RESTORED
field,summary.original_retention,RESTORED
status,bound_call_identity:UNKNOWN,RESTORED
status,original_clamp_rows:DESCRIPTIVE,RESTORED
reader_row,scripts/platformkit/tracking/g397_cards.py,RESTORED
reader_row,scripts/platformkit/tracking/g397_prepare.py,RESTORED
reader_row,scripts/platformkit/tracking/g397_report.py,RESTORED
reader_row,scripts/platformkit/tracking/g397_run.py,RESTORED
reader_row,scripts/platformkit/tracking/g399_prepare.py,RESTORED
reader_row,scripts/platformkit/tracking/g400_finish.py,RESTORED
reader_row,scripts/platformkit/tracking/g400_frames.py,RESTORED
reader_row,scripts/platformkit/tracking/g401_finish.py,RESTORED
reader_row,scripts/platformkit/tracking/g402_prepare.py,RESTORED
reader_row,scripts/platformkit/tracking/g402_retain.py,RESTORED
reader_row,scripts/platformkit/tracking/g404_finish.py,RESTORED
reader_row,scripts/platformkit/tracking/g406_measure.py,RESTORED
reader_row,scripts/platformkit/tracking/g406_seal.py,RESTORED
reader_row,scripts/platformkit/tracking/g407_report.py,RESTORED
reader_row,scripts/platformkit/tracking/g408_build.py,RESTORED
reader_row,scripts/platformkit/tracking/g410_measure.py,RESTORED
reader_row,scripts/platformkit/tracking/g410_render.py,RESTORED
reader_row,scripts/platformkit/tracking/g410_repeats.py,RESTORED
reader_row,scripts/platformkit/tracking/g410_sources.py,RESTORED
reader_row,scripts/platformkit/tracking/g411_extract.py,RESTORED
reader_row,scripts/platformkit/tracking/g411_run.py,RESTORED
reader_row,scripts/platformkit/tracking/g411_seal.py,RESTORED
reader_row,scripts/platformkit/tracking/g412_premise.py,RESTORED
reader_row,scripts/platformkit/tracking/g412_seal.py,RESTORED
reader_row,scripts/platformkit/tracking/g412_tables.py,RESTORED
reader_row,scripts/platformkit/tracking/g416_contract.py,RESTORED
reader_row,scripts/platformkit/tracking/g416_finish.py,RESTORED
reader_row,scripts/platformkit/tracking/g416_prepare.py,RESTORED
