j,section_id,frame,slot,player_id,old_x_position,old_y_position,stored_box_x1,stored_box_y1,stored_box_x2,stored_box_y2,shadow_court_x,shadow_court_y,shadow_status,matrix_receipt,source_receipt,call_receipt,would_violate_existing_guard,missing_reason,route,map_w,map_h,frame_w,frame_h
0,3eeaJz1PJTM_s90,3256,10,0,192,1016,435.0,768.0,504.0,903.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,RETAINED_WITHOUT_GUARD,3404,1711,1920,1020
1,Kh7Fj4ogPN4_s3606,1533,0,1,763,1002,191.833,-11.886,369.468,461.833,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1280,660
2,Ge4uewCFUFQ_s4674,4968,0,1,882,793,672.0,247.0,816.0,491.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
3,UCVSlzgun0o_s2298,546,1,2,3316,598,763.0,15.0,1554.0,848.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1920,1020
4,yZ5u2sOpiNU_s90,2311,0,1,188,199,236.0,157.0,449.0,469.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,RETAINED_WITHOUT_GUARD,3404,1711,1920,1020
5,Y1cgaIWW8gk_s2784,1340,2,3,1374,1214,729.0,249.0,885.0,609.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,RETAINED_WITHOUT_GUARD,3404,1711,1920,1020
6,4JS090XPhmM_s3537,2507,1,2,3280,400,892.873,289.219,1121.9,769.935,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1920,1020
7,7blRl4zVfrY_s90,4110,3,4,293,374,641.0,76.0,799.0,521.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1280,660
8,3eeaJz1PJTM_s3813,2993,2,3,391,859,532.032,263.891,725.414,542.78,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1920,1020
9,J8pMOFvFlsU_s3972,3391,1,2,14,214,349.0,310.0,526.0,726.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,RETAINED_WITHOUT_GUARD,3404,1711,1920,1020
