section_id,frame,proposal_status,oracle_status,agree_or_unknown,foreign_run_numerical_output
3eeaJz1PJTM_s90,3256,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
Kh7Fj4ogPN4_s3606,1533,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
Ge4uewCFUFQ_s4674,4968,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
UCVSlzgun0o_s2298,546,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
yZ5u2sOpiNU_s90,2311,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
Y1cgaIWW8gk_s2784,1340,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
4JS090XPhmM_s3537,2507,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
7blRl4zVfrY_s90,4110,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
3eeaJz1PJTM_s3813,2993,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
J8pMOFvFlsU_s3972,3391,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
dAy3tnlu3EQ_s4326,5816,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
KZK9rv9TnGE_s1474,4987,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
UCVSlzgun0o_s90,784,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
xv0WyG7_99c_s4530,7095,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
s-0Y7aLxXgM_s4830,6931,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
Vm0FqeGo-8g_s1317,1056,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
3gBeJyl7Szg_s90,1266,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
X5w3V6rh26s_s90,1247,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
Kh7Fj4ogPN4_s5950,1920,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
KZK9rv9TnGE_s4242,5429,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
6rQ2sV4upfc_s90,3741,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
tFnl0NVn6FA_s2774,1622,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
9sq-YMlIo9Q_s2346,127,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
Ge4uewCFUFQ_s2382,4525,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
KZK9rv9TnGE_s90,5649,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
3gBeJyl7Szg_s2302,775,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
acb-jHcR5UxPGuE_s1393,628,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
s-0Y7aLxXgM_s1275,6422,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
tFnl0NVn6FA_s90,1915,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
tZeqmc_-_sA_s2574,1938,UNKNOWN_MISSING_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,1,0
