game_id,shot_id,frame,timestamp,player_id,team,x_position,y_position,court_zone,defender_distance,team_spacing,possession_id,possession_duration,made
,1,477,15.916,1,green,978,168,mid_range,,0.0,8,3,
,3,738,24.625,1,green,978,168,mid_range,,0.0,82,3,
,8,1134,37.838,7,white,652,286,3pt_arc,,0.0,150,5,
,15,2631,87.788,1,green,978,168,mid_range,,0.0,287,3,
,16,3690,123.123,6,white,2636,175,corner_3,,0.0,423,5,
,19,4254,141.942,5,green,2890,382,3pt_arc,,0.0,476,3,
,22,5286,176.376,10,white,589,411,3pt_arc,,0.0,614,4,
,23,5748,191.792,3,green,2071,753,mid_range,,0.0,671,5,
,25,6438,214.815,7,white,566,82,corner_3,,0.0,830,3,
,26,7275,242.743,2,green,862,211,corner_3,,0.0,936,3,
,28,7578,252.853,8,white,2138,460,mid_range,,0.0,1022,2,
,29,9069,302.602,7,white,1030,492,mid_range,,0.0,1201,3,
,30,9642,321.721,10,white,166,463,3pt_arc,,0.0,1208,2,
,32,10518,350.951,8,white,2138,460,mid_range,,0.0,1390,3,
,34,10893,363.463,8,white,2138,460,mid_range,,0.0,1472,4,
,36,11172,372.772,5,green,2890,382,3pt_arc,,0.0,1535,7,
