frame,timestamp,ball_x2d,ball_y2d,detected
450,15.015,,,0
453,15.115,1107,363,1
456,15.215,1107,363,1
459,15.315,1969,320,1
462,15.415,1969,320,1
465,15.515,,,0
468,15.616,,,0
471,15.716,713,189,1
474,15.816,697,193,1
477,15.916,683,197,1
480,16.016,674,200,1
483,16.116,2636,175,1
486,16.216,2636,175,1
489,16.316,2636,175,1
492,16.416,2636,175,1
495,16.517,2636,175,1
498,16.617,2636,175,1
501,16.717,2636,175,1
504,16.817,,,0
507,16.917,1485,193,1
510,17.017,1485,193,1
513,17.117,555,203,1
516,17.217,555,203,1
519,17.317,870,202,1
522,17.417,870,202,1
525,17.518,1681,238,1
528,17.618,1681,238,1
531,17.718,615,220,1
534,17.818,615,220,1
537,17.918,563,228,1
540,18.018,563,228,1
543,18.118,829,293,1
546,18.218,829,293,1
549,18.318,,,0
552,18.418,,,0
555,18.518,86,380,1
558,18.619,86,380,1
561,18.719,2833,338,1
564,18.819,2833,338,1
567,18.919,50,380,1
570,19.019,50,380,1
573,19.119,661,207,1
576,19.219,661,207,1
579,19.319,2541,336,1
582,19.419,2541,336,1
585,19.52,715,227,1
588,19.62,715,227,1
591,19.72,2703,310,1
594,19.82,2703,310,1
597,19.92,660,207,1
600,20.02,660,207,1
603,20.12,652,209,1
606,20.22,652,209,1
609,20.32,116,370,1
612,20.42,116,370,1
615,20.521,482,258,1
618,20.621,482,258,1
621,20.721,662,204,1
624,20.821,662,204,1
627,20.921,1244,360,1
630,21.021,1244,360,1
633,21.121,646,512,1
636,21.221,646,512,1
639,21.321,687,794,1
642,21.421,687,794,1
645,21.521,1221,369,1
648,21.622,1221,369,1
651,21.722,691,599,1
654,21.822,691,599,1
657,21.922,658,793,1
660,22.022,658,793,1
663,22.122,847,786,1
666,22.222,847,786,1
669,22.322,701,787,1
672,22.422,701,787,1
675,22.523,2617,392,1
678,22.623,2617,392,1
681,22.723,,,0
684,22.823,,,0
687,22.923,800,774,1
690,23.023,784,775,1
693,23.123,794,776,1
696,23.223,812,777,1
699,23.323,802,778,1
702,23.423,785,778,1
705,23.524,786,779,1
708,23.624,814,777,1
