attempt_id,source_path,expected_sha256,expected_bytes,status,actual_sha256,actual_bytes
a01,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__-n4iviRLtsU_s90.mp4,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,95236044,MATCH,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,95236044
a02,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__-n4iviRLtsU_s2704.mp4,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,94112289,MATCH,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,94112289
a03,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__-n4iviRLtsU_s4011.mp4,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,97966113,MATCH,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,97966113
a04,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__3MBv6PIsCBg_s1293.mp4,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,95626450,MATCH,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,95626450
a05,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__3MBv6PIsCBg_s3699.mp4,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,79356189,MATCH,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,79356189
a06,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\9sq-YMlIo9Q_s2346.mp4,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,64995066,MATCH,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,64995066
a07,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\wnba__A0aHQ2A38IY_s90.mp4,398175385cc5fcb51b2797bef39b00dc33e05858eefe513384b3db2c6f2fe470,68061448,MATCH,398175385cc5fcb51b2797bef39b00dc33e05858eefe513384b3db2c6f2fe470,68061448
a08,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\wnba__A0aHQ2A38IY_s2860.mp4,7b2febbe60a232b5dcd4882cdf1b0189c1126946f0dcdb4ce130c673719bcd43,68429941,MATCH,7b2febbe60a232b5dcd4882cdf1b0189c1126946f0dcdb4ce130c673719bcd43,68429941
a09,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s90.mp4,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,81165805,MATCH,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,81165805
a10,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s4464.mp4,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,79162595,MATCH,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,79162595
a11,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s6651.mp4,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,87853287,MATCH,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,87853287
a12,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s11025.mp4,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,82139114,MATCH,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,82139114
a13,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\RIrGQJ_jsGQ_s1410.mp4,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,61150234,MATCH,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,61150234
a14,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__RtiZgPwcwNA_s2720.mp4,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,62835904,MATCH,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,62835904
a15,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\UCVSlzgun0o_s2298.mp4,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,68986280,MATCH,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,68986280
a16,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\UzaYBYy3GZg_s1378.mp4,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,62843736,MATCH,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,62843736
a17,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\Vm0FqeGo-8g_s1317.mp4,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,65439426,MATCH,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,65439426
a18,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\X5w3V6rh26s_s90.mp4,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,71367114,MATCH,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,71367114
a19,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\Y1cgaIWW8gk_s1437.mp4,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,73218045,MATCH,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,73218045
a20,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\_fl2i6vToTM_s90.mp4,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,86508102,MATCH,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,86508102
a21,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\_fl2i6vToTM_s2496.mp4,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,87504446,MATCH,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,87504446
a22,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\d3_0714DiHo_s217.mp4,299048a6420e357f97db0ebfe9db789562cd01bac1eea9fd72ff0a47577b5588,81000315,MATCH,299048a6420e357f97db0ebfe9db789562cd01bac1eea9fd72ff0a47577b5588,81000315
a23,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\i2y-_7B0IUg_s90.mp4,cf0c723aa1593f7c30044653d75543ea653e118b89bbd5a213c7b77d14698cc3,76518525,MATCH,cf0c723aa1593f7c30044653d75543ea653e118b89bbd5a213c7b77d14698cc3,76518525
a24,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__iDogCL8td5Q_s2282.mp4,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,85233486,MATCH,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,85233486
a25,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\iwbowtaIIz8_s90.mp4,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b,60983970,MATCH,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b,60983970
a26,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\qrWmO434a0k_s1447.mp4,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,72031233,MATCH,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,72031233
a27,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\tFnl0NVn6FA_s90.mp4,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,65212592,MATCH,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,65212592
