context_id,attempt_id,object_name,competition,ytid,section,source_sha256,target_fraction,planned_pts,status,export_status,delivered_pts,pts_match,frame_sha256
G399_001,a04,nba__3MBv6PIsCBg_s1293.mp4,nba,3MBv6PIsCBg,1293,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,5ee9b06aac782a559b070bf0e25d5d7a1436e4709078270b1cef6ea4d7c0bf5f
G399_002,a04,nba__3MBv6PIsCBg_s1293.mp4,nba,3MBv6PIsCBg,1293,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,2/3,86.669911,PLANNED,EXPORTED,86.669911,True,ecba39eeb8562715319c0712d0785034512ffa6cfcf87a92bb26208fe2b9f8a5
G399_003,a05,nba__3MBv6PIsCBg_s3699.mp4,nba,3MBv6PIsCBg,3699,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,864f7a94cd7f1157953d03c43aac56188d8824e5a273ce2f64b1c7a506f67f29
G399_004,a05,nba__3MBv6PIsCBg_s3699.mp4,nba,3MBv6PIsCBg,3699,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,2/3,86.669911,PLANNED,EXPORTED,86.669911,True,e3f006643225b8b283e2e9d37bb941d4599df40eac3b70182025fb8c06e6ce01
G399_005,a09,nba__IeaneIKx1Ig_s90.mp4,nba,IeaneIKx1Ig,90,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,82e2ee271b350a132c4ca7825339b8781563aae37e9456ebd11fcc97e6b4d307
G399_006,a09,nba__IeaneIKx1Ig_s90.mp4,nba,IeaneIKx1Ig,90,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,2/3,86.669911,PLANNED,EXPORTED,86.669911,True,23df71fd8569a453573890782e7e38217110f0ae87317718b372352d36054473
G399_007,a10,nba__IeaneIKx1Ig_s4464.mp4,nba,IeaneIKx1Ig,4464,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,25444cf4af260d1c2c011425e268bd1379459d66fb41554ef8bdb7237053fa66
G399_008,a10,nba__IeaneIKx1Ig_s4464.mp4,nba,IeaneIKx1Ig,4464,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,2/3,86.669911,PLANNED,EXPORTED,86.669911,True,de9bcd4a287c4981a652541665e8c9126cd84bfed9cfa2ed6599d0dd6e3a02c5
G399_009,a11,nba__IeaneIKx1Ig_s6651.mp4,nba,IeaneIKx1Ig,6651,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,2bfa9342a79f17f8f9accb0cadb3ca20b669def23978116c8f0e49f2913e3d34
G399_010,a11,nba__IeaneIKx1Ig_s6651.mp4,nba,IeaneIKx1Ig,6651,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,2/3,86.686600,PLANNED,EXPORTED,86.6866,True,7e8f6663cf7faf388ec0249b0812f8b883b7387e1764c6cf0cbff3acbdd74466
G399_011,a12,nba__IeaneIKx1Ig_s11025.mp4,nba,IeaneIKx1Ig,11025,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,1/3,43.326622,PLANNED,EXPORTED,43.326622,True,f3aca3a08ea0619f21873d848323ec81f388ee385f1639e06dec11bfed26b240
G399_012,a12,nba__IeaneIKx1Ig_s11025.mp4,nba,IeaneIKx1Ig,11025,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,2/3,86.669922,PLANNED,EXPORTED,86.669922,True,60c8acb493585cc189a560faf68657106a4f60ca2fbb8ec449a7fca547b89061
G399_013,a01,ncaa_basketball__-n4iviRLtsU_s90.mp4,ncaa_basketball,-n4iviRLtsU,90,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,1/3,43.326611,PLANNED,EXPORTED,43.326611,True,b73ba0b5c9d237eaf9a78acc86b87ef0ec8f112277c8eff1ecde055dd6d63190
G399_014,a01,ncaa_basketball__-n4iviRLtsU_s90.mp4,ncaa_basketball,-n4iviRLtsU,90,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,2/3,86.669911,PLANNED,EXPORTED,86.669911,True,d4a59452c411a63eee73ac5fa1eee77cb09f95026a0c5c7ec17a4fe1dedbf897
G399_015,a02,ncaa_basketball__-n4iviRLtsU_s2704.mp4,ncaa_basketball,-n4iviRLtsU,2704,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,af6cae414a35cbe2d1356442427e90b98145a29370ba155eb68d1c5b220309dc
G399_016,a02,ncaa_basketball__-n4iviRLtsU_s2704.mp4,ncaa_basketball,-n4iviRLtsU,2704,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,2/3,86.686600,PLANNED,EXPORTED,86.6866,True,968b6ea64300379e8fbecfb77b67d62eff0b829432d3cfda3b81fb75493b417c
G399_017,a03,ncaa_basketball__-n4iviRLtsU_s4011.mp4,ncaa_basketball,-n4iviRLtsU,4011,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,d4d6797015ba568323248b12549d4b3018321e8ab65f4e8e2f4e9a570b74c500
G399_018,a03,ncaa_basketball__-n4iviRLtsU_s4011.mp4,ncaa_basketball,-n4iviRLtsU,4011,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,2/3,86.669922,PLANNED,EXPORTED,86.669922,True,17b7e69a20faf9f8716560d32bb35f2a987bb410b816781feec30ce5cb6c183d
G399_019,a14,ncaa_basketball__RtiZgPwcwNA_s2720.mp4,ncaa_basketball,RtiZgPwcwNA,2720,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,6ef4c4ea41ece69f4e4c0dd4691d43a8a369b063d99be901b72ba4dafc0440fc
G399_020,a14,ncaa_basketball__RtiZgPwcwNA_s2720.mp4,ncaa_basketball,RtiZgPwcwNA,2720,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,2/3,86.719967,PLANNED,EXPORTED,86.719967,True,d47f703786a9523fad28e2705756df621e905a87a744e897e5652a78a978c1fb
