game_id,shot_id,frame,timestamp,player_id,team,x_position,y_position,court_zone,defender_distance,team_spacing,possession_id,possession_duration,made
22400042,1,1347,22.472,8,white,37,435,3pt_arc,,0.0,129,3,
22400042,5,1980,33.033,3,green,496,340,3pt_arc,,0.0,152,4,
22400042,9,2487,41.491,3,green,219,492,paint,,0.0,160,25,
22400042,17,3906,65.165,8,white,416,493,paint,,0.0,193,3,
22400042,19,5235,87.337,7,white,70,548,paint,,0.0,201,4,
22400042,24,5766,96.196,6,white,1160,263,mid_range,,117452.0,320,7,
22400042,31,6330,105.606,2,green,376,304,3pt_arc,,92196.0,470,3,
22400042,33,6864,114.514,1,green,792,504,3pt_arc,,7820.5,579,3,
22400042,35,7473,124.675,9,white,287,99,corner_3,,0.0,712,3,
22400042,39,8358,139.439,8,white,247,178,corner_3,,0.0,790,4,
22400042,42,8940,149.149,6,white,1073,443,mid_range,,0.0,882,3,
22400042,45,9438,157.457,9,white,283,257,3pt_arc,,0.0,1003,3,
22400042,48,10218,170.47,4,green,100,95,corner_3,,0.0,1113,3,
22400042,55,11451,191.041,7,white,68,100,corner_3,,149865.0,1302,3,
