section,arm,eval_index,reason,score,n_scored,n_hypotheses,n_fit_segments,n_heldout_segments,forward_px,n_forward,reverse_px,n_reverse,feet,feet_inside,nn_median_ft
S1,ROUTEB,002037,valid,-,000000,000000,001006,001006,4.775,000334,294.140,036602,000016,000000,3.055
S1,G334A,002200,no_valid_h,-1.000,000000,499836,000561,000560,-,000000,-,000000,000012,000000,-
S1,G334B,002200,valid,0.723,000060,1366400,001262,001262,0.955,000060,672.754,044286,000012,000000,6.457
S1,ROUTEA,002200,valid,-,000000,000000,000561,000560,2.865,000366,268.355,028202,000012,000000,3.115
S1,ROUTEB,002200,valid,-,000000,000000,001262,001262,2.865,000366,256.895,044286,000012,000000,3.115
S1,G334A,002363,valid,0.551,000067,458156,000670,000669,0.000,000067,447.851,033911,000013,000000,3.600
S1,G334B,002363,valid,0.688,000070,1615020,001479,001479,1.369,000070,428.871,051744,000013,000000,7.674
S1,ROUTEA,002363,valid,-,000000,000000,000670,000669,7.514,000366,322.664,033911,000013,000000,0.945
S1,ROUTEB,002363,valid,-,000000,000000,001479,001479,6.685,000366,327.025,051744,000013,000000,0.945
S1,G334A,002526,valid,0.641,000078,532156,000534,000533,17.973,000078,435.736,025406,000014,000000,12.521
S1,G334B,002526,valid,0.658,000081,1716732,001251,001250,3.279,000081,346.720,043469,000014,000000,8.711
S1,ROUTEA,002526,valid,-,000000,000000,000534,000533,-,000000,-,000000,000014,000000,1.027
S1,ROUTEB,002526,valid,-,000000,000000,001251,001250,-,000000,-,000000,000014,000000,1.027
S1,G334A,002689,valid,0.354,000085,241528,000185,000185,5.730,000085,349.739,009927,000008,000000,24.370
S1,G334B,002689,no_valid_h,0.639,000084,1104604,000601,000600,-,000000,-,000000,000008,000000,-
S1,ROUTEA,002689,valid,-,000000,000000,000185,000185,-,000000,-,000000,000008,000000,0.640
S1,ROUTEB,002689,valid,-,000000,000000,000601,000600,-,000000,-,000000,000008,000000,0.640
S1,G334A,002852,no_valid_h,-1.000,000000,536052,000653,000653,-,000000,-,000000,000011,000000,-
S1,G334B,002852,no_valid_h,-1.000,000000,1635220,001382,001381,-,000000,-,000000,000011,000000,-
S1,ROUTEA,002852,valid,-,000000,000000,000653,000653,-,000000,-,000000,000011,000000,1.039
S1,ROUTEB,002852,valid,-,000000,000000,001382,001381,-,000000,-,000000,000011,000000,1.039
S1,G334A,003015,valid,0.427,000067,506732,000622,000621,4.775,000067,560.486,031605,000010,000000,14.218
S1,G334B,003015,no_valid_h,-1.000,000000,1735528,001332,001331,-,000000,-,000000,000010,000000,-
S1,ROUTEA,003015,valid,-,000000,000000,000622,000621,26.017,000398,483.241,031605,000010,000000,2.468
S1,ROUTEB,003015,valid,-,000000,000000,001332,001331,5.730,000398,458.778,047991,000010,000000,2.468
S1,G334A,003178,no_valid_h,-1.000,000000,575648,000551,000550,-,000000,-,000000,000011,000000,-
S1,G334B,003178,no_valid_h,-1.000,000000,1489264,001238,001237,-,000000,-,000000,000011,000000,-
S1,ROUTEA,003178,valid,-,000000,000000,000551,000550,8.216,000398,440.864,026889,000011,000000,2.803
S1,ROUTEB,003178,valid,-,000000,000000,001238,001237,8.613,000398,421.943,042786,000011,000000,2.803
