frame_index,arm,box_index,x1,y1,x2,y2,score,class
0,batch2,0,1674.0,594.75,1788.0,923.25,0.82763671875,0
0,batch2,1,1184.25,522.0,1319.25,843.0,0.80517578125,0
0,batch2,2,615.0,611.25,762.0,921.75,0.70654296875,0
0,batch2,3,698.25,413.25,819.75,750.75,0.6943359375,0
0,batch2,4,528.75,236.25,621.75,493.5,0.56201171875,0
0,batch2,5,1759.5,303.75,1891.5,576.0,0.556640625,0
0,batch2,6,1042.5,372.75,1195.5,671.25,0.444580078125,0
0,batch2,7,912.0,297.75,1038.0,771.0,0.3408203125,0
0,batch2,8,744.375,762.0,870.0,924.0,0.312255859375,0
202,batch2,0,614.625,83.25,1242.0,921.75,0.9033203125,0
405,batch2,0,801.0,354.1875,927.0,595.5,0.77099609375,0
405,batch2,1,1572.0,597.75,1740.0,844.5,0.7080078125,0
405,batch2,2,599.25,306.1875,670.5,534.0,0.5517578125,0
405,batch2,3,1251.0,484.875,1398.0,737.625,0.541015625,0
405,batch2,4,1293.75,644.25,1406.25,867.75,0.4873046875,0
405,batch2,5,1425.0,215.25,1500.0,430.5,0.43408203125,0
405,batch2,6,373.875,475.125,513.375,738.375,0.408203125,0
405,batch2,7,490.5,282.0,556.5,501.75,0.3857421875,0
405,batch2,8,132.0,243.75,195.75,405.75,0.36572265625,0
405,batch2,9,1074.0,204.0,1135.5,353.25,0.310791015625,0
405,batch2,10,1312.5,329.4375,1444.5,614.25,0.2861328125,0
405,batch2,11,1380.0,810.0,1474.5,918.0,0.265869140625,0
405,batch2,12,1342.5,384.75,1444.5,615.0,0.259033203125,0
607,batch2,0,247.5,425.25,357.75,695.25,0.69677734375,0
607,batch2,1,830.25,607.5,962.25,913.5,0.67041015625,0
607,batch2,2,447.0,703.875,589.5,928.5,0.63232421875,0
607,batch2,3,1026.0,511.5,1147.5,849.75,0.55810546875,0
607,batch2,4,286.125,805.5,393.375,916.5,0.5234375,0
607,batch2,5,68.25,295.5,176.0625,547.5,0.5234375,0
607,batch2,6,662.25,283.5,741.0,467.25,0.454345703125,0
607,batch2,7,1866.0,399.0,1920.0,663.0,0.359375,0
607,batch2,8,596.625,295.6875,673.875,472.5,0.35400390625,0
607,batch2,9,828.0,431.25,946.5,668.25,0.345947265625,0
607,batch2,10,1027.5,305.4375,1102.5,533.25,0.30908203125,0
607,batch2,11,1686.0,628.5,1824.0,792.75,0.25244140625,0
607,batch2,12,1335.75,344.625,1454.25,567.375,0.2247314453125,0
809,batch2,0,1187.25,410.25,1365.75,701.25,0.86962890625,0
809,batch2,1,465.0,444.0,630.75,752.25,0.8037109375,0
809,batch2,2,1429.5,467.25,1590.0,777.75,0.77685546875,0
809,batch2,3,663.0,613.5,778.5,907.5,0.71533203125,0
809,batch2,4,1360.5,268.5,1462.5,545.25,0.6982421875,0
809,batch2,5,745.125,538.5,883.5,888.0,0.59912109375,0
809,batch2,6,1614.0,201.0,1698.0,467.25,0.5927734375,0
809,batch2,7,349.5,153.375,423.0,403.5,0.5849609375,0
809,batch2,8,816.0,116.25,927.0,375.75,0.55810546875,0
809,batch2,9,989.25,86.34375,1098.75,330.75,0.313232421875,0
809,batch2,10,639.75,823.5,744.75,919.5,0.275146484375,0
