sport,store,field,availability,n
KBO,kbo_price_series.parquet,sport,AVAILABLE,1414315
KBO,kbo_price_series.parquet,league,DERIVABLE,1414315
KBO,kbo_price_series.parquet,rule_version,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,game_id,AVAILABLE,1414315
KBO,kbo_price_series.parquet,home_team_id,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,away_team_id,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,season,DERIVABLE,1414315
KBO,kbo_price_series.parquet,corpus,DERIVABLE,1414315
KBO,kbo_price_series.parquet,venue,AVAILABLE,1414315
KBO,kbo_price_series.parquet,target_id,AVAILABLE,1414315
KBO,kbo_price_series.parquet,line,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,class_order,DERIVABLE,1414315
KBO,kbo_price_series.parquet,settlement_rule,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,void_rule,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,event_id,AVAILABLE,1414315
KBO,kbo_price_series.parquet,sequence,DERIVABLE,1414315
KBO,kbo_price_series.parquet,event_time,AVAILABLE,1414315
KBO,kbo_price_series.parquet,received_at,DERIVABLE,1414315
KBO,kbo_price_series.parquet,feature_available_at,DERIVABLE,1414315
KBO,kbo_price_series.parquet,prediction_at,DERIVABLE,1414315
KBO,kbo_price_series.parquet,state,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,score_home,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,score_away,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,status,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,unknown_flags,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,provenance,DERIVABLE,1414315
KBO,kbo_price_series.parquet,m0_source,DERIVABLE,1414315
KBO,kbo_price_series.parquet,m0_time,AVAILABLE,1414315
KBO,kbo_price_series.parquet,m0_probabilities,AVAILABLE,1414315
KBO,kbo_price_series.parquet,ml_source,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,ml_time,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,ml_probabilities,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,candidate_probabilities,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,null_probabilities,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,state_key,DERIVABLE,1414315
KBO,kbo_price_series.parquet,exclusions,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,weight,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,fold_id,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,input_hash,DERIVABLE,1414315
KBO,kbo_price_series.parquet,code_hash,DERIVABLE,1414315
KBO,kbo_price_series.parquet,seal_hash,DERIVABLE,1414315
KBO,kbo_price_series.parquet,maximum_feed_delay_seconds,UNAVAILABLE,1414315
KBO,kbo_price_series.parquet,game_id,AVAILABLE,1414315
KBO,kbo_price_series.parquet,target_id,AVAILABLE,1414315
KBO,kbo_price_series.parquet,state_key,DERIVABLE,1414315
KBO,kbo_price_series.parquet,outcome,AVAILABLE,1414315
KBO,kbo_price_series.parquet,outcome_known_at,UNAVAILABLE,1414315
MLB,mlb_price_series.parquet,sport,AVAILABLE,13473591
MLB,mlb_price_series.parquet,league,DERIVABLE,13473591
MLB,mlb_price_series.parquet,rule_version,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,game_id,AVAILABLE,13473591
MLB,mlb_price_series.parquet,home_team_id,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,away_team_id,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,season,DERIVABLE,13473591
MLB,mlb_price_series.parquet,corpus,DERIVABLE,13473591
MLB,mlb_price_series.parquet,venue,AVAILABLE,13473591
MLB,mlb_price_series.parquet,target_id,AVAILABLE,13473591
MLB,mlb_price_series.parquet,line,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,class_order,DERIVABLE,13473591
MLB,mlb_price_series.parquet,settlement_rule,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,void_rule,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,event_id,AVAILABLE,13473591
MLB,mlb_price_series.parquet,sequence,DERIVABLE,13473591
MLB,mlb_price_series.parquet,event_time,AVAILABLE,13473591
MLB,mlb_price_series.parquet,received_at,DERIVABLE,13473591
MLB,mlb_price_series.parquet,feature_available_at,DERIVABLE,13473591
MLB,mlb_price_series.parquet,prediction_at,DERIVABLE,13473591
MLB,mlb_price_series.parquet,state,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,score_home,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,score_away,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,status,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,unknown_flags,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,provenance,DERIVABLE,13473591
MLB,mlb_price_series.parquet,m0_source,DERIVABLE,13473591
