game,ts,elapsed,outcome_home_win,home_five,away_five,market_prob,p_null,cluster_id,source_order,distance,grid_target_elapsed,game_date,player_snapshot_date,team_snapshot_date,state_key,p_simulator,n_train,loss_market,loss_recal_null,loss_simulator,paired_loss_recal_null_minus_simulator
401810022,1762305187,97.0,1,202696|1630171|1630200|1630581|1641824,203954|1626162|1630178|1631133|1642845,0.475,0.4951776207225062,401810022,37383,23.0,120,2025-11-05,2025-11-04,2025-11-03,401810022:120,0.5,150,0.275625,0.25484563461938975,0.25,0.004845634619389749
401810022,1762306267,610.0,1,1630172|1630188|1630200|1630581|1631207,1629656|1630570|1641737|1642272|1642845,0.2199999999999999,0.2366336769920897,401810022,37419,10.0,600,2025-11-05,2025-11-04,2025-11-03,401810022:600,0.390625,150,0.6084000000000002,0.5827281431026172,0.371337890625,0.21139025247761722
401810022,1762307587,1069.0,1,202696|1630171|1630172|1630200|1641824,1629656|1630178|1631133|1641737|1642845,0.1099999999999999,0.1206129646039545,401810022,37449,11.0,1080,2025-11-05,2025-11-04,2025-11-03,401810022:1080,0.46875,150,0.7921000000000002,0.7733215580226457,0.2822265625,0.4910949955226457
401810022,1762309567,1573.0,1,202696|1630171|1630200|1630581|1641824,203954|1626162|1630178|1631133|1642845,0.0699999999999999,0.0775021532172246,401810022,37500,13.0,1560,2025-11-05,2025-11-04,2025-11-03,401810022:1560,0.5,150,0.8649000000000003,0.8510022773188569,0.25,0.6010022773188569
401810022,1762310708,2054.0,1,1628989|1630172|1630188|1630200|1631207,1629656|1630178|1630570|1641737|1642272,0.1049999999999999,0.1152552159723192,401810022,37537,14.0,2040,2025-11-05,2025-11-04,2025-11-03,401810022:2040,0.40625,150,0.8010250000000002,0.7827733328641875,0.3525390625,0.4302342703641875
401810022,1762312027,2530.0,1,202696|1628989|1630171|1630200|1641824,1626162|1630178|1630570|1641737|1642845,0.135,0.1472815186663884,401810022,37571,10.0,2520,2025-11-05,2025-11-04,2025-11-03,401810022:2520,0.46875,150,0.748225,0.727128808407901,0.2822265625,0.44490224590790095
401810042,1762650847,118.0,1,203952|1626181|1630558|1641796|1642276,201950|1630166|1631101|1641739|1642270,0.385,0.413103421340407,401810042,39262,2.0,120,2025-11-09,2025-11-08,2025-11-08,401810042:120,0.5,150,0.378225,0.3444475940423358,0.25,0.09444759404233583
401810042,1762651927,597.0,1,203952|1630696|1631107|1631170|1631323,203924|1630166|1631200|1631321|1641871,0.305,0.3335120502806911,401810042,39316,3.0,600,2025-11-09,2025-11-08,2025-11-08,401810042:600,0.53125,150,0.4830250000000001,0.44420618712104804,0.2197265625,0.22447962462104804
401810042,1762653323,1071.0,1,1626181|1630558|1631107|1641796|1642276,201950|203924|1631200|1641739|1642270,0.5349999999999999,0.5580919546396448,401810042,39378,9.0,1080,2025-11-09,2025-11-08,2025-11-08,401810042:1080,0.375,150,0.21622500000000008,0.19528272055420975,0.390625,-0.19534227944579025
401810042,1762655347,1568.0,1,203952|1626181|1630558|1641796|1642276,201950|1630166|1631101|1641739|1642270,0.655,0.6713953772559784,401810042,39483,8.0,1560,2025-11-09,2025-11-08,2025-11-08,401810042:1560,0.46875,150,0.11902499999999998,0.10798099808874075,0.2822265625,-0.17424556441125927
