video_id,competition,canonical_game,in_old_identity_set,old_title_resolvable,eligibility,exclusion_reason
0wlE9W_0Qv0,fiba,fiba|quarter finals canada v usa full basketball game fiba,0,NOT_RESOLVABLE,ELIGIBLE,
1JN2w7nPn9k,euroleague,euroleague|clutch battle worth rewatching baskonia barcelona euro,0,NOT_RESOLVABLE,ELIGIBLE,
1rZZ_7buX_Y,nba,nba|nba full game chicago bulls vs philadelphia 76ers novemb,0,NOT_RESOLVABLE,ELIGIBLE,
3eeaJz1PJTM,wnba,wnba|spain v usa full basketball game fibawwc 2026 qualifyin,1,NOT_RESOLVABLE,EXCLUDED,OLD_IDENTITY_OVERLAP
3gBeJyl7Szg,nba,nba|nba full game cleveland cavaliers vs philadelphia 76ers,0,NOT_RESOLVABLE,ELIGIBLE,
52PuVDx8T0o,fiba,fiba|round of 16 lithuania v latvia full basketball game fi,0,NOT_RESOLVABLE,ELIGIBLE,
5zMtHtfCzpI,wnba,wnba|chicago sky vs washington mystics full game aug 5 2025,0,NOT_RESOLVABLE,ELIGIBLE,
6rQ2sV4upfc,ncaa_basketball,ncaa_basketball|byu vs kansas full game replay 1 31 26 2025 26 big 12 m,0,NOT_RESOLVABLE,ELIGIBLE,
7blRl4zVfrY,ncaa_basketball,ncaa_basketball|8 houston vs 14 arkansas full game replay 12 20 25 20,0,NOT_RESOLVABLE,ELIGIBLE,
DVojj0U0dDQ,fiba,fiba|group phase greece v italy full basketball game fiba e,0,NOT_RESOLVABLE,ELIGIBLE,
FFTTnwrFzwQ,euroleague,euroleague|a one point finish in athens panathinaikos fenerbahce,0,NOT_RESOLVABLE,ELIGIBLE,
FnbFGnX4Qgo,nba,nba|nba full game orlando magic vs golden state warriors nov,0,NOT_RESOLVABLE,ELIGIBLE,
FyMWTVsJvv8,ncaa_basketball,ncaa_basketball|texas tech vs houston full game replay 1 6 26 2025 26 b,0,NOT_RESOLVABLE,ELIGIBLE,
GG2f11NYjKw,nba,nba|nba full game brooklyn nets vs new york knicks november,0,NOT_RESOLVABLE,ELIGIBLE,
Ge4uewCFUFQ,ncaa_basketball,ncaa_basketball|2 houston vs 6 iowa state full game replay 2 16 26 20,0,NOT_RESOLVABLE,ELIGIBLE,
H1-Ns9IU-JM,nba,nba|nba full game toronto raptors vs charlotte hornets novem,0,NOT_RESOLVABLE,ELIGIBLE,
HZw0bbHwHjY,fiba,fiba|quarter finals angola v cape verde full basketball game,0,NOT_RESOLVABLE,ELIGIBLE,
IpR4pT8iN0Y,ncaa_basketball,ncaa_basketball|north carolina vs duke full game replay 2025 26 acc men s,0,NOT_RESOLVABLE,ELIGIBLE,
KZK9rv9TnGE,ncaa_basketball,ncaa_basketball|texas vs duke full game replay 2025 26 acc men s basketb,0,NOT_RESOLVABLE,ELIGIBLE,
Kh7Fj4ogPN4,nba,nba|oklahoma city thunder vs minnesota timberwolves nba full gam,0,NOT_RESOLVABLE,ELIGIBLE,
KjjghT10zjY,fiba,fiba|group phase slovenia v belgium full basketball game fi,0,NOT_RESOLVABLE,ELIGIBLE,
Ktu6yFS9iMo,nba,nba|timberwolves at lakers full game october 24 2025,0,NOT_RESOLVABLE,ELIGIBLE,
L7o4UCIIqS4,nba,nba|milwaukee bucks vs san antonio spurs nba full game 01 08 202,0,NOT_RESOLVABLE,ELIGIBLE,
OHJgVogFtNE,acb,acb|partido completo bar a atl tic real madrid grupo a li,0,NOT_RESOLVABLE,ELIGIBLE,
T1d3VxVnDUo,nba,nba|new york knicks vs indiana pacers game 1 full match nba,0,NOT_RESOLVABLE,ELIGIBLE,
UWqS6-hl0W8,fiba,fiba|group phase latvia v serbia full basketball game fiba,0,NOT_RESOLVABLE,ELIGIBLE,
dAy3tnlu3EQ,ncaa_basketball,ncaa_basketball|20 auburn vs 2 arizona full game replay 12 6 25 2025,0,NOT_RESOLVABLE,ELIGIBLE,
jHcR5UxPGuE,acb,acb|fc barcelona vs real madrid full game liga endesa acb,0,NOT_RESOLVABLE,ELIGIBLE,
oL9Uaie2v2A,nba,nba|los angeles lakers vs los angeles clippers nba full game 02,0,NOT_RESOLVABLE,ELIGIBLE,
pGrVjtS7Xqg,nba,nba|nba full game detroit pistons vs boston celtics november,0,NOT_RESOLVABLE,ELIGIBLE,
qTXrSRHHR2M,ncaa_basketball,ncaa_basketball|auburn vs duke full game replay 2024 25 acc men s basketb,0,NOT_RESOLVABLE,ELIGIBLE,
s-0Y7aLxXgM,ncaa_basketball,ncaa_basketball|8 houston vs 16 byu full game replay 2 7 26 2025 26 b,0,NOT_RESOLVABLE,ELIGIBLE,
spBCthmSgks,nba,nba|2024 nba playoffs 6 phoenix suns vs 3 minnesota timberwol,0,NOT_RESOLVABLE,ELIGIBLE,
vcWKSPlGCO0,nba,nba|nba full game milwaukee bucks vs sacramento kings novemb,0,NOT_RESOLVABLE,ELIGIBLE,
yZ5u2sOpiNU,nba,nba|lebron james forces game 7 with masterful 45 pt performance,0,NOT_RESOLVABLE,ELIGIBLE,
