video_id,competition,sport_tag,canonical_game,title,sections,median_section_file,median_section_path,median_section_bytes,source_digest,width,height,fps,duration_s,probe_status,eligibility,exclusion_reason
jHcR5UxPGuE,acb,basketball,acb|fc barcelona vs real madrid full game liga endesa acb,FC Barcelona vs Real Madrid | FULL GAME | Liga Endesa ACB ? ,4,basketball__acb-jHcR5UxPGuE_s1393.mp4,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s1393.mp4,56995485,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,1280,720,60.0,130.016,ok,ELIGIBLE,
OHJgVogFtNE,acb,basketball,acb|partido completo bar a atl tic real madrid grupo a li,Partido completo: Bar?a Atl?tic ? Real Madrid | Grupo A | Li,6,basketball__acb-OHJgVogFtNE_s2920.mp4,/workspace/data/footage_corpus/basketball__acb-OHJgVogFtNE_s2920.mp4,64085133,f858e07505c8a15d8d74013c9b2e29b04b1bb0b16cfd0701747b768bdf35aaaf,1920,1080,30.0,130.067,ok,ELIGIBLE,
FFTTnwrFzwQ,euroleague,basketball,euroleague|a one point finish in athens panathinaikos fenerbahce,A ONE-POINT FINISH in Athens | Panathinaikos - Fenerbahce | ,6,basketball__euroleague-FFTTnwrFzwQ_s5004.mp4,/workspace/data/footage_corpus/basketball__euroleague-FFTTnwrFzwQ_s5004.mp4,44500205,33e0e9a6a7e50e63f818cd7276c0e0f8c5a50b595c07db1f3914e380819fa908,1920,1080,25.0,130.08,ok,ELIGIBLE,
1JN2w7nPn9k,euroleague,basketball,euroleague|clutch battle worth rewatching baskonia barcelona euro,CLUTCH Battle WORTH REWATCHING | Baskonia - Barcelona | EURO,5,basketball__euroleague-1JN2w7nPn9k_s4922.mp4,/workspace/data/footage_corpus/basketball__euroleague-1JN2w7nPn9k_s4922.mp4,53151222,de8be7e7b51501a3ec428365e658b57f9e091b36180fd43768f21054c558e955,1920,1080,25.0,130.04,ok,ELIGIBLE,
DVojj0U0dDQ,fiba,basketball,fiba|group phase greece v italy full basketball game fiba e,Group Phase | Greece v Italy | Full Basketball Game | FIBA E,6,basketball__fiba-DVojj0U0dDQ_s3222.mp4,/workspace/data/footage_corpus/basketball__fiba-DVojj0U0dDQ_s3222.mp4,63574585,a93960e63ca934ce6f3e5555d8e0944b182027f7512426d5dab8a2dac6bf2b39,1920,1080,30.0,130.034,ok,ELIGIBLE,
UWqS6-hl0W8,fiba,basketball,fiba|group phase latvia v serbia full basketball game fiba,Group Phase | Latvia v Serbia | Full Basketball Game | FIBA ,5,basketball__fiba-UWqS6-hl0W8_s4941.mp4,/workspace/data/footage_corpus/basketball__fiba-UWqS6-hl0W8_s4941.mp4,59908343,393a3f43b6a6365aed76469009820f52d49a5fe12fce2149185000bec0fc43ae,1920,1080,30.0,130.133,ok,ELIGIBLE,
KjjghT10zjY,fiba,basketball,fiba|group phase slovenia v belgium full basketball game fi,Group Phase | Slovenia v Belgium | Full Basketball Game | FI,6,basketball__fiba-KjjghT10zjY_s3184.mp4,/workspace/data/footage_corpus/basketball__fiba-KjjghT10zjY_s3184.mp4,91724132,c496354d45dfe601acf78a95ca6e20dc03efd6a8f6bfea7e5a5ef7f715ceaf8c,1920,1080,50.0,130.04,ok,ELIGIBLE,
HZw0bbHwHjY,fiba,basketball,fiba|quarter finals angola v cape verde full basketball game,Quarter-Finals | Angola v Cape Verde | Full Basketball Game ,6,basketball__fiba-HZw0bbHwHjY_s3910.mp4,/workspace/data/footage_corpus/basketball__fiba-HZw0bbHwHjY_s3910.mp4,69596011,98e2188e77c70b03dad9ff81628df9b489aa462ab7e6713ebd99bc1b3df6c875,1920,1080,30.0,130.034,ok,ELIGIBLE,
0wlE9W_0Qv0,fiba,basketball,fiba|quarter finals canada v usa full basketball game fiba,Quarter-Finals | Canada v USA | Full Basketball Game | FIBA ,6,basketball__fiba-0wlE9W_0Qv0_s3596.mp4,/workspace/data/footage_corpus/basketball__fiba-0wlE9W_0Qv0_s3596.mp4,67496925,8998cdc685822efeedfc8d1ec6dd2c2728c7164d87c71d792884e2de5a442467,1920,1080,60.0,130.017,ok,ELIGIBLE,
52PuVDx8T0o,fiba,basketball,fiba|round of 16 lithuania v latvia full basketball game fi,Round of 16 | Lithuania v Latvia | Full Basketball Game | FI,6,basketball__fiba-52PuVDx8T0o_s3660.mp4,/workspace/data/footage_corpus/basketball__fiba-52PuVDx8T0o_s3660.mp4,66754031,558da20882c98f673bd4772a8b239c29aa4b9f36961cd1a3e4c1cae0637623e4,1920,1080,30.0,130.033,ok,ELIGIBLE,
spBCthmSgks,nba,nba,nba|2024 nba playoffs 6 phoenix suns vs 3 minnesota timberwol,2024 NBA Playoffs: #6 Phoenix Suns vs #3 Minnesota Timberwol,6,nba__spBCthmSgks_s2700.mp4,/workspace/data/footage_corpus/nba__spBCthmSgks_s2700.mp4,35546196,f5194c9b5df95939d1189506ea11d8dbf629ae965803e890eaefaeed2034020d,1280,720,23.976027,130.244,ok,ELIGIBLE,
yZ5u2sOpiNU,nba,nba,nba|lebron james forces game 7 with masterful 45 pt performance,LeBron James Forces Game 7 With MASTERFUL 45-PT Performance ,5,nba__yZ5u2sOpiNU_s2652.mp4,/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s2652.mp4,61348353,f01606979d06d5cef38c67b5ac78dd4d25fefd7f3f041fddbd2ba399a0ceae06,1920,1080,29.97003,130.079,ok,ELIGIBLE,
oL9Uaie2v2A,nba,nba,nba|los angeles lakers vs los angeles clippers nba full game 02,Los Angeles Lakers vs Los Angeles Clippers NBA FULL GAME 02.,6,nba__oL9Uaie2v2A_s2438.mp4,/workspace/data/footage_corpus/nba__oL9Uaie2v2A_s2438.mp4,50026054,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,1280,720,59.940065,130.049,ok,ELIGIBLE,
L7o4UCIIqS4,nba,nba,nba|milwaukee bucks vs san antonio spurs nba full game 01 08 202,Milwaukee Bucks vs San Antonio Spurs NBA FULL GAME 01.08.202,5,nba__L7o4UCIIqS4_s2656.mp4,/workspace/data/footage_corpus/nba__L7o4UCIIqS4_s2656.mp4,54975598,b1eebfff7d799fedb2a8f485ba98a6fa26021926e7da36bdb4b6a30f1e33d3b0,1280,720,59.940062,130.067,ok,ELIGIBLE,
GG2f11NYjKw,nba,nba,nba|nba full game brooklyn nets vs new york knicks november,NBA Full Game | Brooklyn Nets vs New York Knicks | November ,4,nba__GG2f11NYjKw_s2924.mp4,/workspace/data/footage_corpus/nba__GG2f11NYjKw_s2924.mp4,81336414,99f1373291acf706d348c0876a029eb33aaa595ab974594332355646ea532297,1920,1080,59.940065,130.051,ok,ELIGIBLE,
1rZZ_7buX_Y,nba,nba,nba|nba full game chicago bulls vs philadelphia 76ers novemb,NBA Full Game | Chicago Bulls vs Philadelphia 76ers | Novemb,6,nba__1rZZ_7buX_Y_s2782.mp4,/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s2782.mp4,93406241,98d3cb072420902444b29c81f085be995bd9ac46674c1afedc7c02f02f2f819b,1920,1080,59.897005,130.099,ok,ELIGIBLE,
3gBeJyl7Szg,nba,nba,nba|nba full game cleveland cavaliers vs philadelphia 76ers,NBA Full Game | Cleveland Cavaliers vs Philadelphia 76ers | ,5,nba__3gBeJyl7Szg_s2302.mp4,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4,50300132,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,1280,720,60.0,130.016,ok,ELIGIBLE,
pGrVjtS7Xqg,nba,nba,nba|nba full game detroit pistons vs boston celtics november,NBA Full Game | Detroit Pistons vs Boston Celtics | November,5,nba__pGrVjtS7Xqg_s3128.mp4,/workspace/data/footage_corpus/nba__pGrVjtS7Xqg_s3128.mp4,92970734,53ec8b2eb45ba11ca26a55b5269d3c2857f38beae8760e900798e66a45900911,1920,1080,59.940065,130.071,ok,ELIGIBLE,
vcWKSPlGCO0,nba,nba,nba|nba full game milwaukee bucks vs sacramento kings novemb,NBA Full Game | Milwaukee Bucks vs Sacramento Kings | Novemb,6,nba__vcWKSPlGCO0_s3196.mp4,/workspace/data/footage_corpus/nba__vcWKSPlGCO0_s3196.mp4,40517240,6e8390f9fa17830a4e43b8f73fd70b613a4a024cdd3c2aa6fe8ac51747900731,1920,1080,30.0,130.033,ok,ELIGIBLE,
FnbFGnX4Qgo,nba,nba,nba|nba full game orlando magic vs golden state warriors nov,NBA Full Game | Orlando Magic vs Golden State Warriors | Nov,5,nba__FnbFGnX4Qgo_s2822.mp4,/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s2822.mp4,75623391,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,1920,1080,59.940062,130.099,ok,ELIGIBLE,
H1-Ns9IU-JM,nba,nba,nba|nba full game toronto raptors vs charlotte hornets novem,NBA Full Game | Toronto Raptors vs Charlotte Hornets | Novem,5,nba__H1-Ns9IU-JM_s2906.mp4,/workspace/data/footage_corpus/nba__H1-Ns9IU-JM_s2906.mp4,81490546,779d531cb4563290d6379dc09296d97c76f8d4eaa26bb7d419370155a3593bd5,1920,1080,59.940065,130.033,ok,ELIGIBLE,
T1d3VxVnDUo,nba,nba,nba|new york knicks vs indiana pacers game 1 full match nba,New York Knicks vs Indiana Pacers | Game 1 | Full Match NBA ,6,nba__T1d3VxVnDUo_s3360.mp4,/workspace/data/footage_corpus/nba__T1d3VxVnDUo_s3360.mp4,64247199,e7f1dde14a2e234c8b6f7048197650e338034006b7acbe484087c7ef6a513df5,1920,1080,29.97003,130.053,ok,ELIGIBLE,
