video_id,median_section_file,pod_source_digest,pc_source_digest,byte_agreement,receiver_path,bytes,width,height,fps,duration_s,decode_ok,status
jHcR5UxPGuE,basketball__acb-jHcR5UxPGuE_s1393.mp4,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,1,C:\Users\neelj\g400_receiver\basketball__acb-jHcR5UxPGuE_s1393.mp4,56995485,1280,720,60.0,130.016,1,RETAINED
OHJgVogFtNE,basketball__acb-OHJgVogFtNE_s2920.mp4,f858e07505c8a15d8d74013c9b2e29b04b1bb0b16cfd0701747b768bdf35aaaf,f858e07505c8a15d8d74013c9b2e29b04b1bb0b16cfd0701747b768bdf35aaaf,1,C:\Users\neelj\g400_receiver\basketball__acb-OHJgVogFtNE_s2920.mp4,64085133,1920,1080,30.0,130.067,1,RETAINED
FFTTnwrFzwQ,basketball__euroleague-FFTTnwrFzwQ_s5004.mp4,33e0e9a6a7e50e63f818cd7276c0e0f8c5a50b595c07db1f3914e380819fa908,33e0e9a6a7e50e63f818cd7276c0e0f8c5a50b595c07db1f3914e380819fa908,1,C:\Users\neelj\g400_receiver\basketball__euroleague-FFTTnwrFzwQ_s5004.mp4,44500205,1920,1080,25.0,130.08,1,RETAINED
1JN2w7nPn9k,basketball__euroleague-1JN2w7nPn9k_s4922.mp4,de8be7e7b51501a3ec428365e658b57f9e091b36180fd43768f21054c558e955,de8be7e7b51501a3ec428365e658b57f9e091b36180fd43768f21054c558e955,1,C:\Users\neelj\g400_receiver\basketball__euroleague-1JN2w7nPn9k_s4922.mp4,53151222,1920,1080,25.0,130.04,1,RETAINED
UWqS6-hl0W8,basketball__fiba-UWqS6-hl0W8_s4941.mp4,393a3f43b6a6365aed76469009820f52d49a5fe12fce2149185000bec0fc43ae,393a3f43b6a6365aed76469009820f52d49a5fe12fce2149185000bec0fc43ae,1,C:\Users\neelj\g400_receiver\basketball__fiba-UWqS6-hl0W8_s4941.mp4,59908343,1920,1080,30.0,130.133,1,RETAINED
KjjghT10zjY,basketball__fiba-KjjghT10zjY_s3184.mp4,c496354d45dfe601acf78a95ca6e20dc03efd6a8f6bfea7e5a5ef7f715ceaf8c,c496354d45dfe601acf78a95ca6e20dc03efd6a8f6bfea7e5a5ef7f715ceaf8c,1,C:\Users\neelj\g400_receiver\basketball__fiba-KjjghT10zjY_s3184.mp4,91724132,1920,1080,50.0,130.04,1,RETAINED
HZw0bbHwHjY,basketball__fiba-HZw0bbHwHjY_s3910.mp4,98e2188e77c70b03dad9ff81628df9b489aa462ab7e6713ebd99bc1b3df6c875,98e2188e77c70b03dad9ff81628df9b489aa462ab7e6713ebd99bc1b3df6c875,1,C:\Users\neelj\g400_receiver\basketball__fiba-HZw0bbHwHjY_s3910.mp4,69596011,1920,1080,30.0,130.034,1,RETAINED
0wlE9W_0Qv0,basketball__fiba-0wlE9W_0Qv0_s3596.mp4,8998cdc685822efeedfc8d1ec6dd2c2728c7164d87c71d792884e2de5a442467,8998cdc685822efeedfc8d1ec6dd2c2728c7164d87c71d792884e2de5a442467,1,C:\Users\neelj\g400_receiver\basketball__fiba-0wlE9W_0Qv0_s3596.mp4,67496925,1920,1080,60.0,130.017,1,RETAINED
52PuVDx8T0o,basketball__fiba-52PuVDx8T0o_s3660.mp4,558da20882c98f673bd4772a8b239c29aa4b9f36961cd1a3e4c1cae0637623e4,558da20882c98f673bd4772a8b239c29aa4b9f36961cd1a3e4c1cae0637623e4,1,C:\Users\neelj\g400_receiver\basketball__fiba-52PuVDx8T0o_s3660.mp4,66754031,1920,1080,30.0,130.033,1,RETAINED
spBCthmSgks,nba__spBCthmSgks_s2700.mp4,f5194c9b5df95939d1189506ea11d8dbf629ae965803e890eaefaeed2034020d,f5194c9b5df95939d1189506ea11d8dbf629ae965803e890eaefaeed2034020d,1,C:\Users\neelj\g400_receiver\nba__spBCthmSgks_s2700.mp4,35546196,1280,720,23.976027,130.244,1,RETAINED
