video_id,median_section_file,packets,first_pts_s,last_pts_s,span_s,median_delta_s,schedule_sha256,probe_status
jHcR5UxPGuE,basketball__acb-jHcR5UxPGuE_s1393.mp4,8061,-4.333333,130.0,134.333333,0.016667,126d70803cca0dfd495c5ddce98900c4edac58056082d9acba382318545cd9a9,ok
OHJgVogFtNE,basketball__acb-OHJgVogFtNE_s2920.mp4,3937,-1.2,130.033333,131.233333,0.033333,161bf3697404423ffe987507330e74217deabefbabf6c6eaca1b33fcec316250,ok
FFTTnwrFzwQ,basketball__euroleague-FFTTnwrFzwQ_s5004.mp4,3295,-1.76,130.04,131.8,0.04,5ebd938cd1789a79e980b6ba8ec34b2041c9e75f865e1c5699bb5872e67602a6,ok
1JN2w7nPn9k,basketball__euroleague-1JN2w7nPn9k_s4922.mp4,3312,-2.44,130.0,132.44,0.04,65a503540ea7590918432eb952e15ed4aca9c0e9f0f288717d24468483f73bc7,ok
UWqS6-hl0W8,basketball__fiba-UWqS6-hl0W8_s4941.mp4,3929,-0.933333,130.1,131.033333,0.033333,c76716e0c97c4a4d6f5f9b4b7059af6393edc7c700b917f95468edfa8cdccfbb,ok
KjjghT10zjY,basketball__fiba-KjjghT10zjY_s3184.mp4,6521,-0.4,130.02,130.42,0.02,f51f478f0edf044a46b1185ecc992b931be1672c4748c1d7f568244ec65aeed6,ok
HZw0bbHwHjY,basketball__fiba-HZw0bbHwHjY_s3910.mp4,3901,0.0,130.0,130.0,0.033333,eafc558b5427d48af64cd50d8c509d63f9318c71ac811a3f273e0c0533872b5a,ok
0wlE9W_0Qv0,basketball__fiba-0wlE9W_0Qv0_s3596.mp4,7861,-1.0,130.0,131.0,0.016667,bb9ff8323d404e1f2a1a811a5c98f77bc6388c6d20752334c4f67c310c7a4a1b,ok
52PuVDx8T0o,basketball__fiba-52PuVDx8T0o_s3660.mp4,3901,0.0,130.0,130.0,0.033333,eafc558b5427d48af64cd50d8c509d63f9318c71ac811a3f273e0c0533872b5a,ok
spBCthmSgks,nba__spBCthmSgks_s2700.mp4,3214,-4.004,130.171711,134.175711,0.041711,9d961e80a8417f9e6a4d3969307e1ba8f48f62c2b1c05918f974a762fba2bd26,ok
yZ5u2sOpiNU,nba__yZ5u2sOpiNU_s2652.mp4,3990,-3.1031,130.0299,133.133,0.033367,98d04ed428ddbdb1b4f02f4348df08f05c1a891058586cdd6f79cd4bd95360e8,ok
L7o4UCIIqS4,nba__L7o4UCIIqS4_s2656.mp4,7899,-1.751756,130.046578,131.798334,0.016689,95874d8ab447b6e6313eb8cea8acd85a50d18ee87669dcd9a472d98eb848166d,ok
GG2f11NYjKw,nba__GG2f11NYjKw_s2924.mp4,7954,-2.686022,130.0299,132.715922,0.016689,653fc1dc83e3ff9b63571af807ae8a9f6cafb53715284f12dd98fe067eadd154,ok
1rZZ_7buX_Y,nba__1rZZ_7buX_Y_s2782.mp4,7830,-0.7012,130.0733,130.7745,0.0167,ece09be38aa6442d7e8b5b0d34582eba74b723c2f3f267f9376a5f0acca08056,ok
3gBeJyl7Szg,nba__3gBeJyl7Szg_s2302.mp4,7905,-1.733333,130.0,131.733333,0.016667,3c8d504cadf6224d1c30e6e29748eb6ab147f09ad3906d7df0467786330c28b4,ok
pGrVjtS7Xqg,nba__pGrVjtS7Xqg_s3128.mp4,8022,-3.820489,130.046578,133.867067,0.016678,0e083b85d70a4c6480cb06d29c3134517af217af90a65bcbb0284affb101d15b,ok
vcWKSPlGCO0,nba__vcWKSPlGCO0_s3196.mp4,3941,-1.333333,130.0,131.333333,0.033333,4a38a1f8d15e981b1998aed63c248edfe1160d2b6434fb3569e352e2b78f7796,ok
FnbFGnX4Qgo,nba__FnbFGnX4Qgo_s2822.mp4,7921,-2.118789,130.079944,132.198733,0.016689,b8b5694974a223e1641732adaaded945b3ae635ad3af023fb0c4a81077c30634,ok
