round,paired_n,n_VIS_VIS,n_VIS_ABS,n_VIS_UNK,n_ABS_VIS,n_ABS_ABS,n_ABS_UNK,n_UNK_VIS,n_UNK_ABS,n_UNK_UNK,terra_VIS,terra_ABS,terra_UNK,sol_VIS,sol_ABS,sol_UNK,observed_agreement,expected_agreement,kappa,kappa_4dp,bar,verdict,terra_missing,sol_missing
1,29,9,1,0,0,15,0,3,0,1,10,15,4,12,16,1,0.8620689655172413,0.4328180737217598,0.7568134171907756,0.7568,0.6,INCOMPLETE,1,0
2,30,12,1,2,0,14,0,0,0,1,15,14,1,12,15,3,0.9,0.4366666666666667,0.8224852071005918,0.8225,0.6,PASS,0,0
3,30,11,1,1,1,12,0,0,2,2,13,13,4,12,15,3,0.8333333333333334,0.4033333333333333,0.7206703910614526,0.7207,0.6,PASS,0,0
4,30,13,0,2,0,13,0,1,0,1,15,13,2,14,13,3,0.9,0.42777777777777776,0.825242718446602,0.8252,0.6,PASS,0,0
5,30,14,2,2,0,9,0,0,0,3,18,9,3,14,11,5,0.8666666666666667,0.4066666666666666,0.7752808988764046,0.7753,0.6,PASS,0,0
6,30,12,0,0,1,17,0,0,0,0,12,18,0,13,17,0,0.9666666666666667,0.5133333333333333,0.9315068493150686,0.9315,0.6,PASS,0,0
7,30,18,0,2,0,7,0,1,1,1,20,7,3,19,8,3,0.8666666666666667,0.4944444444444444,0.7362637362637364,0.7363,0.6,PASS,0,0
8,30,11,4,1,3,7,0,2,1,1,16,10,4,16,12,2,0.6333333333333333,0.4266666666666667,0.36046511627906974,0.3605,0.6,FAIL,0,0
9,30,12,1,1,0,12,1,0,1,2,14,13,3,12,14,4,0.8666666666666667,0.4022222222222222,0.7769516728624537,0.777,0.6,PASS,0,0
10,30,13,1,3,0,12,0,0,0,1,17,12,1,13,13,4,0.8666666666666667,0.4233333333333333,0.7687861271676302,0.7688,0.6,PASS,0,0
POOLED,299,125,11,14,5,118,1,7,5,13,150,124,25,137,134,28,0.8561872909698997,0.42355230925828563,0.7505190647133015,0.7505,0.6,INCOMPLETE,1,0
