position,frame_key,verdict,d_same_px,d_lead_px
1,b4fb0c7a85d1ca8e37f846ad086dc62021d96a46f99655f33afe2f130ed05704,INDETERMINATE,10.977,
6,a0cc8eb15237ac276e044b18607e4425949f09042a21da33b7f9fb0034eaa387,INDETERMINATE,3.64,
9,dd17d4d9a296f4d60382c257185ee5b6ab08e464533aefceca3c010ab26b5166,ALIGNED,5.523,652.483
10,c7a6bb2ed8d17d9e8d4ec5004040a68ff02f97c0a4035ec167aa76d35b00bb0d,INDETERMINATE,5.315,
12,c2f9d417e06e508c42ffac0fd95c71ff38c8503c3a9b9a9515972e86d5d90a71,INDETERMINATE,491.413,
13,bfa1f974e6884a2272879d9f916b1e5821e0833121e840452255ea4e9b47e9d0,INDETERMINATE,,61.847
15,b87836a7c968c40018d4b263afe1c31534feee41cfa58541dca9da290a57fc48,SLIPPED,445.484,1.803
17,f482ae1581a0bd45308fd53f832988a3f2b8c10fde40b101d30f31f42e4811ab,INDETERMINATE,,121.009
18,e5d4e960192d4d220d3201eb07ef72f6c2b88aec432bc47a3923739132190b78,SLIPPED,360.293,37.206
19,94323b993bded6cf19708d96caabb2802960831e86b19bb6be14c655aa8448a1,SLIPPED,430.361,2.236
20,ead9fcb9d393d99c39b0b526d8802f4aa4043baf0e01da2650e171625ae12b64,ALIGNED,226.465,382.526
23,b81cbcfb53a9856d9f49ae1a8f17073b5699f322669d492ab3e2b27464023a10,INDETERMINATE,,6.325
24,b4c21db951a7c24f82d2cdfbc70fe66256b2d4c003b9c132629d16a06c94873f,SLIPPED,480.751,157.837
25,9c42154fa44c94192549601fd980f71726081adfebcf787b031f73e779baa85b,INDETERMINATE,394.493,
26,9c7cc8531a93c05e5ca7c5e969dbcedc53c1c4a8417b5763225d2716f382c078,INDETERMINATE,,35.784
28,afc32e4ed66499a00d4591dab2719a8a279a1ffd16638ce9a9f151b33a1bb3d6,INDETERMINATE,,73.084
