record_index,source_frame,detection_index,track_id,detection_x_px,foot_y_px,located_feet_in_box
591,20190,0,25,1879.5,972.75,0
591,20190,2,22,427.59375,768.0,0
841,20440,1,33,1533.75,611.25,0
1090,20689,1,7,157.59375,975.0,0
1090,20689,3,2,297.75,704.25,0
1090,20689,4,33,294.375,971.25,0
1090,20689,5,29,1800.0,955.5,0
1090,20689,8,25,54.65625,973.5,0
1090,20689,9,36,167.8125,610.5,0
1339,20938,0,35,1033.5,876.0,0
1339,20938,2,31,314.0625,973.5,0
1339,20938,5,37,161.625,957.0,0
1339,20938,8,15,315.75,93.9375,0
1588,21187,1,15,1266.0,859.5,0
1900,21499,2,33,1350.0,822.75,0
1900,21499,4,42,639.75,862.5,0
1900,21499,5,41,1875.0,963.0,0
1900,21499,8,32,1641.0,966.0,0
1900,21499,9,40,163.3125,900.0,0
2087,21686,0,32,1767.0,973.5,0
2087,21686,3,49,1878.0,966.75,0
2087,21686,5,47,1593.0,970.5,0
2087,21686,6,52,1496.25,971.25,0
2336,21935,5,41,1887.0,615.0,0
2648,22247,4,61,1551.0,480.0,0
2897,22496,3,61,352.875,857.25,0
2897,22496,4,67,419.25,970.5,0
3084,22683,2,42,721.5,873.0,0
3084,22683,4,70,245.625,966.75,0
3084,22683,5,69,507.375,963.0,0
3084,22683,6,71,385.875,972.0,0
3395,22994,1,80,139.96875,934.5,0
3769,23368,0,94,421.875,973.5,0
