record_index,source_frame,detection_index,track_id,detection_x_px,foot_y_px,located_feet_in_box,located_index,located_x_px,located_y_px,dx_px,dy_px,distance_px
31,19630,0,1,1119.75,865.5,1,8,1361.0,562.0,-241.25,303.5,387.70325314601115
31,19630,1,8,873.0,801.75,2,3,796.0,651.0,77.0,150.75,169.27658579969057
31,19630,2,7,634.125,867.75,1,3,796.0,651.0,-161.875,216.75,270.52555909747235
31,19630,3,2,391.875,876.0,1,0,170.0,679.0,221.875,197.0,296.71116531906915
31,19630,4,3,1480.5,775.5,3,9,1424.0,563.0,56.5,212.5,219.88292339333677
31,19630,5,4,827.25,555.375,2,3,796.0,651.0,31.25,-95.625,100.6017053781893
31,19630,6,6,771.0,865.5,1,3,796.0,651.0,-25.0,214.5,215.95196225086727
31,19630,7,11,1552.5,623.25,2,9,1424.0,563.0,128.5,60.25,141.92361501878395
280,19879,0,18,1206.75,586.5,3,8,1260.0,557.0,-53.25,29.5,60.87538500904943
280,19879,1,8,613.5,651.0,3,2,629.0,567.0,-15.5,84.0,85.41808941904519
280,19879,2,2,888.0,781.5,2,4,847.0,593.0,41.0,188.5,192.9073611866587
280,19879,3,15,1297.5,795.0,2,9,1252.0,699.0,45.5,96.0,106.23676388143608
280,19879,4,4,421.875,975.0,1,1,283.0,696.0,138.875,279.0,311.65247572416297
280,19879,5,7,772.3125,577.5,5,4,847.0,593.0,-74.6875,-15.5,76.27891357544364
280,19879,6,16,1452.75,392.25,2,8,1260.0,557.0,192.75,-164.75,253.5648339182703
591,20190,1,20,1047.0,427.5,5,6,1044.0,418.0,3.0,9.5,9.962429422585638
841,20440,0,34,1374.75,734.25,1,6,1200.0,470.0,174.75,264.25,316.8053424423269
841,20440,2,31,415.5,590.625,2,1,480.0,627.0,-64.5,-36.375,74.04991981764734
841,20440,3,22,65.625,972.0,1,0,299.0,672.0,-233.375,300.0,380.08405731495765
841,20440,4,18,347.25,975.0,1,0,299.0,672.0,48.25,303.0,306.81763720490386
841,20440,5,2,596.25,862.5,1,1,480.0,627.0,116.25,235.5,262.62961085909564
841,20440,6,1,697.125,841.5,2,1,480.0,627.0,217.125,214.5,305.21060863770776
841,20440,7,25,707.25,862.5,2,1,480.0,627.0,227.25,235.5,327.26566043506614
841,20440,8,15,969.75,409.5,6,5,1030.0,421.0,-60.25,-11.5,61.33769232698602
841,20440,9,24,816.0,864.0,2,7,969.0,708.0,-153.0,156.0,218.50629281556172
841,20440,10,7,1253.25,763.5,1,6,1200.0,470.0,53.25,293.5,298.29148915113217
1090,20689,0,35,1079.25,476.25,4,4,981.0,490.0,98.25,-13.75,99.20748459667749
1090,20689,2,34,945.0,514.125,6,4,981.0,490.0,-36.0,24.125,43.336077637460455
1090,20689,6,20,1279.5,691.125,3,6,1302.0,641.0,-22.5,50.125,54.943294631829275
1090,20689,7,1,1241.25,466.5,3,7,1343.0,479.0,-101.75,-12.5,102.51493793589303
1339,20938,1,25,1539.0,969.0,1,9,1700.0,718.0,-161.0,251.0,298.197920851236
1339,20938,3,2,1794.0,297.0,1,8,1576.0,604.0,218.0,-307.0,376.52755543253403
1339,20938,4,7,1100.25,384.375,4,5,1154.0,392.0,-53.75,-7.625,54.28814902904685
1339,20938,6,32,1302.75,367.125,3,6,1303.0,392.0,-0.25,-24.875,24.87625624968516
1339,20938,7,34,165.65625,576.0,1,0,420.0,520.0,-254.34375,56.0,260.43567951427565
1588,21187,0,33,815.25,744.75,6,6,760.0,620.0,55.25,124.75,136.4372566420184
1588,21187,2,32,1449.0,660.0,1,8,1588.0,710.0,-139.0,-50.0,147.7193284577208
1588,21187,3,25,628.5,477.75,6,2,590.0,476.0,38.5,1.75,38.53975220470417
1588,21187,4,40,1092.75,404.25,2,7,950.0,478.0,142.75,-73.75,160.6755270724201
1900,21499,0,45,1200.0,618.0,4,6,1290.0,392.0,-90.0,226.0,243.26117651610582
1900,21499,1,25,1029.75,604.125,4,3,923.0,422.0,106.75,182.125,211.1044246930888
1900,21499,3,46,987.0,480.75,4,3,923.0,422.0,64.0,58.75,86.8767086162914
1900,21499,6,44,554.25,658.5,2,1,425.0,428.0,129.25,230.5,264.2646637369438
1900,21499,7,48,653.25,501.0,2,2,850.0,417.0,-196.75,84.0,213.9312097380838
2087,21686,1,53,230.4375,729.0,1,1,149.0,632.0,81.4375,97.0,126.65333160343631
2087,21686,2,33,1080.0,837.0,2,7,998.0,677.0,82.0,160.0,179.78876494375282
2087,21686,4,46,716.25,864.0,1,2,600.0,545.0,116.25,319.0,339.5218144685257
2087,21686,7,45,428.25,648.0,2,2,600.0,545.0,-171.75,103.0,200.26747738961512
2087,21686,8,48,997.5,656.625,6,7,998.0,677.0,-0.5,-20.375,20.381134045974967
2087,21686,9,44,851.25,428.25,5,3,868.0,351.0,-16.75,77.25,79.04508207345982
2087,21686,10,15,81.5625,596.25,2,1,149.0,632.0,-67.4375,-35.75,76.32744530147724
2336,21935,0,49,834.0,338.0625,4,2,809.0,555.0,25.0,-216.9375,218.37325593178758
2336,21935,1,45,617.25,462.75,5,0,625.0,566.0,-7.75,-103.25,103.54045103243466
2336,21935,2,46,985.5,580.5,4,2,809.0,555.0,176.5,25.5,178.33255451543332
2336,21935,3,42,729.75,676.875,6,9,697.0,577.0,32.75,99.875,105.10745989224552
2336,21935,4,47,1511.25,572.25,2,8,1554.0,605.0,-42.75,-32.75,53.85280865470249
2336,21935,6,56,1293.75,537.0,1,4,1496.0,751.0,-202.25,-214.0,294.45044150077274
2336,21935,7,55,1378.5,685.5,2,4,1496.0,751.0,-117.5,-65.5,134.52323219429422
2648,22247,0,56,636.375,599.25,5,6,670.0,625.0,-33.625,-25.75,42.35213247287555
2648,22247,1,45,1416.0,457.125,1,5,1200.0,596.0,216.0,-138.875,256.7922616143251
2648,22247,2,42,1124.25,582.75,3,5,1200.0,596.0,-75.75,-13.25,76.90009752919693
2648,22247,3,57,112.5,533.25,2,9,100.0,740.0,12.5,-206.75,207.12752714209668
2897,22496,0,42,666.75,713.25,2,2,795.0,505.0,-128.25,208.25,244.5733530047785
2897,22496,1,55,924.0,597.0,4,3,934.0,553.0,-10.0,44.0,45.12205669071391
2897,22496,2,45,419.15625,501.75,2,0,442.0,508.0,-22.84375,-6.25,23.683315098661758
2897,22496,5,47,898.5,339.375,4,4,900.0,277.0,-1.5,62.375,62.39303346528361
3084,22683,0,63,1473.75,969.0,2,9,1400.0,728.0,73.75,241.0,252.03186802466072
3084,22683,1,49,1114.5,881.25,1,8,1245.0,794.0,-130.5,87.25,156.98029334919718
3084,22683,3,45,599.90625,164.625,3,0,560.0,369.0,39.90625,-204.375,208.23460186545006
3395,22994,0,81,1791.0,970.5,1,6,1580.0,705.0,211.0,265.5,339.133085970685
3395,22994,2,83,1011.0,855.0,3,8,1050.0,740.0,-39.0,115.0,121.43310915891102
3395,22994,3,69,739.5,692.25,5,0,610.0,554.0,129.5,138.25,189.42891146812832
3769,23368,1,42,838.5,254.25,1,2,815.0,425.0,23.5,-170.75,172.35954426720906
3769,23368,2,90,1194.0,281.25,3,4,1150.0,445.0,44.0,-163.75,169.55843388047674
3769,23368,3,89,990.75,451.5,3,4,1150.0,445.0,-159.25,6.5,159.38259785810996
3769,23368,4,83,642.75,296.8125,2,0,470.0,338.0,172.75,-41.1875,177.59215257507861
3769,23368,5,91,1349.25,336.0,4,6,1330.0,400.0,19.25,-64.0,66.832346210499
3769,23368,6,95,479.25,828.0,1,3,530.0,650.0,-50.75,178.0,185.09338859073276
3769,23368,7,93,1420.5,825.0,2,7,1510.0,560.0,-89.5,265.0,279.7056488525035
