candidate,audit_id,league,source_decode,source_bytes,image_width,image_height,selected_paint_quad,abstained,named_corner_proposals,matched_roles_g205,all_four_within_12px_g205,all_four_within_12px_mapped,max_mapped_distance_px,contours_total,contours_perimeter_ge_120
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973.jpg,605623,1920,1080,False,True,0,0,False,False,inf,1970,594
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785.jpg,584472,1920,1080,False,True,0,0,False,False,inf,1955,570
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171.jpg,106044,640,360,False,True,0,0,False,False,inf,817,115
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,689352,1920,1080,False,True,0,0,False,False,inf,2779,549
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,297020,1280,720,False,True,0,0,False,False,inf,1291,277
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,308901,1280,720,False,True,0,0,False,False,inf,1504,305
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,679804,1920,1080,False,True,0,0,False,False,inf,3090,495
basketball_keypoint_provider_default,ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,docs/evidence/tracking/g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,531457,1920,1080,False,True,0,0,False,False,inf,1848,345
basketball_keypoint_provider_default,wnba__wnba_01_1080p__s01__f001600,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_01_1080p__s01__f001600.jpg,621798,1920,1080,False,True,0,0,False,False,inf,3254,651
basketball_keypoint_provider_default,wnba__wnba_01_1080p__s03__f004062,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_01_1080p__s03__f004062.jpg,629254,1920,1080,False,True,0,0,False,False,inf,3096,662
basketball_keypoint_provider_default,wnba__wnba_01_1080p__s06__f007539,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_01_1080p__s06__f007539.jpg,535379,1920,1080,False,True,0,0,False,False,inf,2132,517
basketball_keypoint_provider_default,wnba__wnba_02__s11__f021983,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_02__s11__f021983.jpg,251244,1280,720,False,True,0,0,False,False,inf,1060,277
basketball_keypoint_provider_default,wnba__wnba_04__s06__f012223,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_04__s06__f012223.jpg,238301,1280,720,False,True,0,0,False,False,inf,680,229
basketball_keypoint_provider_default,wnba__wnba_06__s03__f007237,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_06__s03__f007237.jpg,598645,1920,1080,False,True,0,0,False,False,inf,3041,520
basketball_keypoint_provider_default,wnba__wnba_06__s07__f014099,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_06__s07__f014099.jpg,530179,1920,1080,False,True,0,0,False,False,inf,2163,448
basketball_keypoint_provider_default,wnba__wnba_06__s09__f018997,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_06__s09__f018997.jpg,622191,1920,1080,False,True,0,0,False,False,inf,3220,538
basketball_keypoint_provider_default,wnba__wnba_07__s08__f016801,wnba,docs/evidence/tracking/g130_recensus/source_decodes/wnba__wnba_07__s08__f016801.jpg,504523,1920,1080,False,True,0,0,False,False,inf,1788,431
