section_id,full_trace_bytes,full_trace_lines,full_trace_sha256,sealed_ticks_requested,sealed_ticks_observed,bounded_lines,bounded_sha256,emitted_bounded_sha256,emitted_rows_compared,emitted_differs_from_tracker_position
3eeaJz1PJTM_s2572,490384,9200,c80e14448fd0d12f5a9c041d3e8b9b2b5228a2f070717f30f2d4f1b893d8b8e8,1,2,184,de122b988c19b16a87396c07f738ca387e6f413b004ca59f3fb4d6d2e0cf0f4d,dbf01b782efc02aed493aa6c040f2ec4548ec76811825eeb59eda5066e809dad,12,12
3eeaJz1PJTM_s3813,482860,9200,47e23b67d1a9e484863b1dc026c137efdf8b950f2c04c45863255aca6759a328,1,2,184,ae3ceecb7e17616cf0427ae31950bbaba24da266d9fa4fb74d40e4e1c390c752,9821a94196f5e18c5fd8d2e02b495f27d1b8b2617f6554fe3a17c14d37da9aa5,8,6
3eeaJz1PJTM_s90,451600,9200,2858498e38a11f020369a30defabcb401ea490699e4cedd6ca8ff7291c8bb51a,2,4,368,d878c57c35f0d505cd567b1a5a182739c96b8a5a166721d102a0c57165ec2804,ffa079762d6c3e0145ca0893a637790b62f9d9d08175095e4f3fbeb6324f85dc,10,0
3gBeJyl7Szg_s2302,444696,9200,6eb086d58fe044604313bb43e275210e623835b433e133bd0eeb9b14331df62e,2,4,368,c8dc8f7744e0b97b37fec8fbdaa551c4a01fdf679ac42b341bd630c7ff24564f,ecaaaa2d1855b4b444d0e05c31de863e61195e10b6c286058a4c76aadea4a55f,23,19
3gBeJyl7Szg_s90,455780,9200,e4d28aa6ba9e49ff414c62dfb467645b3e657c2cab6d90c1b0a7e7b0ed689200,2,4,368,50a63a5d1f7f1e34b173faf34696fffe9ca412691a64e99e5f42fee760540759,cd769143bd23928aa6b89c356d6cd98c5da5fd2cf40793fa26fe09eb2c30f61f,23,18
4JS090XPhmM_s3537,462684,9200,df2e0c700f6fc8ef9b7b109ac4670428ea4522c58ab360be9ea618ceeb7d2b7e,2,4,368,1a2a002eb681d67cf769be72fb9e937fb1bb547f0852e735296411f9af7c5272,4b778fbb215d0acbef9bdfe64bded982ba4ba0beb7e7482bb2225d8bc5912916,11,3
4JS090XPhmM_s4686,451960,9200,e797b71dfb97159d7314f27d52908bb8b49c4e90c161012cd5993b556a15d621,2,4,368,8f761165c651853ac58b1d735a7f7e50a98d5dc5a66289bab9084af2fd46848f,f90f91484e845defd4ce87e8ebcc4a1698fa3aaab15f542d7aa7e7bdaf408b24,13,3
6rQ2sV4upfc_s1509,433372,9200,c9a6747b5892c2f00f4f6c7eac3d100e46f553b0d25ff19c82fb8263134be0d6,2,4,368,d9f35ea4203e1dbb8c7a1b5b740f29cba0c55c6a76ff089ed6ed6da4662df7a5,a20851f0fed0b673f50e7f36ef1dde245e406f234fb3c0b466ff14389af889be,23,11
6rQ2sV4upfc_s90,488076,9200,0241b64b53314b617449313de42bade77e7564552f53dd84a34860263db8d271,1,2,184,e3e858beff1c9993714dfd7ff255b1a4a221f7c9fda0e7cbf3e71d6e5454ca96,a57422f434ff3928fa373dc89c34bcf9d8ba1a6abff8d94af22664a58d842a4a,0,0
7blRl4zVfrY_s90,406352,9200,490d3fbddb371cc11fbeb9f433af80440dcd61373ff3ff035a3176cce150a9e7,2,4,368,833637dc5497c0c14879ab4c67c9be3fe36a576e9b3ec8d2e2f6a564362771c4,b9726ba9620fcf152e471ea80e7343844e9aac9da680002b0d02df4dab349750,29,25
