tree,relpath,landed,process_1,process_2,identical
audit_cards,G396_004_pair1.png,df2381887c9d6e4f913b9b6c77bbb29b4bae1c55b197da70f63c132cae17be1b,df2381887c9d6e4f913b9b6c77bbb29b4bae1c55b197da70f63c132cae17be1b,df2381887c9d6e4f913b9b6c77bbb29b4bae1c55b197da70f63c132cae17be1b,true
audit_cards,G396_013_pair1.png,808b6bbdb0f04992911fd7302cf06850ed53c1faf93b0e9f00e965d9845342d8,808b6bbdb0f04992911fd7302cf06850ed53c1faf93b0e9f00e965d9845342d8,808b6bbdb0f04992911fd7302cf06850ed53c1faf93b0e9f00e965d9845342d8,true
audit_cards,G396_017_pair1.png,d331001b4394ce798a58c73203c05f7a5c38410aa62178e46609242e092c520d,d331001b4394ce798a58c73203c05f7a5c38410aa62178e46609242e092c520d,d331001b4394ce798a58c73203c05f7a5c38410aa62178e46609242e092c520d,true
audit_cards,G396_020_pair1.png,15e8d36caea814a5845055824ec19b177bc47423946545b0e1af3ce4a86157d8,15e8d36caea814a5845055824ec19b177bc47423946545b0e1af3ce4a86157d8,15e8d36caea814a5845055824ec19b177bc47423946545b0e1af3ce4a86157d8,true
audit_cards,G396_022_pair1.png,b629070eb60a6ba4c4dc02bc235b8dbb841bd4fc0bf89c4e23151603b0be561a,b629070eb60a6ba4c4dc02bc235b8dbb841bd4fc0bf89c4e23151603b0be561a,b629070eb60a6ba4c4dc02bc235b8dbb841bd4fc0bf89c4e23151603b0be561a,true
audit_cards,G396_023_pair1.png,ec8cbe3e2f3ae45ea22e172011ff943eba02c2f01caa34a222097785fc63c0bc,ec8cbe3e2f3ae45ea22e172011ff943eba02c2f01caa34a222097785fc63c0bc,ec8cbe3e2f3ae45ea22e172011ff943eba02c2f01caa34a222097785fc63c0bc,true
audit_clicks,G396_004_pair1_astra_clicks.jpg,fd143fdd4daf46b1d70375195d7f87315f19197e177a9062e909ab53300370d9,fd143fdd4daf46b1d70375195d7f87315f19197e177a9062e909ab53300370d9,fd143fdd4daf46b1d70375195d7f87315f19197e177a9062e909ab53300370d9,true
audit_clicks,G396_004_pair1_sol_clicks.jpg,78c4439db70db514e3caaadc3a03446314f3f087e8d645f9671bf06fade99358,78c4439db70db514e3caaadc3a03446314f3f087e8d645f9671bf06fade99358,78c4439db70db514e3caaadc3a03446314f3f087e8d645f9671bf06fade99358,true
audit_clicks,G396_013_pair1_astra_clicks.jpg,9263e44da209d2d67cc09714b64c833da89c4cf977bd343ac064402efea597f5,9263e44da209d2d67cc09714b64c833da89c4cf977bd343ac064402efea597f5,9263e44da209d2d67cc09714b64c833da89c4cf977bd343ac064402efea597f5,true
audit_clicks,G396_013_pair1_sol_clicks.jpg,07b7c2ee9df89bbeb08b800c9eaba37e3688afe3bcc3cc58ee719f3b8a723920,07b7c2ee9df89bbeb08b800c9eaba37e3688afe3bcc3cc58ee719f3b8a723920,07b7c2ee9df89bbeb08b800c9eaba37e3688afe3bcc3cc58ee719f3b8a723920,true
