frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid
282,9.409,6,white,3259,148,0.9574,0.0865,0.0,0.0,0.0,corner_3,1,1037.5,320.5,693.2,pass,0.0,0.0,0.0,0.0,0,0,,,169,128,298,313,2274,474,557.99,707.5,0.0,0,90.0,4.32,20.71,0,1,5,1.0,transition,0,0.0,23.5995995995996,,,,,0.0,0.0,transition,,,0.0,0,unknown,,,90.06170724070864,,,,0,4,0
282,9.409,7,white,2616,407,0.7685,0.2379,0.0,0.0,0.0,3pt_arc,0,348.5,522.0,605.6,none,0.0,0.0,0.0,0.0,0,0,,,329,173,403,311,2274,474,557.99,777.3,0.0,0,72.24,11.89,21.08,0,1,5,1.0,transition,0,0.0,23.5995995995996,,,,,0.0,0.0,transition,,,0.0,0,unknown,,,90.06170724070864,,,,0,4,0
282,9.409,8,white,2053,630,0.6031,0.3682,0.0,0.0,0.0,mid_range,0,270.5,83.6,605.6,none,0.0,0.0,0.0,0.0,0,0,,,570,219,627,300,2274,474,557.99,1218.9,0.0,0,56.69,18.41,32.73,0,1,5,1.0,transition,0,0.0,23.5995995995996,,,,,0.0,0.0,transition,,,0.0,0,unknown,,,90.06170724070864,,,,0,4,0
282,9.409,3,green,808,1067,0.2374,0.6236,24.46,0.19,160.1,3pt_arc,0,1581.4,1319.5,1403.0,none,0.0,0.0,0.0,0.0,0,0,,,575.3984,15.399399,677.4853,154.182,2274,474,557.99,688.1,19.33,0,22.31,31.18,18.15,0,1,5,0.8,transition,0,0.0,23.5995995995996,,,,,0.0,0.0,transition,,,0.0,0,unknown,,,90.06170724070864,,,,0,4,0
282,9.409,5,green,3167,455,0.9304,0.2659,0.0,0.0,0.0,3pt_arc,0,893.2,320.5,1046.1,none,0.0,0.0,0.0,0.0,0,0,,,-15.0,26.0,83.0,156.0,2274,474,557.99,409.2,0.0,0,87.46,13.3,11.78,0,1,5,0.733,transition,0,0.0,23.5995995995996,,,,,0.0,0.0,transition,,,0.0,0,unknown,,,90.06170724070864,,,,0,4,0
285,9.51,9,white,1505,756,0.4421,0.4418,0.0,0.0,0.0,backcourt,0,1013.9,635.9,534.0,none,0.0,0.0,0.0,0.0,0,0,,,250,7,367,215,2454,399,195.0,1355.5,0.0,0,41.56,22.09,36.43,0,1,6,1.0,transition,0,28.5,23.4994994994995,,,,,0.0,0.1,transition,,,0.0,0,unknown,,,7.731609003162134,,,,0,5,0
285,9.51,10,white,2598,401,0.7632,0.2344,0.0,0.0,0.0,3pt_arc,1,144.0,86.8,619.5,pass,0.0,0.0,0.0,0.0,0,0,,,252,5,390,291,2454,399,195.0,795.5,0.0,0,71.74,11.72,21.58,0,1,6,1.0,transition,0,28.5,23.4994994994995,,,,,0.0,0.1,transition,,,0.0,0,unknown,,,7.731609003162134,,,,0,5,0
285,9.51,2,green,2122,602,0.6234,0.3518,3.07,-23.62,167.5,mid_range,0,389.1,102.9,430.4,none,0.0,0.0,0.0,0.0,0,0,,,510.0812,169.1835,596.70544,311.29178,2454,399,195.0,1156.9,-2.78,0,58.6,17.59,31.05,0,1,6,0.933,transition,0,28.5,23.4994994994995,,,,,0.0,0.1,transition,590.75,285.5,0.2580128172049639,0,unknown,,,7.731609003162134,,6,,0,5,0
285,9.51,8,white,2026,639,0.5952,0.3735,9.49,9.49,161.6,mid_range,0,490.7,102.9,534.0,none,0.0,0.0,0.0,0.0,0,0,,,570.0,219.0,627.0,300.0,2454,399,195.0,1243.8,-8.34,0,55.95,18.67,33.41,0,1,6,0.933,transition,0,28.5,23.4994994994995,,,,,0.0,0.1,transition,,,0.0,0,unknown,,,7.731609003162134,,,,0,5,0
285,9.51,3,green,728,1096,0.2139,0.6406,28.36,3.9,160.1,3pt_arc,0,1861.4,848.1,204.9,none,0.0,0.0,0.0,0.0,0,0,,,588.6542,9.120331,690.7411,147.90294,2454,399,195.0,623.1,20.87,0,20.1,32.03,16.43,0,1,6,0.733,transition,0,28.5,23.4994994994995,,,,,0.0,0.1,transition,,,0.0,0,unknown,,,7.731609003162134,,,,0,5,0
