card_id,draw_kind,section_id,frame,source_path,receiver_path,receiver_bytes,receiver_sha256_rehash,receiver_sha256_landed,receiver_rehash_equal,decoded_path,decoded_bytes,decoded_sha256_rehash,decoded_sha256_landed,decoded_rehash_equal,native_width,native_height,actual_pts_s,landed_status,status
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1,C:/Users/neelj/g406_frames/1080p30_00.png,2312330,3faed5506154923e212912d2da485d2443ee76c3269c395b3f1cdbe5f40bfb8d,3faed5506154923e212912d2da485d2443ee76c3269c395b3f1cdbe5f40bfb8d,1,1920,1080,3.937267,OK,REHASH_EQUAL
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1,C:/Users/neelj/g406_frames/1080p30_01.png,2342465,157352dfe262f581d64fb5c9d3726d180e2f8cb8b878d1b116d9bd373e4fa9ee,157352dfe262f581d64fb5c9d3726d180e2f8cb8b878d1b116d9bd373e4fa9ee,1,1920,1080,12.545867,OK,REHASH_EQUAL
1080p30_02,1080p30,UCVSlzgun0o_s2298,474,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1,C:/Users/neelj/g406_frames/1080p30_02.png,977581,b7388e5e15570af298bad9883f5b5d1155a62456ab53cc3c62abde6ee43f121e,b7388e5e15570af298bad9883f5b5d1155a62456ab53cc3c62abde6ee43f121e,1,1920,1080,15.8158,OK,REHASH_EQUAL
1080p30_03,1080p30,UCVSlzgun0o_s2298,735,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1,C:/Users/neelj/g406_frames/1080p30_03.png,2333186,87dad8f0d1b71696dba5210c7711debdc2307d5704aa8c4acd4a12d5e17ff5be,87dad8f0d1b71696dba5210c7711debdc2307d5704aa8c4acd4a12d5e17ff5be,1,1920,1080,24.5245,OK,REHASH_EQUAL
1080p30_04,1080p30,UCVSlzgun0o_s90,820,/workspace/g364_scratch/val/UCVSlzgun0o_s90.mp4,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s90.mp4,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,1,C:/Users/neelj/g406_frames/1080p30_04.png,2434235,40f6904c931371c60442b02ff3915f10bd986f4e95035602cf3c331cd6160e3b,40f6904c931371c60442b02ff3915f10bd986f4e95035602cf3c331cd6160e3b,1,1920,1080,27.360667,OK,REHASH_EQUAL
1080p30_05,1080p30,UzaYBYy3GZg_s90,908,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,C:/Users/neelj/g402_receiver/UzaYBYy3GZg_s90.mp4,70876617,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,1,C:/Users/neelj/g406_frames/1080p30_05.png,2176337,a963aea6abeb2c6db4a01578f3b1f87676bcd983a443c2ebf54fcd3cb9834ca0,a963aea6abeb2c6db4a01578f3b1f87676bcd983a443c2ebf54fcd3cb9834ca0,1,1920,1080,30.296933,OK,REHASH_EQUAL
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s1317.mp4,65439426,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1,C:/Users/neelj/g406_frames/1080p30_06.png,2480822,269ff5151ef071db733d1eb7f6ef0345664bc8781c17a5d7ed86f6fef22420ec,269ff5151ef071db733d1eb7f6ef0345664bc8781c17a5d7ed86f6fef22420ec,1,1920,1080,32.032,OK,REHASH_EQUAL
1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,/workspace/g364_scratch/val/Vm0FqeGo-8g_s90.mp4,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s90.mp4,78483924,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,1,C:/Users/neelj/g406_frames/1080p30_07.png,2453114,de48ca0a561e66c2545c78438cf8cdf208dbdd0f21c39a958f1b69609c19ded2,de48ca0a561e66c2545c78438cf8cdf208dbdd0f21c39a958f1b69609c19ded2,1,1920,1080,35.602233,OK,REHASH_EQUAL
1080p30_08,1080p30,X5w3V6rh26s_s90,1145,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,C:/Users/neelj/g402_receiver/X5w3V6rh26s_s90.mp4,71367114,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1,C:/Users/neelj/g406_frames/1080p30_08.png,2512660,2574deed6900d61cdfad92106e726a8102abe9467b8dc72b9ce413d91662cd4c,2574deed6900d61cdfad92106e726a8102abe9467b8dc72b9ce413d91662cd4c,1,1920,1080,38.204833,OK,REHASH_EQUAL
1080p30_09,1080p30,Y1cgaIWW8gk_s1437,1239,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,C:/Users/neelj/g402_receiver/Y1cgaIWW8gk_s1437.mp4,73218045,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1,C:/Users/neelj/g406_frames/1080p30_09.png,1679528,66b64c2b0ea4c94a1f1b61bb8af38e3f02b5c09839b33308efcce61526d3174d,66b64c2b0ea4c94a1f1b61bb8af38e3f02b5c09839b33308efcce61526d3174d,1,1920,1080,41.3,OK,REHASH_EQUAL
