path,line,tokens,text,kind,receipt_field_present
src/pipeline/unified_pipeline.py,2041,previous_bb,"""bbox"":             p.previous_bb,",read,0
src/pipeline/unified_pipeline.py,2736,bbox_x1,"""bbox_x1"":            bbox[1] if bbox else """",",emit,0
src/pipeline/unified_pipeline.py,2737,bbox_y1,"""bbox_y1"":            bbox[0] if bbox else """",",emit,0
src/pipeline/unified_pipeline.py,2738,bbox_x2,"""bbox_x2"":            bbox[3] if bbox else """",",emit,0
src/pipeline/unified_pipeline.py,2739,bbox_y2,"""bbox_y2"":            bbox[2] if bbox else """",",emit,0
src/pipeline/unified_pipeline.py,3107,previous_bb,"if p.team != ""referee"" and p.previous_bb is not None and frame_idx in p.positions:",read,0
src/pipeline/unified_pipeline.py,3109,previous_bb,"iou = FeetDetector.bb_intersection_over_union(bbox_iou, p.previous_bb)",read,0
src/pipeline/unified_pipeline.py,3124,previous_bb,"if p.team != ""referee"" and p.previous_bb is not None and frame_idx in p.positions:",read,0
src/pipeline/unified_pipeline.py,3125,previous_bb,"pb = p.previous_bb  # (y1, x1, y2, x2)",read,0
src/pipeline/unified_pipeline.py,3988,bbox_x1 bbox_y1 bbox_x2 bbox_y2,"""bbox_x1"", ""bbox_y1"", ""bbox_x2"", ""bbox_y2"",",read,0
src/tracking/advanced_tracker.py,621,previous_bb,and self.players[slot].previous_bb is not None,read,0
src/tracking/advanced_tracker.py,626,previous_bb,"p.previous_bb = det[""bbox""]",write,0
src/tracking/advanced_tracker.py,1163,previous_bb,# Update previous_bb with predicted position so ball tracker stays accurate,read,0
src/tracking/advanced_tracker.py,1164,previous_bb,if self.players[slot].previous_bb is not None:,read,0
src/tracking/advanced_tracker.py,1165,previous_bb,self.players[slot].previous_bb = self._kf_pred[slot],write,0
src/tracking/advanced_tracker.py,1282,previous_bb,and p.previous_bb is not None,read,0
src/tracking/advanced_tracker.py,1546,previous_bb,p.previous_bb = None,write,0
src/tracking/advanced_tracker.py,1574,previous_bb,p.previous_bb = None,write,0
src/tracking/advanced_tracker.py,1607,previous_bb,"if p.team == det[""team""] and p.previous_bb is None:",read,0
src/tracking/advanced_tracker.py,1618,previous_bb,and p.previous_bb is not None,read,0
src/tracking/advanced_tracker.py,1623,previous_bb,p.previous_bb = None,write,0
src/tracking/advanced_tracker.py,1640,previous_bb,and p.previous_bb is not None,read,0
src/tracking/advanced_tracker.py,1668,previous_bb,and p.previous_bb is not None,read,0
src/tracking/advanced_tracker.py,1782,previous_bb,if p.previous_bb is not None:,read,0
src/tracking/advanced_tracker.py,1794,previous_bb,p.previous_bb = None,write,0
src/tracking/ball_detect_track.py,573,previous_bb,"bb = getattr(holder, ""previous_bb"", None)",read,0
src/tracking/ball_detect_track.py,859,previous_bb,p.previous_bb[2] - p.previous_bb[0],read,0
src/tracking/ball_detect_track.py,861,previous_bb,"if p.previous_bb is not None and p.team != ""referee""",read,0
src/tracking/ball_detect_track.py,876,previous_bb,"if p.team != ""referee"" and p.previous_bb is not None and timestamp in p.positions:",read,0
src/tracking/ball_detect_track.py,877,previous_bb,"iou = FeetDetector.bb_intersection_over_union(bbox_iou, p.previous_bb)",read,0
src/tracking/ball_detect_track.py,889,previous_bb,bb = p.previous_bb,read,0
src/tracking/player.py,6,previous_bb,"self.previous_bb = None   # (y1, x1, y2, x2) bounding box for IoU matching",write,0
src/tracking/player_detection.py,164,previous_bb,if player.team == color_key and player.previous_bb is not None:,read,0
src/tracking/player_detection.py,165,previous_bb,"iou_val = self.bb_intersection_over_union(bbox, player.previous_bb)",read,0
src/tracking/player_detection.py,171,previous_bb,best[1].previous_bb = bbox,write,0
src/tracking/player_detection.py,175,previous_bb,if player.team == color_key and player.previous_bb is None:,read,0
src/tracking/player_detection.py,176,previous_bb,player.previous_bb = bbox,write,0
src/tracking/player_detection.py,183,previous_bb,player.previous_bb = None,write,0
src/tracking/video_handler.py,106,previous_bb,"""bbox"":       player.previous_bb,",read,0
scripts/cv_fix_ocr_replay.py,40,bbox_x1 bbox_y1 bbox_x2 bbox_y2,"bb = (r.get(""bbox_x1""), r.get(""bbox_y1""), r.get(""bbox_x2""), r.get(""bbox_y2""))",read,0
scripts/platformkit/basketball_relabel_image_px.py,27,bbox_x1 bbox_y1 bbox_x2 bbox_y2,"_BBOX_COLUMNS = (""bbox_x1"", ""bbox_y1"", ""bbox_x2"", ""bbox_y2"")",read,0
scripts/platformkit/basketball_relabel_image_px.py,66,bbox_x1 bbox_y2,"that survive to CSV are ``bbox_x1..bbox_y2``, so ``x``/``y`` are the bbox",read,0
scripts/platformkit/basketball_relabel_image_px.py,82,bbox_x1 bbox_x2,"""x"": (bbox[""bbox_x1""] + bbox[""bbox_x2""]) / 2.0,",read,0
scripts/platformkit/basketball_relabel_image_px.py,83,bbox_y2,"""y"": bbox[""bbox_y2""],",read,0
