card_id,producer_box_id,comparator_det_id,iou,producer_centre_y_cropped,comparator_centre_y_native,dy_old_signed,dy_plus_origin_unclipped,dy_after_clipping,clipping_delta,dx_old_signed
1080p30_01,1080p30_01_r02,1080p30_01_d01,0.566571,373.0,422.625,-49.625,10.375,10.375,0.0,3.5
1080p30_02,1080p30_02_r00,1080p30_02_d00,0.856033,503.0,558.0,-55.0,5.0,11.5,6.5,0.0
1080p30_06,1080p30_06_r02,1080p30_06_d03,0.501982,741.5,809.25,-67.75,-7.75,-7.75,0.0,7.875
1080p30_07,1080p30_07_r05,1080p30_07_d04,0.5042,679.0,727.875,-48.875,11.125,11.125,0.0,-17.375
1080p30_08,1080p30_08_r00,1080p30_08_d03,0.533138,752.5,813.1875,-60.6875,-0.6875,-0.6875,0.0,14.5
1080p30_10,1080p30_10_r00,1080p30_10_d01,0.779467,684.0,742.3125,-58.3125,1.6875,-1.8125,-3.5,-18.5
1080p30_12,1080p30_12_r02,1080p30_12_d07,0.544236,582.5,632.625,-50.125,9.875,9.875,0.0,13.0
1080p30_12,1080p30_12_r03,1080p30_12_d01,0.511471,726.5,786.0,-59.5,0.5,0.5,0.0,9.0
1080p30_13,1080p30_13_r00,1080p30_13_d05,0.581794,708.5,767.25,-58.75,1.25,1.25,0.0,0.0
1080p30_13,1080p30_13_r02,1080p30_13_d07,0.542854,535.0,594.0,-59.0,1.0,1.0,0.0,1.375
1080p30_14,1080p30_14_r01,1080p30_14_d01,0.80342,594.5,646.875,-52.375,7.625,4.125,-3.5,-5.0
1080p30_14,1080p30_14_r00,1080p30_14_d00,0.74857,589.5,651.75,-62.25,-2.25,-2.75,-0.5,20.0
1080p30_15,1080p30_15_r01,1080p30_15_d00,0.589449,583.385325,640.125,-56.739675000000034,3.260324999999966,3.260324999999966,0.0,11.218200000000024
1080p30_16,1080p30_16_r00,1080p30_16_d00,0.695669,169.0,227.203,-58.203,1.796999999999997,9.296999999999997,7.5,-9.406000000000006
1080p30_17,1080p30_17_r02,1080p30_17_d03,0.613832,636.5,687.75,-51.25,8.75,8.75,0.0,3.0
1080p30_17,1080p30_17_r01,1080p30_17_d01,0.532635,582.0,638.25,-56.25,3.75,3.75,0.0,-1.75
1080p30_17,1080p30_17_r00,1080p30_17_d08,0.50459,410.5,468.844,-58.343999999999994,1.656000000000006,1.656000000000006,0.0,-13.5
1080p30_18,1080p30_18_r02,1080p30_18_d00,0.62177,322.5,374.156,-51.656000000000006,8.343999999999994,8.343999999999994,0.0,-11.375
1080p30_18,1080p30_18_r05,1080p30_18_d01,0.585901,502.0,550.125,-48.125,11.875,11.875,0.0,9.0
1080p30_18,1080p30_18_r04,1080p30_18_d05,0.512242,243.0,303.75,-60.75,-0.75,-0.75,0.0,0.0
1080p30_20,1080p30_20_r01,1080p30_20_d02,0.614559,546.19087,599.25,-53.05912999999998,6.940870000000018,6.940870000000018,0.0,-7.860850000000028
1080p30_20,1080p30_20_r00,1080p30_20_d05,0.589201,538.5,587.625,-49.125,10.875,10.875,0.0,0.0
1080p30_21,1080p30_21_r01,1080p30_21_d00,0.529461,476.0,531.0,-55.0,5.0,5.0,0.0,-18.875
1080p30_22,1080p30_22_r01,1080p30_22_d09,0.798374,459.38751,525.75,-66.36248999999998,-6.36248999999998,-6.36248999999998,0.0,-20.61897500000009
1080p30_22,1080p30_22_r00,1080p30_22_d02,0.740028,458.450685,526.594,-68.14331500000003,-8.14331500000003,-8.14331500000003,0.0,26.962200000000053
1080p30_22,1080p30_22_r02,1080p30_22_d00,0.541149,643.5,734.25,-90.75,-30.75,-30.75,0.0,-108.0
1080p30_24,1080p30_24_r01,1080p30_24_d01,0.558892,586.5,642.75,-56.25,3.75,3.75,0.0,24.0
