card_id,draw_kind,section_id,frame,sealed_ordinal,native_width,native_height,producer_silence,status,render_path,render_sha256,render_bytes,crop_sha256,crop_width,crop_height,boxes_drawn
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,,1920,1080,0,OK,renders/1080p30_00.jpg,6a7ceba9289110a771dcb77c9307c14dc9135b7dcae727ff5ac6cf72981241f9,447803,87c4a01d53d50ee6f447272b322f16d09d28299708a10f55367706fc8920e9c7,1920,1020,4
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,,1920,1080,0,OK,renders/1080p30_01.jpg,0f1976c41ba8f218345d81a9a2639c70612a9bbc14e44797982672a84fe0d232,447449,d7be9be01581b150b6df8bfa2e0065d0a73547013499eeb32d65fb767d9cd21f,1920,1020,4
1080p30_02,1080p30,UCVSlzgun0o_s2298,474,,1920,1080,0,OK,renders/1080p30_02.jpg,0aca48f360b81e0bcff3d269c3e8b80bd8fc374d8627a7805aaff6539c3430eb,229856,56592e7d7851d46369c55989d2fc8dcb0e9901e51b590a83dab413042db2f92a,1920,1020,2
1080p30_03,1080p30,UCVSlzgun0o_s2298,735,,1920,1080,0,OK,renders/1080p30_03.jpg,68d6ca557b20ac7fd5c940cba999a2f7d36b05c50496e68deaf79f0ac2e5de8d,417995,87aed1775b478868d642e1cd1653211043bd59daa5c02359267274511355c462,1920,1020,3
1080p30_04,1080p30,UCVSlzgun0o_s90,820,,1920,1080,0,OK,renders/1080p30_04.jpg,b154acb8a5638b6296ab04e44e2a798d1e414fe5606ccccfb061fe5985773317,428253,ab282b03aabd9eeba980255fc477affcb57d4efb12ef8b70ccae956e94b7d039,1920,1020,3
1080p30_05,1080p30,UzaYBYy3GZg_s90,908,,1920,1080,0,OK,renders/1080p30_05.jpg,e2f3370f41f22d02eb2b3a1dc6022a38a9c35d5ae576aa0181165f39eedc8975,431839,d96e8739a8f9c682b83023d8786fce3f457387feec7d43b70fbec28c2279e045,1920,1020,4
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,,1920,1080,0,OK,renders/1080p30_06.jpg,5d055873679bd68f49c7aa4def5ceee4bccc32ee7b22c948bf7655bea1a75a15,469308,6129cd8112fa8ccae1f03437171325c89507fa1311c92a86c1c81ad3a2d8a4eb,1920,1020,6
1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,,1920,1080,0,OK,renders/1080p30_07.jpg,67eafa9c86bf7880235071455a6a55561821053976d4d8cf1fb6b5c9f89beb6a,485644,0cfac6451cbf43cc65621d5356cc1ebf03104b5a6f1d9eff401369c446b2253e,1920,1020,6
1080p30_08,1080p30,X5w3V6rh26s_s90,1145,,1920,1080,0,OK,renders/1080p30_08.jpg,37e5a82c39e9c1aa791708d2589a71bc4248be37a11f26649ae95773b573820b,466893,e6c69a51c30fa852edbf07dd17dfcbdb8d39a934b5a66b68618d6e29804fe035,1920,1020,1
1080p30_09,1080p30,Y1cgaIWW8gk_s1437,1239,,1920,1080,1,UNKNOWN_SILENT,renders/1080p30_09.jpg,f5a29427a9579b6bedde1afdf0fc15e51f6334d8e53a756b70c388fc97b6fe64,305253,3950d9483fc07d8294f64cba4226f3798d760ac7f8c20cd346b0ee95a17fb006,1920,1020,0
1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,,1920,1080,0,OK,renders/1080p30_10.jpg,43cd778d0027a0ba3dc2e79df0784b93bb923245921975d736445f3e43557efd,304351,a8d7282d93375c56f06fc584684f2c677135740cf005eb06f134b35b730267ca,1920,1020,2
1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,,1920,1080,0,OK,renders/1080p30_11.jpg,b4e20cd281d9df92211be7f932760c83de180e786cd781017081a38cdbea4704,291864,6f10e6dd728b13f5f336013de627e6815a8f4852a83abf45952accb8638cc8fd,1920,1020,5
