unit,box_id,card_id,section_id,frame,position_source,source_branch,route,crop_width,crop_height,stored_xyxy,native_padded_xyxy,native_detector_xyxy,clipped,within_padded_crop_bound,legacy_identical,box_frame,box_crop_origin_y_px,box_padding_px,box_receipt_status,box_receipt_reason
real_row,1080p30_00_r00,1080p30_00,9sq-YMlIo9Q_s2346,118,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,fresh_box,1920,1020,1275.0 225.0 1377.0 457.0,1275.0 285.0 1377.0 517.0,1290.0 300.0 1362.0 502.0,0,1,1,topcut60_pad15,60,15,BOUND,
real_row,1080p30_00_r01,1080p30_00,9sq-YMlIo9Q_s2346,118,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,fresh_box,1920,1020,647.0 211.0 737.0 421.0,647.0 271.0 737.0 481.0,662.0 286.0 722.0 466.0,0,1,1,topcut60_pad15,60,15,BOUND,
real_row,1080p30_00_r02,1080p30_00,9sq-YMlIo9Q_s2346,118,PREDICTION,src/tracking/advanced_tracker.py:id_merge,prediction,1920,1020,820.0 365.0 988.0 607.0,820.0 425.0 988.0 667.0,835.0 440.0 973.0 652.0,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unbound-prediction
real_row,1080p30_00_r03,1080p30_00,9sq-YMlIo9Q_s2346,118,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,fresh_box,1920,1020,1527.0 184.0 1641.0 399.0,1527.0 244.0 1641.0 459.0,1542.0 259.0 1626.0 444.0,0,1,1,topcut60_pad15,60,15,BOUND,
real_row,1080p30_01_r00,1080p30_01,9sq-YMlIo9Q_s2346,376,PREDICTION,src/tracking/advanced_tracker.py:id_merge,prediction,1920,1020,757.0 417.0 916.0 732.0,757.0 477.0 916.0 792.0,772.0 492.0 901.0 777.0,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unbound-prediction
real_row,1080p30_01_r01,1080p30_01,9sq-YMlIo9Q_s2346,376,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,retained_point,1920,1020,730.0 145.0 868.0 416.0,730.0 205.0 868.0 476.0,745.0 220.0 853.0 461.0,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unbound-retained_point
real_row,1080p30_01_r02,1080p30_01,9sq-YMlIo9Q_s2346,376,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,fresh_box,1920,1020,1084.0 200.0 1224.0 546.0,1084.0 260.0 1224.0 606.0,1099.0 275.0 1209.0 591.0,0,1,1,topcut60_pad15,60,15,BOUND,
real_row,1080p30_01_r03,1080p30_01,9sq-YMlIo9Q_s2346,376,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,retained_point,1920,1020,1005.0 176.0 1116.0 422.0,1005.0 236.0 1116.0 482.0,1020.0 251.0 1101.0 467.0,0,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unbound-retained_point
real_row,1080p30_02_r00,1080p30_02,UCVSlzgun0o_s2298,474,PREDICTION,src/tracking/advanced_tracker.py:id_merge,prediction,1920,1020,1320.0 -13.0 1935.0 1019.0,1320.0 60 1920 1079.0,1335.0 62.0 1920 1064.0,1,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unbound-prediction
real_row,1080p30_02_r01,1080p30_02,UCVSlzgun0o_s2298,474,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,retained_point,1920,1020,1713.0 -15.0 1935.0 504.0,1713.0 60 1920 564.0,1728.0 60 1920 549.0,1,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unbound-retained_point
