card_id,draw_kind,section_id,frame,actual_pts_s,native_width,native_height,crop_width,crop_height,producer_rows,stored_boxes,producer_silence,comparator_boxes,fresh_box_rows,prediction_rows,retained_point_rows,boxes_within_padded_crop_bound,max_stored_y2,padded_crop_bound,decoded_sha256,decoded_bytes,status
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,3.937267,1920,1080,1920,1020,4,4,0,11,3,1,0,4,607.0,1035,3faed5506154923e212912d2da485d2443ee76c3269c395b3f1cdbe5f40bfb8d,2312330,MEASURED
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,12.545867,1920,1080,1920,1020,4,4,0,11,1,1,2,4,732.0,1035,157352dfe262f581d64fb5c9d3726d180e2f8cb8b878d1b116d9bd373e4fa9ee,2342465,MEASURED
1080p30_02,1080p30,UCVSlzgun0o_s2298,474,15.8158,1920,1080,1920,1020,2,2,0,2,0,1,1,2,1019.0,1035,b7388e5e15570af298bad9883f5b5d1155a62456ab53cc3c62abde6ee43f121e,977581,MEASURED
1080p30_03,1080p30,UCVSlzgun0o_s2298,735,24.5245,1920,1080,1920,1020,3,3,0,9,0,2,1,3,863.0,1035,87dad8f0d1b71696dba5210c7711debdc2307d5704aa8c4acd4a12d5e17ff5be,2333186,MEASURED
1080p30_04,1080p30,UCVSlzgun0o_s90,820,27.360667,1920,1080,1920,1020,3,3,0,14,0,0,3,3,390.0,1035,40f6904c931371c60442b02ff3915f10bd986f4e95035602cf3c331cd6160e3b,2434235,MEASURED
1080p30_05,1080p30,UzaYBYy3GZg_s90,908,30.296933,1920,1080,1920,1020,4,4,0,10,0,1,3,4,909.0,1035,a963aea6abeb2c6db4a01578f3b1f87676bcd983a443c2ebf54fcd3cb9834ca0,2176337,MEASURED
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,32.032,1920,1080,1920,1020,6,6,0,11,2,3,1,6,874.0,1035,269ff5151ef071db733d1eb7f6ef0345664bc8781c17a5d7ed86f6fef22420ec,2480822,MEASURED
1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,35.602233,1920,1080,1920,1020,6,6,0,11,2,1,3,6,903.0,1035,de48ca0a561e66c2545c78438cf8cdf208dbdd0f21c39a958f1b69609c19ded2,2453114,MEASURED
1080p30_08,1080p30,X5w3V6rh26s_s90,1145,38.204833,1920,1080,1920,1020,1,1,0,15,0,0,1,1,907.0,1035,2574deed6900d61cdfad92106e726a8102abe9467b8dc72b9ce413d91662cd4c,2512660,MEASURED
1080p30_09,1080p30,Y1cgaIWW8gk_s1437,1239,41.3,1920,1080,1920,1020,0,0,1,9,0,0,0,0,,1035,66b64c2b0ea4c94a1f1b61bb8af38e3f02b5c09839b33308efcce61526d3174d,1679528,UNKNOWN_SILENT
1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,44.566667,1920,1080,1920,1020,2,2,0,5,1,1,0,2,1027.0,1035,0ffdae12bdeebb4f335eaa82e1da0683394119198d0bb5f8711dcd381e44426d,1543025,MEASURED
1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,53.166667,1920,1080,1920,1020,5,5,0,11,0,0,5,5,818.72974,1035,e1a8f092478a4bad6e2ff2c055448cb09baa712b843e5d0557eed9b08695edbb,1553422,MEASURED
1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,52.866667,1920,1080,1920,1020,6,6,0,13,2,3,1,6,879.0,1035,60a6d10784678d09e2a8a06385007c0b74ce31c80fe87a33265ab037afc2eb1f,1759308,MEASURED
1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,61.466667,1920,1080,1920,1020,4,4,0,13,1,2,1,4,880.0,1035,cbf26a8973acb5a62e98214732e9fb83a49a94a250e2cb670d2bf899cf59c5e5,2035989,MEASURED
1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,64.533333,1920,1080,1920,1020,4,4,0,4,0,1,3,4,1027.0,1035,a6e3aad1cceca2e0f4dfa79ab0fac6320c0afab786f8ccd6c44f2b0d4a1b90ab,1734003,MEASURED
1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,66.8,1920,1080,1920,1020,5,5,0,4,0,0,5,5,733.4955,1035,8a27ee6ac382d1c87c31b15b885d33c22da9e5f1f3f90a6bfcd48e57ac8cf0f6,1749051,MEASURED
1080p30_16,1080p30,yZ5u2sOpiNU_s3933,2031,67.7677,1920,1080,1920,1020,1,1,0,3,0,0,1,1,353.0,1035,6f49af0664fea4c8fd3989f6d49f4ca24f6fd86e3d83151c4013d6503afbe594,1735473,MEASURED
1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,70.203467,1920,1080,1920,1020,4,4,0,15,2,2,0,4,813.0,1035,1941a2538703e3334d9efbfaaa7702bb0aabadb2879b2e5a7317f2fea1e230d8,2211859,MEASURED
1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,76.709967,1920,1080,1920,1020,7,7,0,15,2,0,5,7,1035.0,1035,bab6efdca92da53b23bcf6e0f4e90d156c0c9f5eaca1d38785e6d7f892d767e3,2026543,MEASURED
