source_frame,signed_distance_frames,acquired_g222_unchanged,matches,inliers,inlier_ratio,rms_reprojection_px,render_path
0,-19599,True,147,113,0.7687074829931972,0.3186911940574646,acquired_renders/frame_000000.jpg
2000,-17599,True,376,297,0.7898936170212766,0.5251101851463318,acquired_renders/frame_002000.jpg
4000,-15599,True,267,234,0.8764044943820225,0.5214274525642395,acquired_renders/frame_004000.jpg
6000,-13599,True,273,235,0.8608058608058609,0.5860236287117004,acquired_renders/frame_006000.jpg
8000,-11599,True,566,528,0.9328621908127208,0.5939241051673889,acquired_renders/frame_008000.jpg
10000,-9599,True,510,473,0.9274509803921569,0.5974953770637512,acquired_renders/frame_010000.jpg
12000,-7599,True,337,274,0.8130563798219584,0.615990161895752,acquired_renders/frame_012000.jpg
14000,-5599,True,149,111,0.7449664429530202,0.34525376558303833,acquired_renders/frame_014000.jpg
16000,-3599,True,459,426,0.9281045751633987,0.4264374077320099,acquired_renders/frame_016000.jpg
18000,-1599,True,274,228,0.8321167883211679,0.5079323649406433,acquired_renders/frame_018000.jpg
19599,0,True,2000,2000,1.0,0.0,acquired_renders/frame_019599.jpg
20000,401,True,543,513,0.9447513812154696,0.4000231921672821,acquired_renders/frame_020000.jpg
22000,2401,True,601,564,0.9384359400998337,0.3832303583621979,acquired_renders/frame_022000.jpg
24000,4401,True,108,63,0.5833333333333334,0.5086588263511658,acquired_renders/frame_024000.jpg
26000,6401,True,488,399,0.8176229508196722,0.4729779064655304,acquired_renders/frame_026000.jpg
28000,8401,True,299,255,0.8528428093645485,0.3313688039779663,acquired_renders/frame_028000.jpg
30000,10401,True,261,221,0.8467432950191571,0.34969860315322876,acquired_renders/frame_030000.jpg
32000,12401,True,440,407,0.925,0.5106703639030457,acquired_renders/frame_032000.jpg
34000,14401,True,492,458,0.9308943089430894,0.4993782341480255,acquired_renders/frame_034000.jpg
36000,16401,True,343,274,0.7988338192419825,0.5091923475265503,acquired_renders/frame_036000.jpg
38000,18401,True,312,271,0.8685897435897436,0.5257123112678528,acquired_renders/frame_038000.jpg
40000,20401,True,373,331,0.8873994638069705,0.521399974822998,acquired_renders/frame_040000.jpg
42000,22401,True,291,247,0.8487972508591065,0.5263459086418152,acquired_renders/frame_042000.jpg
44000,24401,True,658,631,0.958966565349544,0.4757981300354004,acquired_renders/frame_044000.jpg
46000,26401,True,465,446,0.9591397849462365,0.3876452147960663,acquired_renders/frame_046000.jpg
48000,28401,True,399,342,0.8571428571428571,0.4565640389919281,acquired_renders/frame_048000.jpg
50000,30401,True,391,329,0.8414322250639387,0.3804676830768585,acquired_renders/frame_050000.jpg
