"table_id","tracking_csv","recoverability_bucket","evidence_code"
"0022400625","data/tracking/0022400625/tracking_data.csv","NOT_RECOVERABLE","LEGACY_MANIFEST_FRAME_IDX"
"0022400687","data/tracking/0022400687/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022400690","data/tracking/0022400690/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022400710","data/tracking/0022400710/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022400852","data/tracking/0022400852/tracking_data.csv","NOT_RECOVERABLE","LEGACY_MANIFEST_NEGATIVE"
"0022400909","data/tracking/0022400909/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022400923","data/tracking/0022400923/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022401156","data/tracking/0022401156/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022401183","data/tracking/0022401183/tracking_data.csv","NOT_RECOVERABLE","LEGACY_MANIFEST_FRAME_IDX"
"0022401185","data/tracking/0022401185/tracking_data.csv","NOT_RECOVERABLE","LEGACY_MANIFEST_FRAME_IDX"
"0022401190","data/tracking/0022401190/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022401194","data/tracking/0022401194/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022401196","data/tracking/0022401196/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022401198","data/tracking/0022401198/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500002","data/tracking/0022500002/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500004","data/tracking/0022500004/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500005","data/tracking/0022500005/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500006","data/tracking/0022500006/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500020","data/tracking/0022500020/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500021","data/tracking/0022500021/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500023","data/tracking/0022500023/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500024","data/tracking/0022500024/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500028","data/tracking/0022500028/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500029","data/tracking/0022500029/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500030","data/tracking/0022500030/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500031","data/tracking/0022500031/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500032","data/tracking/0022500032/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500033","data/tracking/0022500033/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500034","data/tracking/0022500034/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500035","data/tracking/0022500035/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500036","data/tracking/0022500036/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500037","data/tracking/0022500037/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500038","data/tracking/0022500038/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500039","data/tracking/0022500039/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500040","data/tracking/0022500040/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500041","data/tracking/0022500041/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500042","data/tracking/0022500042/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500043","data/tracking/0022500043/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500044","data/tracking/0022500044/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500045","data/tracking/0022500045/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500046","data/tracking/0022500046/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500047","data/tracking/0022500047/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500048","data/tracking/0022500048/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500049","data/tracking/0022500049/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500053","data/tracking/0022500053/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500054","data/tracking/0022500054/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500055","data/tracking/0022500055/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500060","data/tracking/0022500060/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500061","data/tracking/0022500061/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500062","data/tracking/0022500062/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500063","data/tracking/0022500063/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500064","data/tracking/0022500064/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500065","data/tracking/0022500065/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500066","data/tracking/0022500066/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500067","data/tracking/0022500067/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500068","data/tracking/0022500068/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500081","data/tracking/0022500081/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500083","data/tracking/0022500083/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500088","data/tracking/0022500088/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500090","data/tracking/0022500090/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500093","data/tracking/0022500093/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500097","data/tracking/0022500097/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
"0022500099","data/tracking/0022500099/tracking_data.csv","NOT_RECOVERABLE","NO_AUDITABLE_DENOMINATOR"
