directory_name,table_path,rows,acquisition_sport,harness_sport,status,evaluated_frames,coverage_on_evaluated_frames_pct,ball_valid_on_evaluated_frames_pct,verdict,passed,first_failure_category,first_failure_head,reason
mlb_A5AkcaXA2fk,/workspace/nba-ai-system/data/tracking/mlb_A5AkcaXA2fk/tracking_data.csv,79013,mlb,baseball,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_gDv5xF2AA2E,/workspace/nba-ai-system/data/tracking/mlb_gDv5xF2AA2E/tracking_data.csv,0,mlb,,EXCLUDED,,,,,,,,noncanonical tracking table; missing cls frame track_id x y
mlb_nLoG6gvC-Nk,/workspace/nba-ai-system/data/tracking/mlb_nLoG6gvC-Nk/tracking_data.csv,118535,mlb,baseball,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
ncaa_basketball_IB-_u4gW3ds,/workspace/nba-ai-system/data/tracking/ncaa_basketball_IB-_u4gW3ds/tracking_data.csv,271,ncaa_basketball,,EXCLUDED,,,,,,,,noncanonical tracking table; missing cls track_id x y
npb_01,/workspace/nba-ai-system/data/tracking/npb_01/tracking_data.csv,140965,npb,baseball,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
npb_02,/workspace/nba-ai-system/data/tracking/npb_02/tracking_data.csv,154016,npb,baseball,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
npb_03,/workspace/nba-ai-system/data/tracking/npb_03/tracking_data.csv,139970,npb,baseball,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
soccer_c1mzmBGHQr4,/workspace/nba-ai-system/data/tracking/soccer_c1mzmBGHQr4/tracking_data.csv,182403,soccer,soccer,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport soccer; a preserved detection corpus is never a scorable game,
soccer_dnR5C6WLJI4,/workspace/nba-ai-system/data/tracking/soccer_dnR5C6WLJI4/tracking_data.csv,237203,soccer,soccer,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport soccer; a preserved detection corpus is never a scorable game,
soccer_kSgNjoaqCpI,/workspace/nba-ai-system/data/tracking/soccer_kSgNjoaqCpI/tracking_data.csv,230794,soccer,soccer,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport soccer; a preserved detection corpus is never a scorable game,
tennis_01,/workspace/nba-ai-system/data/tracking/tennis_01/tracking_data.csv,19437,tennis,tennis,SCORED,30000,0.2794,0.0890,FAIL,false,jump_max,jump_max 108.39 > 8.00,
tennis_02,/workspace/nba-ai-system/data/tracking/tennis_02/tracking_data.csv,1637,tennis,tennis,SCORED,30000,0.0251,0.0044,FAIL,false,median_track_len,median_track_len 1.00 < 3.00,
tennis_ref01,/workspace/nba-ai-system/data/tracking/tennis_ref01/tracking_data.csv,1861,tennis,tennis,SCORED,9591,0.0745,0.0449,FAIL,false,duplicate_frame_track_rows,duplicate frame-track rows 4,
tennis_smoke,/workspace/nba-ai-system/data/tracking/tennis_smoke/tracking_data.csv,1861,tennis,,UNSCORABLE,,,,,,,,durable harness_verdict.json with csv_fsynced=true absent
wnba_01,/workspace/nba-ai-system/data/tracking/wnba_01/tracking_data.csv,3377,wnba,,EXCLUDED,,,,,,,,noncanonical tracking table; missing cls track_id x y
wnba_02,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,4171,wnba,,EXCLUDED,,,,,,,,noncanonical tracking table; missing cls track_id x y
