source_resolution,games,n_observations,n_wholly,share_wholly,share_wholly_frac,n_partial,share_partial,share_partial_frac,n_wholly_padremoved,n_wholly_coasting,n_wholly_matched
1280x720,000060,246337,011881,4.82307e-02,011881/246337,060752,2.46621e-01,060752/246337,012409,011881,000000
1920x1080,000007,034428,001692,4.91460e-02,001692/034428,006330,1.83862e-01,006330/034428,001732,001692,000000
640x360,000055,199393,009835,4.93247e-02,009835/199393,067916,3.40614e-01,067916/199393,010811,009835,000000
