game_id,sport,source_resolution,ledger_source_height,table_source_height,height_disagrees,rows_total,rows_valid,rows_bad,n_gt50,share_gt50,n_gt33,share_gt33,n_gt25,share_gt25,n_gt50_posttopcut,share_gt50_posttopcut,n_gt50_padremoved,share_gt50_padremoved,n_matched,n_gt50_matched,share_gt50_matched,n_coasting,n_gt50_coasting,share_gt50_coasting,max_bbox_y2,max_box_h,table_bytes,table_sha256
0022500621_s6600,nba,640x360,360,360.0,0,4764,4764,0,465,465/4764 (~9.7607e-2),1635,1635/4764 (~3.4320e-1),4215,4215/4764 (~8.8476e-1),623,623/4764 (~1.3077e-1),145,145/4764 (~3.0437e-2),3116,201,201/3116 (~6.4506e-2),1648,264,264/1648 (~1.6019e-1),426.84583,324.0,1832984,45bf1dbd7fb7b427e783038fc29dc9a6d79dfcb0d261c3c8956fc90ddb75af3d
0022500630_s1500,nba,640x360,360,360.0,0,3735,3735,0,514,514/3735 (~1.3762e-1),2048,2048/3735 (~5.4833e-1),3095,3095/3735 (~8.2865e-1),1051,1051/3735 (~2.8139e-1),401,401/3735 (~1.0736e-1),2229,312,312/2229 (~1.3997e-1),1506,202,202/1506 (~1.3413e-1),902.1968,328.0,1494100,de23f236dc39c483794327027c170ce4312c94b64cd215e8a7fafda30adb244b
0022500630_s2100,nba,640x360,360,360.0,0,4787,4787,0,360,360/4787 (~7.5204e-2),2488,2488/4787 (~5.1974e-1),3726,3726/4787 (~7.7836e-1),623,623/4787 (~1.3014e-1),271,271/4787 (~5.6612e-2),2315,176,176/2315 (~7.6026e-2),2472,184,184/2472 (~7.4434e-2),795.12555,328.0,1914575,fcb5e26f18313a097093f43de164eb73e632fce126dbfe697006709f0abcd42f
0022500630_s2700,nba,640x360,360,360.0,0,1334,1334,0,17,17/1334 (~1.2744e-2),395,395/1334 (~2.9610e-1),1064,1064/1334 (~7.9760e-1),27,27/1334 (~2.0240e-2),17,17/1334 (~1.2744e-2),581,6,6/581 (~1.0327e-2),753,11,11/753 (~1.4608e-2),483.4076,260.0,522965,7beb7c9adbc0833743bce846dec81c41b27076f5602e0b55b2b50a3a109fd3df
0022500630_s300,nba,640x360,360,360.0,0,2027,2027,0,981,981/2027 (~4.8397e-1),1652,1652/2027 (~8.1500e-1),1887,1887/2027 (~9.3093e-1),1072,1072/2027 (~5.2886e-1),871,871/2027 (~4.2970e-1),1627,816,816/1627 (~5.0154e-1),400,165,165/400 (~4.1250e-1),537.351,327.0,804566,bc03e8d18d3692eed5e63f6fe713d08bf57ddd624c9ef23b28322674abb0e35d
0022500630_s3300,nba,640x360,360,360.0,0,4137,4137,0,1114,1114/4137 (~2.6928e-1),2088,2088/4137 (~5.0471e-1),3590,3590/4137 (~8.6778e-1),1379,1379/4137 (~3.3333e-1),980,980/4137 (~2.3689e-1),1691,489,489/1691 (~2.8918e-1),2446,625,625/2446 (~2.5552e-1),1139.9961,329.0,1655847,42b38d847e0502b1d4b89103596773384af72caaf9cbc1e5d4c376b62d6862b4
0022500630_s3900,nba,640x360,360,360.0,0,5176,5176,0,23,23/5176 (~4.4436e-3),1326,1326/5176 (~2.5618e-1),4554,4554/5176 (~8.7983e-1),78,78/5176 (~1.5070e-2),23,23/5176 (~4.4436e-3),2032,8,8/2032 (~3.9370e-3),3144,15,15/3144 (~4.7710e-3),768.27405,269.0,1928768,fe51b50bba53844e24471bfe9949d48e6fc3209b092fcd652eb104a7646b91d8
0022500630_s4500,nba,640x360,360,360.0,0,465,465,0,242,242/465 (~5.2043e-1),362,362/465 (~7.7849e-1),391,391/465 (~8.4086e-1),314,314/465 (~6.7527e-1),220,220/465 (~4.7312e-1),177,115,115/177 (~6.4972e-1),288,127,127/288 (~4.4097e-1),429.24957,287.0,184970,de92754fa10509b66569942a79068afdcbb89de5acb8ed799cc5c294719a467a
bos_mia_playoffs,nba,1280x720,720,720.0,0,1941,1941,0,431,431/1941 (~2.2205e-1),1281,1281/1941 (~6.5997e-1),1354,1354/1941 (~6.9758e-1),1104,1104/1941 (~5.6878e-1),402,402/1941 (~2.0711e-1),1361,309,309/1361 (~2.2704e-1),580,122,122/580 (~2.1034e-1),1296.1908,689.0,756625,4f20f4eb82852c61e5819511d00f49faf9657ef6f6f824e870c65984ca90f656
cavs_broadcast_2025,nba,1280x720,720,720.0,0,1273,1273,0,286,286/1273 (~2.2467e-1),571,571/1273 (~4.4855e-1),992,992/1273 (~7.7926e-1),294,294/1273 (~2.3095e-1),264,264/1273 (~2.0738e-1),447,92,92/447 (~2.0582e-1),826,194,194/826 (~2.3487e-1),1160.8479,683.0,467563,a1b7a930c3d5557d95eb42420a7808a8b11508a3fd5056ca8f617569f626c9e3
den_phx_2025,nba,1280x720,720,720.0,0,2972,2972,0,88,88/2972 (~2.9610e-2),426,426/2972 (~1.4334e-1),1818,1818/2972 (~6.1171e-1),91,91/2972 (~3.0619e-2),84,84/2972 (~2.8264e-2),2229,43,43/2229 (~1.9291e-2),743,45,45/743 (~6.0565e-2),1465.2642,685.0,1178187,7ce5a0df4f41afbf65292a5c386eee2fb0cb8c82342cde81b2ea9d116429e5d1
g220c_jh3fnwMi7dM,basketball,1920x1080,1080,1080.0,0,4543,4543,0,0,0/4543 (~0.0000e0),14,14/4543 (~3.0817e-3),1204,1204/4543 (~2.6502e-1),0,0/4543 (~0.0000e0),0,0/4543 (~0.0000e0),1690,0,0/1690 (~0.0000e0),2853,0,0/2853 (~0.0000e0),3620.4924,371.0,1671141,d66250dda4d1257ce9b0249587f330bf4c2f8f864e40949bf3a2bbfecec9298e
gsw_lakers_2025,nba,1280x720,720,720.0,0,717,717,0,370,370/717 (~5.1604e-1),467,467/717 (~6.5132e-1),593,593/717 (~8.2706e-1),385,385/717 (~5.3696e-1),346,346/717 (~4.8257e-1),544,291,291/544 (~5.3493e-1),173,79,79/173 (~4.5665e-1),950.7595,685.0,273832,be95e010c4d4b898d191d233be3f8777e3637d35166b0349b8135269da73e833
