game_id,sport,source_resolution,rank,n_candidates,frame,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,box_h,frame_h,ratio
wnba_06,wnba,1920x1080,32,311,1761,9,-15.0,254.0,186.0,820.0,566.0,1080.0,0.524074
wnba_06,wnba,1920x1080,94,311,1773,3,1255.0,356.0,1666.0,1017.0,661.0,1080.0,0.612037
wnba_06,wnba,1920x1080,156,311,1800,7,647.0,203.0,1068.0,1023.0,820.0,1080.0,0.759259
wnba_06,wnba,1920x1080,218,311,942,1,685.0,84.0,1404.0,1023.0,939.0,1080.0,0.869444
wnba_06,wnba,1920x1080,280,311,1869,5,1347.0,3.0,1935.0,1022.0,1019.0,1080.0,0.943519
0022400909_s3307,nba,1280x720,119,1190,939,1,122.0,268.0,409.0,669.0,401.0,720.0,0.556944
0022400909_s3307,nba,1280x720,357,1190,1122,10,975.0,0.0,1193.0,442.0,442.0,720.0,0.613889
0022400909_s3307,nba,1280x720,595,1190,1053,3,255.0,167.0,568.0,666.0,499.0,720.0,0.693056
0022400909_s3307,nba,1280x720,833,1190,738,1,490.0,79.0,1075.0,661.0,582.0,720.0,0.808333
0022400909_s3307,nba,1280x720,1071,1190,702,10,123.0,-11.0,413.0,660.0,671.0,720.0,0.931944
0022500575_s5400,nba,640x360,65,645,1434,1,576.0,-3.0,654.0,184.0,187.0,360.0,0.519444
0022500575_s5400,nba,640x360,194,645,549,4,267.97882,-16.779572,392.37012,206.8726,223.652172,360.0,0.621256
0022500575_s5400,nba,640x360,323,645,429,9,-15.0,-14.0,121.0,251.0,265.0,360.0,0.736111
0022500575_s5400,nba,640x360,452,645,531,1,-65.76341,20.788712,139.0192,306.3974,285.60868800000003,360.0,0.793357
0022500575_s5400,nba,640x360,581,645,3075,3,535.0509,-39.408295,670.5283,274.02414,313.432435,360.0,0.870646
0022500594_s2700,nba,640x360,92,914,1908,6,321.0,65.0,517.0,265.0,200.0,360.0,0.555556
0022500594_s2700,nba,640x360,275,914,1176,6,306.0,32.0,424.0,260.0,228.0,360.0,0.633333
0022500594_s2700,nba,640x360,457,914,117,1,361.0,1.0,582.0,256.0,255.0,360.0,0.708333
0022500594_s2700,nba,640x360,640,914,528,6,292.0,-14.0,567.0,263.0,277.0,360.0,0.769444
0022500594_s2700,nba,640x360,823,914,9,1,274.4472,-14.963959,520.0238,264.96396,279.927919,360.0,0.777578
