panel_id,game_id,player_id,frame_a,frame_b,gap,gap_bin,step_norm,cand_rank,n_candidates,ax1,ay1,ax2,ay2,bx1,by1,bx2,by2
ncaa_basketball_mRkuGgeECak_01,ncaa_basketball_mRkuGgeECak,9,3075,3081,6,B2_le5x,0.31328228559302923,43,854,1191.0,252.0,1350.0,527.0,935.0,68.0,1053.0,332.0
ncaa_basketball_mRkuGgeECak_02,ncaa_basketball_mRkuGgeECak,10,2628,2631,3,B1_one_stride,0.3637864563486843,129,854,726.48914,353.83997,1243.5869,944.85034,939.0,359.0,1020.0,552.0
ncaa_basketball_mRkuGgeECak_03,ncaa_basketball_mRkuGgeECak,7,3105,3108,3,B1_one_stride,0.4209950082627671,214,854,126.0,354.0,348.0,605.0,214.0,132.0,906.0,925.0
ncaa_basketball_mRkuGgeECak_04,ncaa_basketball_mRkuGgeECak,7,3165,3171,6,B2_le5x,0.46440513230592084,299,854,1059.0,333.0,1298.0,774.0,1544.874,162.05156,1779.987,642.2
ncaa_basketball_mRkuGgeECak_05,ncaa_basketball_mRkuGgeECak,8,3384,3393,9,B2_le5x,0.530718940972781,385,854,1054.0,204.0,1180.0,394.0,720.0,591.0,855.0,863.0
ncaa_basketball_mRkuGgeECak_06,ncaa_basketball_mRkuGgeECak,6,2964,2982,18,B3_gt5x,0.6043579785725209,470,854,609.0,254.0,748.0,492.0,18.861732,5.880844,158.2911,212.68639
ncaa_basketball_mRkuGgeECak_07,ncaa_basketball_mRkuGgeECak,7,2664,2673,9,B2_le5x,0.695204790733492,556,854,-169.61789,1200.8479,-51.428795,1361.5569,430.0,765.0,538.0,903.0
ncaa_basketball_mRkuGgeECak_08,ncaa_basketball_mRkuGgeECak,9,585,588,3,B1_one_stride,0.8344813337426329,641,854,847.0,148.0,964.0,355.0,1752.0,120.0,1836.0,204.0
ncaa_basketball_mRkuGgeECak_09,ncaa_basketball_mRkuGgeECak,9,2643,2655,12,B2_le5x,1.0302935404501194,726,854,242.26425,-256.52698,371.05338,160.30444,1323.0,326.0,1401.0,513.0
ncaa_basketball_mRkuGgeECak_10,ncaa_basketball_mRkuGgeECak,10,1710,1713,3,B1_one_stride,1.4729887562208495,812,854,2041.0403,-161.85092,2445.409,502.12064,603.0,236.0,702.0,484.0
