cell,game_id,n_candidates,n_drawn,shortfall_slots
T1-UPPER,wnba_06,357,4,0
T1-UPPER,wnba_04,1457,3,0
T1-UPPER,0022500575_s7200,779,3,0
T1-LOWER,wnba_06,840,4,0
T1-LOWER,wnba_04,585,3,0
T1-LOWER,0022500575_s7200,94,3,0
T2-UPPER,wnba_06,479,4,0
T2-UPPER,wnba_04,1258,3,0
T2-UPPER,0022500575_s7200,597,3,0
T2-LOWER,wnba_06,727,4,0
T2-LOWER,wnba_04,825,3,0
T2-LOWER,0022500575_s7200,275,3,0
T3-UPPER,wnba_06,430,4,0
T3-UPPER,wnba_04,949,3,0
T3-UPPER,0022500575_s7200,717,3,0
T3-LOWER,wnba_06,773,4,0
T3-LOWER,wnba_04,1115,3,0
T3-LOWER,0022500575_s7200,158,3,0
