game_id,sport,source_resolution,frame_w,ledger_source_height,table_source_height,height_disagrees,frame_h_primary,frame_h_secondary,rows_total,rows_valid,rows_bad,n_wholly,share_wholly,share_wholly_frac,n_wholly_secondary,share_wholly_secondary,share_wholly_secondary_frac,n_partial,share_partial,share_partial_frac,n_wholly_padremoved,share_wholly_padremoved,share_wholly_padremoved_frac,n_side_left,n_side_right,n_side_top,n_side_bottom,n_matched,n_coasting,n_wholly_matched,n_wholly_coasting,min_bbox_x2,max_bbox_x1,min_bbox_y2,max_bbox_y1,table_bytes,table_sha256
0022400909_s1015,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,006030,006030,000000,000424,7.03151e-02,000424/006030,000412,6.83250e-02,000412/006030,000703,1.16584e-01,000703/006030,000446,7.39635e-02,000446/006030,000124,000213,000089,000130,003775,002255,000000,000424,-2046.2596,3763.9912,-681.76587,1505.7466,2345160,34d07939c5d2f7e33a1680596ad2ed2b4061527196f82a72b8a23981bf8d4d3c
0022400909_s1397,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,001956,001956,000000,000030,1.53374e-02,000030/001956,000030,1.53374e-02,000030/001956,000353,1.80470e-01,000353/001956,000033,1.68712e-02,000033/001956,000012,000014,000004,000000,000894,001062,000000,000030,-748.4227,2961.4617,-409.3025,327.02466,754773,9eba7dfafa748874f148ec2d7a04c06250fef875cd548ea24025fbb5439d60ae
0022400909_s1588,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005826,005826,000000,000230,3.94782e-02,000230/005826,000219,3.75901e-02,000219/005826,001387,2.38071e-01,001387/005826,000238,4.08514e-02,000238/005826,000061,000121,000034,000040,004289,001537,000000,000230,-1349.511,3174.886,-799.93097,1330.7595,2323673,ec555ba307502e9139abdcbf6459b2b9965ce2c77da32e59e694667213bb12e4
0022400909_s1779,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004928,004928,000000,000333,6.75731e-02,000333/004928,000325,6.59497e-02,000325/004928,001520,3.08442e-01,001520/004928,000348,7.06169e-02,000348/004928,000143,000124,000064,000086,002524,002404,000000,000333,-2271.2417,4275.046,-985.1296,2059.9075,1943035,37eebd7d2bb3402979501a3e4d4fce4f4e6aaf9b3a3d9356c584845a73db5426
0022400909_s1970,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004371,004371,000000,000265,6.06269e-02,000265/004371,000256,5.85678e-02,000256/004371,001137,2.60124e-01,001137/004371,000274,6.26859e-02,000274/004371,000104,000112,000051,000049,002877,001494,000000,000265,-1986.941,3801.0393,-712.74963,2069.9434,1752140,9c9945555168810533183322a06cd975d06758cdd2bd22a8df797f254b69d143
0022400909_s2161,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005877,005877,000000,000128,2.17798e-02,000128/005877,000125,2.12694e-02,000125/005877,002183,3.71448e-01,002183/005877,000136,2.31411e-02,000136/005877,000040,000078,000011,000015,004123,001754,000000,000128,-1169.4216,2573.5054,-286.8577,1270.1147,2384295,735c19f335f6b72a16f1f5c2051318801be526fb3b0de16f51e897007ee78a81
0022400909_s2352,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005226,005226,000000,000316,6.04669e-02,000316/005226,000303,5.79793e-02,000303/005226,001470,2.81286e-01,001470/005226,000330,6.31458e-02,000330/005226,000084,000148,000074,000064,002728,002498,000000,000316,-1475.9106,3035.293,-984.80725,1544.4562,2091020,3fe19d44e542cf92dc2237cc9b0f0ed6b877a9d34827747898530c844776c09b
0022400909_s251,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004394,004394,000000,000232,5.27993e-02,000232/004394,000227,5.16614e-02,000227/004394,001191,2.71051e-01,001191/004394,000241,5.48475e-02,000241/004394,000068,000126,000057,000030,001351,003043,000000,000232,-2242.7073,3389.9644,-1492.4067,1151.5619,1738798,5971de7aa6f288f49a95884699902da36ec489f59b11e218834aebd0f3c2b406
0022400909_s2734,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004334,004334,000000,000185,4.26857e-02,000185/004334,000176,4.06091e-02,000176/004334,001187,2.73881e-01,001187/004334,000197,4.54545e-02,000197/004334,000078,000081,000012,000042,002726,001608,000000,000185,-2434.219,3224.3816,-275.648,1145.1505,1723136,349c2c9c8611042cd7279c47216bdb92b34ab9b189b03a0ce2d7d2676a387b2e
0022400909_s2925,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004251,004251,000000,000121,2.84639e-02,000121/004251,000117,2.75229e-02,000117/004251,001454,3.42037e-01,001454/004251,000126,2.96401e-02,000126/004251,000039,000064,000009,000018,003437,000814,000000,000121,-1200.6636,3337.515,-259.84488,1083.1981,1682866,9f8b67eee871ea24eb62ff12c7a9bd828ef7498407dc1dd052b85be1f432f0df
0022400909_s3116,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005538,005538,000000,000080,1.44456e-02,000080/005538,000071,1.28205e-02,000071/005538,001238,2.23546e-01,001238/005538,000082,1.48068e-02,000082/005538,000012,000041,000010,000022,003812,001726,000000,000080,-957.1915,2579.8528,-218.11615,994.21277,2133098,1d67b6a37caac9220a62dfdc393277a79a3b50dee170aac035cc249a029eb238
0022400909_s3307,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005761,005761,000000,000336,5.83232e-02,000336/005761,000327,5.67610e-02,000327/005761,001537,2.66794e-01,001537/005761,000345,5.98854e-02,000345/005761,000132,000160,000058,000062,003681,002080,000000,000336,-2111.7395,4279.935,-1070.368,1449.0575,2239435,fa8cfc9e8d29855505f4e5999c9a8eae6aac8b8c00814b627e4034847f0c9106
