panel_id,cell,tercile,region,game_id,source_resolution,frame,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,box_h,source_height,post_topcut_h,ratio,centre_y,key
P23,T2-UPPER,T2,UPPER,0022500575_s7200,640x360,330,6,347.37527,-19.530106,509.7003,105.5665,125.09660600000001,360.0,300.0,0.4169886866666667,43.018197,0010aef8bd1ab9351b5c01327502b09cf3076666f9886e534dd2b53de0493ff3
P24,T2-UPPER,T2,UPPER,wnba_06,1920x1080,30,2,583.0,299.0,742.0,536.0,237.0,1080.0,1020.0,0.2323529411764706,417.5,0146c90222d0c47b0d7a689ebf1249e1549bfa53f2cfd42891beb0a94a90b19e
P25,T2-UPPER,T2,UPPER,wnba_04,1280x720,2016,10,1123.0,7.0,1269.0,266.0,259.0,720.0,660.0,0.3924242424242424,136.5,00428e178cba4b6e2d5f32e3e12e3e05e7902ff49310a874d5b2ec6017ca5fec
P26,T2-UPPER,T2,UPPER,0022500575_s7200,640x360,837,6,227.0,81.0,296.0,191.0,110.0,360.0,300.0,0.36666666666666664,136.0,010e4013b951f7750c06aefc07f14b71660f366222d4992e480e570219e6ba0e
P27,T2-UPPER,T2,UPPER,wnba_06,1920x1080,468,5,515.4095,131.66666,626.8095,364.06668,232.40002,1080.0,1020.0,0.22784315686274512,247.86667,01b5edcabbc6f1d27777fd586634b6ed2a0d4dde1b3105fa3e6cad4f8e1a2538
P28,T2-UPPER,T2,UPPER,wnba_04,1280x720,3294,10,1050.0,124.0,1142.0,357.0,233.0,720.0,660.0,0.353030303030303,240.5,009ee555b435718926f35df4937fbc5f38f29d21c8d45ac0c48a86bbbea59a15
P29,T2-UPPER,T2,UPPER,0022500575_s7200,640x360,1473,2,197.0,61.0,253.0,188.0,127.0,360.0,300.0,0.42333333333333334,124.5,014c8a80b2707862ebb325621216509d07efffb45f0a37e53f15e4f25250fb4c
P30,T2-UPPER,T2,UPPER,wnba_06,1920x1080,483,1,1389.0,237.0,1512.0,474.0,237.0,1080.0,1020.0,0.2323529411764706,355.5,01bc3a45ca8655cee4dde83225827b2877fe7f39e16f77ad6205fd9e42cbf7b9
P31,T2-LOWER,T2,LOWER,wnba_06,1920x1080,2391,8,1399.0,542.0,1519.0,804.0,262.0,1080.0,1020.0,0.2568627450980392,673.0,002ead9895de19081afed7823f33b22eae8cc551f9a2fabf7cab822c3137da2e
P32,T2-LOWER,T2,LOWER,wnba_04,1280x720,2532,5,686.0,331.0,842.0,599.0,268.0,720.0,660.0,0.40606060606060607,465.0,005fedfe3b99095349632cefa708b8f03b4fa0c959383a5590bbd09a94f0c0ed
P33,T2-LOWER,T2,LOWER,0022500575_s7200,640x360,591,1,235.0,105.0,309.0,232.0,127.0,360.0,300.0,0.42333333333333334,168.5,00e51dd9bbb3a4957aa867542dd28a70dd19f652181ad9980919ce73dfedc583
P34,T2-LOWER,T2,LOWER,wnba_06,1920x1080,603,10,568.0,582.0,706.0,867.0,285.0,1080.0,1020.0,0.27941176470588236,724.5,00acbc04d2ef81e362f9c7fa45aab6232ba766a38dd8ff00c95e209159fd813c
P35,T2-LOWER,T2,LOWER,wnba_04,1280x720,1614,4,724.0,328.0,929.0,601.0,273.0,720.0,660.0,0.41363636363636364,464.5,00d351f25c4616c6aea3408fac20d740c29f523dfc16c26ab4450de827351a67
P36,T2-LOWER,T2,LOWER,0022500575_s7200,640x360,816,1,281.94284,106.58094,348.0082,232.07959,125.49865,360.0,300.0,0.4183288333333333,169.330265,01469cb0e0d835866346489065d208b7abb3f12822adaef2d5ea466a08f5c9d6
P37,T2-LOWER,T2,LOWER,wnba_06,1920x1080,1440,6,1490.0,399.0,1629.0,663.0,264.0,1080.0,1020.0,0.25882352941176473,531.0,00e49e1578694c7991b2e3a77470d7c47052ceb8a5c10a0dcd3438e0ad580df0
P38,T2-LOWER,T2,LOWER,wnba_04,1280x720,1359,6,813.2598,270.0593,985.53046,516.70447,246.64517,720.0,660.0,0.37370480303030307,393.381885,029ead810d15656cd3324177065fa6f346ed919f72a21b554795b8a8b0e2d087
P39,T2-LOWER,T2,LOWER,0022500575_s7200,640x360,3348,4,313.23682,196.63339,381.86517,313.98203,117.34864000000002,360.0,300.0,0.3911621333333334,255.30771,016af14174ded3d3d093b9eb615a03b1148e243f2b61a41ce331f25915643cc4
