panel_id,game_id,cell,cat_a,cat_b,gate_verdict,matched_range,matched_pixels,n_green,n_white,n_referee,crop_w,crop_h
P01,wnba_06,T1-UPPER,player_on_court,player_on_court,PASS,green,2468,2468,1094,111,51,150
P02,wnba_04,T1-UPPER,crowd,crowd,PASS,green,2531,2531,0,35,67,64
P03,0022500575_s7200,T1-UPPER,two_or_more_players,two_or_more_players,PASS,green,726,726,69,123,40,61
P04,wnba_06,T1-UPPER,player_on_court,player_on_court,PASS,green,11755,11755,1224,676,145,193
P05,wnba_04,T1-UPPER,player_bench_or_courtside,player_bench_or_courtside,PASS,green,6171,6171,3,2220,106,169
P06,0022500575_s7200,T1-UPPER,crowd,referee_or_staff,PASS,green,451,451,0,13,22,57
P07,wnba_06,T1-UPPER,player_on_court,player_on_court,PASS,green,4558,4558,2268,1,69,184
P08,wnba_04,T1-UPPER,crowd,referee_or_staff,PASS,green,3162,3162,0,1241,86,167
P09,0022500575_s7200,T1-UPPER,player_on_court,two_or_more_players,PASS,green,840,840,57,71,40,67
P10,wnba_06,T1-UPPER,unreadable,crowd,PASS,green,6765,6765,77,21,79,151
P11,wnba_06,T1-LOWER,crowd,crowd,PASS,green,6766,6766,5,3,138,159
P12,wnba_04,T1-LOWER,broadcast_graphic,broadcast_graphic,PASS,green,6328,6328,451,1243,107,141
P13,0022500575_s7200,T1-LOWER,two_or_more_players,two_or_more_players,PASS,green,498,498,3,10,18,51
P14,wnba_06,T1-LOWER,off_frame_or_empty,off_frame_or_empty,REJECT,,0,0,0,0,-516,176
P15,wnba_04,T1-LOWER,off_frame_or_empty,off_frame_or_empty,PASS,green,7155,7155,0,0,141,178
P16,0022500575_s7200,T1-LOWER,player_on_court,player_on_court,PASS,green,804,804,0,6,24,57
P17,wnba_06,T1-LOWER,crowd,crowd,PASS,green,10080,10080,1,81,156,165
P18,wnba_04,T1-LOWER,referee_or_staff,player_on_court,PASS,green,5719,5719,0,0,76,114
P19,0022500575_s7200,T1-LOWER,off_frame_or_empty,two_or_more_players,PASS,green,91,91,1,17,31,61
P20,wnba_06,T1-LOWER,crowd,referee_or_staff,PASS,referee,4390,3474,574,4390,152,168
P21,wnba_06,T2-UPPER,two_or_more_players,two_or_more_players,PASS,green,6141,6141,3650,35,90,199
P22,wnba_04,T2-UPPER,crowd,crowd,PASS,green,11566,11566,1,1389,130,200
P23,0022500575_s7200,T2-UPPER,referee_or_staff,referee_or_staff,PASS,green,3368,3368,234,424,132,90
P24,wnba_06,T2-UPPER,player_on_court,two_or_more_players,PASS,green,7874,7874,2890,394,129,207
P25,wnba_04,T2-UPPER,unreadable,crowd,PASS,referee,4933,3607,369,4933,116,229
P26,0022500575_s7200,T2-UPPER,player_on_court,player_on_court,PASS,green,1263,1263,103,10,39,80
P27,wnba_06,T2-UPPER,player_on_court,two_or_more_players,PASS,green,8552,8552,471,81,81,203
P28,wnba_04,T2-UPPER,referee_or_staff,referee_or_staff,PASS,green,3379,3379,238,920,62,203
P29,0022500575_s7200,T2-UPPER,crowd,referee_or_staff,PASS,green,836,836,0,32,26,97
P30,wnba_06,T2-UPPER,off_frame_or_empty,off_frame_or_empty,PASS,green,6873,6873,128,34,93,207
P31,wnba_06,T2-LOWER,referee_or_staff,referee_or_staff,PASS,green,5739,5739,939,546,90,232
P32,wnba_04,T2-LOWER,player_on_court,player_on_court,PASS,green,17484,17484,3,1711,126,238
P33,0022500575_s7200,T2-LOWER,player_on_court,player_on_court,PASS,green,2062,2062,257,9,44,97
P34,wnba_06,T2-LOWER,referee_or_staff,referee_or_staff,PASS,green,7784,7784,1162,1629,108,255
P35,wnba_04,T2-LOWER,player_on_court,player_on_court,PASS,green,18937,18937,140,2979,175,243
P36,0022500575_s7200,T2-LOWER,player_on_court,player_on_court,PASS,green,1241,1241,316,24,37,96
P37,wnba_06,T2-LOWER,off_frame_or_empty,off_frame_or_empty,PASS,green,17658,17658,0,62,109,234
P38,wnba_04,T2-LOWER,player_on_court,two_or_more_players,PASS,green,16300,16300,86,2469,142,216
P39,0022500575_s7200,T2-LOWER,off_frame_or_empty,off_frame_or_empty,PASS,white,627,121,627,12,38,87
P40,wnba_06,T2-LOWER,two_or_more_players,two_or_more_players,PASS,green,8092,8092,1807,281,90,221
P41,wnba_06,T3-UPPER,player_on_court,player_on_court,PASS,white,6670,5050,6670,72,90,316
P42,wnba_04,T3-UPPER,referee_or_staff,referee_or_staff,PASS,green,11950,11950,36,3994,132,281
P43,0022500575_s7200,T3-UPPER,player_on_court,two_or_more_players,PASS,green,5094,5094,608,506,84,218
P44,wnba_06,T3-UPPER,crowd,crowd,PASS,green,17846,17846,178,2868,153,293
P45,wnba_04,T3-UPPER,referee_or_staff,referee_or_staff,PASS,green,10197,10197,2,5799,149,260
P46,0022500575_s7200,T3-UPPER,unreadable,player_bench_or_courtside,PASS,green,16093,16093,0,273,196,134
P47,wnba_06,T3-UPPER,unreadable,off_frame_or_empty,PASS,green,10215,10215,79,1078,114,319
P48,wnba_04,T3-UPPER,off_frame_or_empty,off_frame_or_empty,REJECT,,0,0,0,0,-2,198
P49,0022500575_s7200,T3-UPPER,crowd,crowd,PASS,green,12485,12485,72,297,131,218
