clip,frame_index,baseline_groups,enhanced_groups,union_segments,union_groups
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,50,59,153,61
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,41,48,184,57
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,51,55,161,63
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,43,41,169,55
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,41,48,163,49
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,38,37,154,45
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,55,57,165,63
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,57,62,131,81
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,45,56,167,60
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,43,51,160,56
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,32,38,147,45
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,48,50,197,60
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,53,56,149,68
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,68,66,245,87
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,59,68,158,80
wnba__wnba_01,8448,53,55,136,64
wnba__wnba_01,11904,46,44,120,58
wnba__wnba_01,13632,52,39,129,56
wnba__wnba_01_1080p,360,60,56,171,70
wnba__wnba_01_1080p,12720,50,45,124,61
wnba__wnba_01_1080p,17280,41,42,99,53
wnba__wnba_02,4416,53,60,142,69
wnba__wnba_02,18624,71,77,174,98
wnba__wnba_02,20736,52,58,134,73
wnba__wnba_04,1920,76,76,205,93
wnba__wnba_04,3648,72,64,195,82
wnba__wnba_04,23424,78,80,365,95
wnba__wnba_05,2304,53,62,155,74
wnba__wnba_05,6912,58,57,144,75
wnba__wnba_05,23424,42,47,132,63
