variant,role,detected,visible,recall,wilson_95_low,wilson_95_high
baseline,baseline,1,17,0.058824,0.010460,0.269820
baseline,free_throw,2,17,0.117647,0.032880,0.343364
baseline,lane_left,8,17,0.470588,0.261651,0.690368
baseline,lane_right,14,17,0.823529,0.589705,0.938089
baseline,overall,25,68,0.367647,0.263005,0.486444
union,baseline,1,17,0.058824,0.010460,0.269820
union,free_throw,4,17,0.235294,0.095550,0.472618
union,lane_left,8,17,0.470588,0.261651,0.690368
union,lane_right,15,17,0.882353,0.656636,0.967120
union,overall,28,68,0.411765,0.302580,0.530385
