arm,true_template,decision_id,frame_start,frame_end,selection_subset,scoring_subset,winner,bootstrap_wins,distinctive_groups,fit_group_wins,selection_cost_nba,selection_cost_wnba,selection_cost_fiba,selection_cost_ncaa,fit_cost_nba,fit_cost_wnba,fit_cost_fiba,fit_cost_ncaa,validation_cost_nba,validation_cost_wnba,validation_cost_fiba,validation_cost_ncaa
a,NBA,000000,000000,000004,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=5,court_length=1,lane_width=3;wnba:arc_radius=0,corner_straight=0,court_length=1,lane_width=0;fiba:arc_radius=0,corner_straight=0,court_length=2,lane_width=2;ncaa:arc_radius=0,corner_straight=0,court_length=1,lane_width=0",1.032383,1.153551,1.177930,1.227053,1.032383,1.153551,1.177930,1.227053,1.032383,1.153551,1.177930,1.227053
a,NBA,000001,000005,000009,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=3,court_length=1,lane_width=3;wnba:arc_radius=0,corner_straight=1,court_length=2,lane_width=0;fiba:arc_radius=0,corner_straight=1,court_length=1,lane_width=1;ncaa:arc_radius=0,corner_straight=0,court_length=1,lane_width=1",1.037678,1.189612,1.153770,1.196362,1.037678,1.189612,1.153770,1.196362,1.037678,1.189612,1.153770,1.196362
a,NBA,000002,000010,000014,validation,validation,UNKNOWN,000100,000004,"nba:arc_radius=5,corner_straight=4,court_length=2,lane_width=4;wnba:arc_radius=0,corner_straight=0,court_length=0,lane_width=0;fiba:arc_radius=0,corner_straight=1,court_length=0,lane_width=1;ncaa:arc_radius=0,corner_straight=0,court_length=3,lane_width=0",1.033324,1.131536,1.147118,1.152712,1.033324,1.131536,1.147118,1.152712,1.033324,1.131536,1.147118,1.152712
a,NBA,000003,000015,000019,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=5,court_length=0,lane_width=4;wnba:arc_radius=0,corner_straight=0,court_length=2,lane_width=1;fiba:arc_radius=0,corner_straight=0,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=0,court_length=2,lane_width=0",1.033692,1.120368,1.127795,1.138586,1.033692,1.120368,1.127795,1.138586,1.033692,1.120368,1.127795,1.138586
a,NBA,000004,000020,000024,validation,validation,UNKNOWN,000100,000004,"nba:arc_radius=5,corner_straight=4,court_length=1,lane_width=4;wnba:arc_radius=0,corner_straight=0,court_length=0,lane_width=1;fiba:arc_radius=0,corner_straight=0,court_length=4,lane_width=0;ncaa:arc_radius=0,corner_straight=1,court_length=0,lane_width=0",1.032539,1.123488,1.123883,1.126596,1.032539,1.123488,1.123883,1.126596,1.032539,1.123488,1.123883,1.126596
a,NBA,000005,000025,000029,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=3,court_length=1,lane_width=4;wnba:arc_radius=0,corner_straight=0,court_length=1,lane_width=1;fiba:arc_radius=0,corner_straight=1,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=1,court_length=2,lane_width=0",1.034357,1.156579,1.122857,1.137016,1.034357,1.156579,1.122857,1.137016,1.034357,1.156579,1.122857,1.137016
a,NBA,000006,000030,000034,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=3,court_length=1,lane_width=4;wnba:arc_radius=0,corner_straight=1,court_length=3,lane_width=1;fiba:arc_radius=0,corner_straight=1,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=0,court_length=0,lane_width=0",1.033651,1.095110,1.099973,1.137364,1.033651,1.095110,1.099973,1.137364,1.033651,1.095110,1.099973,1.137364
a,NBA,000007,000035,000039,validation,validation,UNKNOWN,000100,000004,"nba:arc_radius=5,corner_straight=3,court_length=1,lane_width=5;wnba:arc_radius=0,corner_straight=0,court_length=0,lane_width=0;fiba:arc_radius=0,corner_straight=1,court_length=3,lane_width=0;ncaa:arc_radius=0,corner_straight=1,court_length=1,lane_width=0",1.033780,1.118832,1.154314,1.145857,1.033780,1.118832,1.154314,1.145857,1.033780,1.118832,1.154314,1.145857
a,NBA,000008,000040,000044,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=1,court_length=2,lane_width=4;wnba:arc_radius=0,corner_straight=1,court_length=2,lane_width=1;fiba:arc_radius=0,corner_straight=0,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=3,court_length=0,lane_width=0",1.034561,1.149711,1.153533,1.106032,1.034561,1.149711,1.153533,1.106032,1.034561,1.149711,1.153533,1.106032
a,NBA,000009,000045,000049,validation,validation,UNKNOWN,000096,000003,"nba:arc_radius=5,corner_straight=3,court_length=1,lane_width=4;wnba:arc_radius=0,corner_straight=1,court_length=2,lane_width=1;fiba:arc_radius=0,corner_straight=1,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=0,court_length=1,lane_width=0",1.034983,1.110567,1.179914,1.149921,1.034983,1.110567,1.179914,1.149921,1.034983,1.110567,1.179914,1.149921
a,NBA,000010,000050,000054,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=5,court_length=1,lane_width=2;wnba:arc_radius=0,corner_straight=0,court_length=2,lane_width=1;fiba:arc_radius=0,corner_straight=0,court_length=0,lane_width=2;ncaa:arc_radius=0,corner_straight=0,court_length=2,lane_width=0",1.033478,1.136397,1.168704,1.163468,1.033478,1.136397,1.168704,1.163468,1.033478,1.136397,1.168704,1.163468
a,NBA,000011,000055,000059,validation,validation,UNKNOWN,000095,000003,"nba:arc_radius=5,corner_straight=3,court_length=0,lane_width=2;wnba:arc_radius=0,corner_straight=1,court_length=1,lane_width=2;fiba:arc_radius=0,corner_straight=0,court_length=3,lane_width=1;ncaa:arc_radius=0,corner_straight=1,court_length=1,lane_width=0",1.034915,1.191321,1.145690,1.100842,1.034915,1.191321,1.145690,1.100842,1.034915,1.191321,1.145690,1.100842
a,NBA,000012,000060,000064,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=2,court_length=1,lane_width=3;wnba:arc_radius=0,corner_straight=1,court_length=1,lane_width=1;fiba:arc_radius=0,corner_straight=1,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=1,court_length=2,lane_width=1",1.034347,1.142601,1.150304,1.143451,1.034347,1.142601,1.150304,1.143451,1.034347,1.142601,1.150304,1.143451
a,NBA,000013,000065,000069,validation,validation,UNKNOWN,000091,000003,"nba:arc_radius=5,corner_straight=4,court_length=2,lane_width=4;wnba:arc_radius=0,corner_straight=0,court_length=1,lane_width=1;fiba:arc_radius=0,corner_straight=0,court_length=0,lane_width=0;ncaa:arc_radius=0,corner_straight=1,court_length=2,lane_width=0",1.034830,1.147109,1.172567,1.112813,1.034830,1.147109,1.172567,1.112813,1.034830,1.147109,1.172567,1.112813
a,NBA,000014,000070,000074,validation,validation,UNKNOWN,000100,000003,"nba:arc_radius=5,corner_straight=2,court_length=1,lane_width=5;wnba:arc_radius=0,corner_straight=1,court_length=1,lane_width=0;fiba:arc_radius=0,corner_straight=2,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=0,court_length=2,lane_width=0",1.033547,1.133946,1.128255,1.121516,1.033547,1.133946,1.128255,1.121516,1.033547,1.133946,1.128255,1.121516
a,NBA,000015,000075,000079,validation,validation,UNKNOWN,000100,000004,"nba:arc_radius=5,corner_straight=4,court_length=1,lane_width=3;wnba:arc_radius=0,corner_straight=0,court_length=0,lane_width=2;fiba:arc_radius=0,corner_straight=1,court_length=4,lane_width=0;ncaa:arc_radius=0,corner_straight=0,court_length=0,lane_width=0",1.034043,1.170712,1.167854,1.153112,1.034043,1.170712,1.167854,1.153112,1.034043,1.170712,1.167854,1.153112
a,NBA,000016,000080,000084,validation,validation,UNKNOWN,000100,000004,"nba:arc_radius=5,corner_straight=5,court_length=2,lane_width=5;wnba:arc_radius=0,corner_straight=0,court_length=1,lane_width=0;fiba:arc_radius=0,corner_straight=0,court_length=1,lane_width=0;ncaa:arc_radius=0,corner_straight=0,court_length=1,lane_width=0",1.035279,1.133524,1.134525,1.172105,1.035279,1.133524,1.134525,1.172105,1.035279,1.133524,1.134525,1.172105
