arm,true_template,NBA,WNBA,FIBA,NCAA,UNKNOWN,n
a,NBA,000000,000000,000000,000000,000200,000200
a,WNBA,000000,000000,000000,000000,000200,000200
a,FIBA,000000,000000,000000,000000,000200,000200
a,NCAA,000000,000000,000000,000000,000200,000200
b,NBA,000000,000000,000000,000000,000200,000200
b,WNBA,000000,000000,000000,000000,000200,000200
b,FIBA,000000,000000,000000,000000,000200,000200
b,NCAA,000000,000000,000000,000000,000200,000200
