frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,acceleration_mean_30,velocity_std_30,acceleration_mean_90,velocity_std_90,acceleration_mean_150,velocity_std_150,acceleration_std_90,defender_dist_mean_30,defender_dist_mean_90,defender_dist_mean_150,defender_dist_min_90,contested_fraction_90,off_ball_dist_mean_90,off_ball_dist_mean_150,off_ball_dist_std_90,paint_pressure_90,paint_pressure_opp_90,shot_selection_shift,velocity_ewma,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy,possessions_est,shots_per100,passes_per100,dribbles_per100,dist_per100_30,dist_per100_90,dist_per100_150,contest_arm_mean_30,jump_shot_flag,shot_quality_pose,bbref_bpm,bbref_vorp,bbref_ws,bbref_ws_per_48,hustle_deflections_pg,hustle_charges_pg,hustle_contested_shots,on_off_diff,on_court_net_rtg,synergy_iso_ppp,synergy_pnr_ppp,synergy_spotup_ppp,injury_status_multiplier,contract_year_flag,cap_hit_pct,contested_shot_pct,catch_and_shoot_pct,pull_up_pct,avg_defender_dist,elo_home,elo_away,elo_diff,opp_def_rtg_trend,home_away_pts_delta,home_away_reb_delta,home_away_ast_delta,drive_finish_rate,drive_foul_rate,drive_kickout_rate,drive_tov_rate
942,15.716,3,green,949,107,0.675,0.1884,4.84,3.17,178.0,mid_range,0,,,173.0,none,0.3,0.3,1033.5,105.0,0,0,,,571.0,-13.0,1218.0,665.0,,,0.0,431.7,-4.34,0,63.45,9.42,29.72,0,5,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,1.21,2.051,1.21,2.051,1.21,2.051,1.423,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.963,1.96,4.84,7.8,0.0,1.96,4.84,7.8,0.0,1.96,4.84,7.8,0.0,0,0,0,0,4.38,,,409.6,-1.16,0.0,409.6,-1.16,0.0,409.6,-1.16,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,780.0,780.0,780.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
942,15.716,4,green,1321,98,0.9395,0.1725,0.0,0.0,0.0,3pt_arc,0,,,199.1,none,0.3,0.3,1033.5,105.0,0,0,,,-15.0,269.0,441.0,668.0,,,0.0,187.3,0.0,0,88.32,8.63,16.38,0,5,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.38,,,187.3,0.0,0.0,187.3,0.0,0.0,187.3,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
948,15.816,1,green,1084,104,0.771,0.1831,6.34,-6.33,178.5,3pt_arc,0,,,152.1,none,1.1,1.1,1018.8,105.5,0,0,,,332.0,111.0,1131.0,665.0,,,0.0,315.2,-5.1,0,72.47,9.15,22.72,0,6,0,1.0,unclassified,0,0.0,24.0,10.0,639.0,0,0,0.0,0.5,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,2.113,6.335,2.113,6.335,2.113,6.335,9.675,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,6.34,12.67,19.0,0.0,6.34,12.67,19.0,0.0,6.34,12.67,19.0,0.0,0,0,0,0,2.46,,,315.7,1.49,0.0,315.7,1.49,0.0,315.7,1.49,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,1900.0,1900.0,1900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
948,15.816,2,green,742,112,0.5277,0.1972,0.0,0.0,0.0,backcourt,0,,,190.0,none,1.1,1.1,1018.8,105.5,0,0,,,635.0,-13.0,1111.0,380.0,,,0.0,624.9,0.0,0,49.61,9.86,41.97,0,6,0,0.667,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.5,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,0.0,2.18,0.0,2.18,0.0,2.18,3.377,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888,0.89,5.34,5.3,0.0,0.89,5.34,5.3,0.0,0.89,5.34,5.3,0.0,0,0,0,0,2.46,,,619.8,-0.85,0.0,619.8,-0.85,0.0,619.8,-0.85,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,530.0,530.0,530.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
948,15.816,3,green,932,108,0.6629,0.1901,2.84,-2.0,176.6,mid_range,0,,,152.1,none,1.1,1.1,1018.8,105.5,0,0,,,571.0,-14.0,1254.0,662.0,,,0.0,446.9,-2.54,0,62.31,9.51,30.64,0,6,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.5,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,0.568,1.819,0.568,1.819,0.568,1.819,1.892,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139,2.14,4.84,10.7,0.0,2.14,4.84,10.7,0.0,2.14,4.84,10.7,0.0,0,0,0,0,2.46,,,417.1,-1.44,0.0,417.1,-1.44,0.0,417.1,-1.44,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,1070.0,1070.0,1070.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
948,15.816,4,green,1317,98,0.9367,0.1725,0.67,0.67,180.0,3pt_arc,0,,,,none,1.1,1.1,1018.8,105.5,0,0,,,-15.0,243.0,471.0,668.0,,,0.0,187.8,-0.09,0,88.05,8.63,16.39,0,6,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.5,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,0.335,0.474,0.335,0.474,0.335,0.474,0.474,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.34,0.67,0.7,0.0,0.34,0.67,0.7,0.0,0.34,0.67,0.7,0.0,0,0,0,0,2.46,,,187.6,-0.04,0.0,187.6,-0.04,0.0,187.6,-0.04,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,70.0,70.0,70.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
954,15.916,2,green,742,112,0.5277,0.1972,0.0,0.0,0.0,backcourt,0,,,165.0,none,0.4,0.4,1035.8,105.2,0,0,,,635.0,-13.0,1111.0,380.0,,,0.0,624.9,0.0,0,49.61,9.86,41.97,0,7,0,0.6,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.6,half_court,,,0.0,0,unknown,,,0.0,,,,0,4,1,0.0,2.018,0.0,2.018,0.0,2.018,3.083,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,0.76,5.34,5.3,0.0,0.76,5.34,5.3,0.0,0.76,5.34,5.3,0.0,0,0,0,0,1.18,,,620.6,-0.73,0.0,620.6,-0.73,0.0,620.6,-0.73,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,530.0,530.0,530.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
954,15.916,3,green,907,108,0.6451,0.1901,4.17,1.33,180.0,mid_range,0,,,165.0,none,0.4,0.4,1035.8,105.2,0,0,,,603.0,-13.0,1268.0,664.0,,,0.0,469.9,-3.86,0,60.64,9.51,32.1,0,7,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.6,half_court,,,0.0,0,unknown,,,0.0,,,,0,4,1,0.695,1.827,0.695,1.827,0.695,1.827,1.721,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479,2.48,4.84,14.8,0.0,2.48,4.84,14.8,0.0,2.48,4.84,14.8,0.0,0,0,0,0,1.18,,,425.9,-1.84,0.0,425.9,-1.84,0.0,425.9,-1.84,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,1480.0,1480.0,1480.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
954,15.916,4,green,1314,99,0.9346,0.1743,0.53,-0.14,161.6,3pt_arc,0,,,134.0,none,0.4,0.4,1035.8,105.2,0,0,,,-15.0,202.0,499.0,666.0,,,0.0,187.2,0.09,0,87.85,8.71,16.31,0,7,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.6,half_court,,,0.0,0,unknown,,,0.0,,,,0,4,1,0.177,0.353,0.177,0.353,0.177,0.353,0.433,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.67,1.2,0.0,0.4,0.67,1.2,0.0,0.4,0.67,1.2,0.0,0,0,0,0,1.18,,,187.4,0.0,0.0,187.4,0.0,0.0,187.4,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,120.0,120.0,120.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
954,15.916,5,green,1180,102,0.8393,0.1796,0.0,0.0,0.0,3pt_arc,0,,,134.0,none,0.4,0.4,1035.8,105.2,0,0,,,357.0,122.0,781.0,667.0,,,0.0,244.1,0.0,0,78.89,8.98,18.81,0,7,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.6,half_court,,,0.0,0,unknown,,,0.0,,,,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.18,,,244.1,0.0,0.0,244.1,0.0,0.0,244.1,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
