possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
164,green,703,711,9,0.15,323268.3,,,0,0,,0,,
166,green,713,714,2,0.03,376865.8,,333.88,1,0,,0,,
168,green,716,719,4,0.07,274502.4,,-0.25,2,0,,1,,
171,green,722,722,1,0.02,289274.0,,7.19,1,0,,0,,
177,green,728,739,12,0.2,375621.4,,-1.09,4,0,,0,,
179,green,741,773,33,0.55,435594.2,,,0,0,,1,,
190,green,784,784,1,0.02,304324.0,,,0,0,,1,,
193,green,787,789,3,0.05,228764.2,,-137.9,1,0,,0,,
195,green,791,798,8,0.13,305930.1,,52.15,4,0,,0,,
198,green,801,814,14,0.23,162956.7,,-10.58,1,0,,0,,
269,green,889,2489,1601,26.71,91155.1,,0.04,18,0,,1,,
