[youtube] Extracting URL: https://www.youtube.com/watch?v=lWJ8W_jjZ5s
[youtube] lWJ8W_jjZ5s: Downloading webpage
[youtube] lWJ8W_jjZ5s: Downloading visionos player API JSON
[youtube] lWJ8W_jjZ5s: Downloading m3u8 information
[info] Available formats for lWJ8W_jjZ5s:
ID    EXT   RESOLUTION FPS CH |   FILESIZE   TBR PROTO | VCODEC          VBR ACODEC      ABR ASR MORE INFO
-----------------------------------------------------------------------------------------------------------------------------------------------------------
sb3   mhtml 48x27        0    |                  mhtml | images                                  storyboard
sb2   mhtml 80x45        0    |                  mhtml | images                                  storyboard
sb1   mhtml 160x90       0    |                  mhtml | images                                  storyboard
sb0   mhtml 320x180      0    |                  mhtml | images                                  storyboard
233-0 mp4   audio only        |                  m3u8  | audio only          unknown             [de-DE] Deutsch (Deutschland) - dubbed-auto
233-1 mp4   audio only        |                  m3u8  | audio only          unknown             [es-US] es-US - dubbed-auto
233-2 mp4   audio only        |                  m3u8  | audio only          unknown             [fr-FR] Français (France) - dubbed-auto
233-3 mp4   audio only        |                  m3u8  | audio only          unknown             [hi] हिन्दी - dubbed-auto
233-4 mp4   audio only        |                  m3u8  | audio only          unknown             [id] Indonesia - dubbed-auto
233-5 mp4   audio only        |                  m3u8  | audio only          unknown             [it] Italiano - dubbed-auto
233-6 mp4   audio only        |                  m3u8  | audio only          unknown             [ja] 日本語 - dubbed-auto
233-7 mp4   audio only        |                  m3u8  | audio only          unknown             [pl] polski - dubbed-auto
233-8 mp4   audio only        |                  m3u8  | audio only          unknown             [pt-BR] Português (Brasil) - dubbed-auto
234-0 mp4   audio only        |                  m3u8  | audio only          unknown             [de-DE] Deutsch (Deutschland) - dubbed-auto
234-1 mp4   audio only        |                  m3u8  | audio only          unknown             [es-US] es-US - dubbed-auto
234-2 mp4   audio only        |                  m3u8  | audio only          unknown             [fr-FR] Français (France) - dubbed-auto
234-3 mp4   audio only        |                  m3u8  | audio only          unknown             [hi] हिन्दी - dubbed-auto
234-4 mp4   audio only        |                  m3u8  | audio only          unknown             [id] Indonesia - dubbed-auto
234-5 mp4   audio only        |                  m3u8  | audio only          unknown             [it] Italiano - dubbed-auto
234-6 mp4   audio only        |                  m3u8  | audio only          unknown             [ja] 日本語 - dubbed-auto
234-7 mp4   audio only        |                  m3u8  | audio only          unknown             [pl] polski - dubbed-auto
234-8 mp4   audio only        |                  m3u8  | audio only          unknown             [pt-BR] Português (Brasil) - dubbed-auto
233-9 mp4   audio only        |                  m3u8  | audio only          unknown             [en-US] American English - original, low (original)
234-9 mp4   audio only        |                  m3u8  | audio only          unknown             [en-US] American English - original, high (original)
139-0 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [de-DE] German (DE), low, m4a_dash
139-1 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [es-US] Spanish (US), low, m4a_dash
139-2 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [fr-FR] French (FR), low, m4a_dash
139-3 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [hi] Hindi, low, m4a_dash
139-4 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [id] Indonesian, low, m4a_dash
139-5 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [it] Italian, low, m4a_dash
139-6 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [ja] Japanese, low, m4a_dash
139-7 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [pl] Polish, low, m4a_dash
139-8 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [pt-BR] Portuguese (BR), low, m4a_dash
139-9 m4a   audio only      2 |    3.48MiB   49k https | audio only          mp4a.40.5   49k 22k [en-US] English (US) original (default), low, m4a_dash
249-0 webm  audio only      2 |    3.98MiB   56k https | audio only          opus        56k 48k [pt-BR] Portuguese (BR), low, webm_dash
249-1 webm  audio only      2 |    3.98MiB   56k https | audio only          opus        56k 48k [ja] Japanese, low, webm_dash
249-2 webm  audio only      2 |    3.99MiB   56k https | audio only          opus        56k 48k [id] Indonesian, low, webm_dash
249-3 webm  audio only      2 |    4.00MiB   56k https | audio only          opus        56k 48k [hi] Hindi, low, webm_dash
249-4 webm  audio only      2 |    4.00MiB   56k https | audio only          opus        56k 48k [de-DE] German (DE), low, webm_dash
249-5 webm  audio only      2 |    4.02MiB   56k https | audio only          opus        56k 48k [es-US] Spanish (US), low, webm_dash
249-6 webm  audio only      2 |    4.03MiB   57k https | audio only          opus        57k 48k [it] Italian, low, webm_dash
249-7 webm  audio only      2 |    4.05MiB   57k https | audio only          opus        57k 48k [fr-FR] French (FR), low, webm_dash
249-8 webm  audio only      2 |    4.06MiB   57k https | audio only          opus        57k 48k [pl] Polish, low, webm_dash
250-0 webm  audio only      2 |    5.12MiB   72k https | audio only          opus        72k 48k [pt-BR] Portuguese (BR), low, webm_dash
