[youtube] Extracting URL: https://www.youtube.com/watch?v=bTLh4z-3ZmE
[youtube] bTLh4z-3ZmE: Downloading webpage
[youtube] bTLh4z-3ZmE: Downloading visionos player API JSON
[youtube] bTLh4z-3ZmE: Downloading m3u8 information
[info] Available formats for bTLh4z-3ZmE:
ID     EXT   RESOLUTION FPS CH |   FILESIZE   TBR PROTO | VCODEC          VBR ACODEC      ABR ASR MORE INFO
139-3  m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [es-US] Spanish (US), low, m4a_dash
139-4  m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [fr-FR] French (FR), low, m4a_dash
139-5  m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [hi] Hindi, low, m4a_dash
139-6  m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [id] Indonesian, low, m4a_dash
139-7  m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [it] Italian, low, m4a_dash
139-8  m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [iw] Hebrew, low, m4a_dash
139-9  m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [ja] Japanese, low, m4a_dash
139-10 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [ko] Korean, low, m4a_dash
139-11 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [ml] Malayalam, low, m4a_dash
139-12 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [nl-NL] Dutch (NL), low, m4a_dash
139-13 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [pa] Punjabi, low, m4a_dash
139-14 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [pl] Polish, low, m4a_dash
139-15 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [pt-BR] Portuguese (BR), low, m4a_dash
139-16 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [ru] Russian, low, m4a_dash
139-17 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [ta] Tamil, low, m4a_dash
139-18 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [te] Telugu, low, m4a_dash
139-19 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [uk] Ukrainian, low, m4a_dash
139-20 m4a   audio only      2 |    1.39MiB   49k https | audio only          mp4a.40.5   49k 22k [en-US] English (US) original (default), low, m4a_dash
249-0  webm  audio only      2 |    1.39MiB   49k https | audio only          opus        49k 48k [de-DE] German (DE), low, webm_dash
249-1  webm  audio only      2 |    1.39MiB   49k https | audio only          opus        49k 48k [id] Indonesian, low, webm_dash
249-2  webm  audio only      2 |    1.39MiB   49k https | audio only          opus        49k 48k [es-US] Spanish (US), low, webm_dash
249-3  webm  audio only      2 |    1.40MiB   49k https | audio only          opus        49k 48k [fr-FR] French (FR), low, webm_dash
249-4  webm  audio only      2 |    1.40MiB   49k https | audio only          opus        49k 48k [pt-BR] Portuguese (BR), low, webm_dash
249-5  webm  audio only      2 |    1.40MiB   49k https | audio only          opus        49k 48k [hi] Hindi, low, webm_dash
249-6  webm  audio only      2 |    1.40MiB   49k https | audio only          opus        49k 48k [it] Italian, low, webm_dash
249-7  webm  audio only      2 |    1.43MiB   50k https | audio only          opus        50k 48k [iw] Hebrew, low, webm_dash
249-8  webm  audio only      2 |    1.44MiB   50k https | audio only          opus        50k 48k [ru] Russian, low, webm_dash
249-9  webm  audio only      2 |    1.44MiB   51k https | audio only          opus        51k 48k [ko] Korean, low, webm_dash
249-10 webm  audio only      2 |    1.45MiB   51k https | audio only          opus        51k 48k [pl] Polish, low, webm_dash
249-11 webm  audio only      2 |    1.45MiB   51k https | audio only          opus        51k 48k [ar] Arabic, low, webm_dash
249-12 webm  audio only      2 |    1.45MiB   51k https | audio only          opus        51k 48k [bn] Bangla, low, webm_dash
249-13 webm  audio only      2 |    1.45MiB   51k https | audio only          opus        51k 48k [nl-NL] Dutch (NL), low, webm_dash
249-14 webm  audio only      2 |    1.45MiB   51k https | audio only          opus        51k 48k [uk] Ukrainian, low, webm_dash
249-15 webm  audio only      2 |    1.46MiB   51k https | audio only          opus        51k 48k [ja] Japanese, low, webm_dash
249-16 webm  audio only      2 |    1.47MiB   52k https | audio only          opus        52k 48k [ml] Malayalam, low, webm_dash
249-17 webm  audio only      2 |    1.48MiB   52k https | audio only          opus        52k 48k [pa] Punjabi, low, webm_dash
249-18 webm  audio only      2 |    1.49MiB   52k https | audio only          opus        52k 48k [te] Telugu, low, webm_dash
249-19 webm  audio only      2 |    1.49MiB   52k https | audio only          opus        52k 48k [ta] Tamil, low, webm_dash
250-0  webm  audio only      2 |    1.72MiB   61k https | audio only          opus        61k 48k [pt-BR] Portuguese (BR), low, webm_dash
250-1  webm  audio only      2 |    1.72MiB   61k https | audio only          opus        61k 48k [fr-FR] French (FR), low, webm_dash
250-2  webm  audio only      2 |    1.73MiB   61k https | audio only          opus        61k 48k [de-DE] German (DE), low, webm_dash
250-3  webm  audio only      2 |    1.74MiB   61k https | audio only          opus        61k 48k [id] Indonesian, low, webm_dash
250-4  webm  audio only      2 |    1.75MiB   61k https | audio only          opus        61k 48k [es-US] Spanish (US), low, webm_dash
250-5  webm  audio only      2 |    1.75MiB   61k https | audio only          opus        61k 48k [it] Italian, low, webm_dash
250-6  webm  audio only      2 |    1.77MiB   62k https | audio only          opus        62k 48k [iw] Hebrew, low, webm_dash
250-7  webm  audio only      2 |    1.78MiB   62k https | audio only          opus        62k 48k [hi] Hindi, low, webm_dash
250-8  webm  audio only      2 |    1.79MiB   63k https | audio only          opus        63k 48k [ru] Russian, low, webm_dash
250-9  webm  audio only      2 |    1.80MiB   63k https | audio only          opus        63k 48k [bn] Bangla, low, webm_dash
250-10 webm  audio only      2 |    1.80MiB   63k https | audio only          opus        63k 48k [ko] Korean, low, webm_dash
250-11 webm  audio only      2 |    1.81MiB   64k https | audio only          opus        64k 48k [ml] Malayalam, low, webm_dash
250-12 webm  audio only      2 |    1.81MiB   64k https | audio only          opus        64k 48k [ja] Japanese, low, webm_dash
250-13 webm  audio only      2 |    1.81MiB   64k https | audio only          opus        64k 48k [uk] Ukrainian, low, webm_dash
250-14 webm  audio only      2 |    1.82MiB   64k https | audio only          opus        64k 48k [pl] Polish, low, webm_dash
250-15 webm  audio only      2 |    1.82MiB   64k https | audio only          opus        64k 48k [nl-NL] Dutch (NL), low, webm_dash
250-16 webm  audio only      2 |    1.83MiB   64k https | audio only          opus        64k 48k [pa] Punjabi, low, webm_dash
250-17 webm  audio only      2 |    1.83MiB   64k https | audio only          opus        64k 48k [ar] Arabic, low, webm_dash
250-18 webm  audio only      2 |    1.84MiB   65k https | audio only          opus        65k 48k [te] Telugu, low, webm_dash
250-19 webm  audio only      2 |    1.85MiB   65k https | audio only          opus        65k 48k [ta] Tamil, low, webm_dash
249-20 webm  audio only      2 |    1.34MiB   47k https | audio only          opus        47k 48k [en-US] English (US) original (default), low, webm_dash
250-20 webm  audio only      2 |    1.95MiB   69k https | audio only          opus        69k 48k [en-US] English (US) original (default), low, webm_dash
140-0  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [ar] Arabic, medium, m4a_dash
140-1  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [bn] Bangla, medium, m4a_dash
140-2  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [de-DE] German (DE), medium, m4a_dash
140-3  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [es-US] Spanish (US), medium, m4a_dash
140-4  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [fr-FR] French (FR), medium, m4a_dash
140-5  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [hi] Hindi, medium, m4a_dash
140-6  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [id] Indonesian, medium, m4a_dash
140-7  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [it] Italian, medium, m4a_dash
140-8  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [iw] Hebrew, medium, m4a_dash
140-9  m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [ja] Japanese, medium, m4a_dash
140-10 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [ko] Korean, medium, m4a_dash
140-11 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [ml] Malayalam, medium, m4a_dash
140-12 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [nl-NL] Dutch (NL), medium, m4a_dash
140-13 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [pa] Punjabi, medium, m4a_dash
140-14 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [pl] Polish, medium, m4a_dash
140-15 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [pt-BR] Portuguese (BR), medium, m4a_dash
140-16 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [ru] Russian, medium, m4a_dash
140-17 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [ta] Tamil, medium, m4a_dash
140-18 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [te] Telugu, medium, m4a_dash
140-19 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [uk] Ukrainian, medium, m4a_dash
140-20 m4a   audio only      2 |    3.68MiB  129k https | audio only          mp4a.40.2  129k 44k [en-US] English (US) original (default), medium, m4a_dash
251-0  webm  audio only      2 |    3.02MiB  106k https | audio only          opus       106k 48k [fr-FR] French (FR), medium, webm_dash
251-1  webm  audio only      2 |    3.02MiB  106k https | audio only          opus       106k 48k [pt-BR] Portuguese (BR), medium, webm_dash
251-2  webm  audio only      2 |    3.04MiB  107k https | audio only          opus       107k 48k [de-DE] German (DE), medium, webm_dash
251-3  webm  audio only      2 |    3.04MiB  107k https | audio only          opus       107k 48k [id] Indonesian, medium, webm_dash
251-4  webm  audio only      2 |    3.06MiB  107k https | audio only          opus       107k 48k [es-US] Spanish (US), medium, webm_dash
251-5  webm  audio only      2 |    3.07MiB  108k https | audio only          opus       108k 48k [it] Italian, medium, webm_dash
251-6  webm  audio only      2 |    3.11MiB  109k https | audio only          opus       109k 48k [hi] Hindi, medium, webm_dash
251-7  webm  audio only      2 |    3.13MiB  110k https | audio only          opus       110k 48k [iw] Hebrew, medium, webm_dash
251-8  webm  audio only      2 |    3.16MiB  111k https | audio only          opus       111k 48k [ru] Russian, medium, webm_dash
251-9  webm  audio only      2 |    3.17MiB  111k https | audio only          opus       111k 48k [bn] Bangla, medium, webm_dash
251-10 webm  audio only      2 |    3.18MiB  112k https | audio only          opus       112k 48k [ko] Korean, medium, webm_dash
251-11 webm  audio only      2 |    3.19MiB  112k https | audio only          opus       112k 48k [ml] Malayalam, medium, webm_dash
251-12 webm  audio only      2 |    3.20MiB  112k https | audio only          opus       112k 48k [ja] Japanese, medium, webm_dash
251-13 webm  audio only      2 |    3.20MiB  113k https | audio only          opus       113k 48k [uk] Ukrainian, medium, webm_dash
251-14 webm  audio only      2 |    3.22MiB  113k https | audio only          opus       113k 48k [nl-NL] Dutch (NL), medium, webm_dash
251-15 webm  audio only      2 |    3.22MiB  113k https | audio only          opus       113k 48k [pl] Polish, medium, webm_dash
251-16 webm  audio only      2 |    3.23MiB  114k https | audio only          opus       114k 48k [ar] Arabic, medium, webm_dash
251-17 webm  audio only      2 |    3.24MiB  114k https | audio only          opus       114k 48k [pa] Punjabi, medium, webm_dash
251-18 webm  audio only      2 |    3.24MiB  114k https | audio only          opus       114k 48k [te] Telugu, medium, webm_dash
251-19 webm  audio only      2 |    3.26MiB  114k https | audio only          opus       114k 48k [ta] Tamil, medium, webm_dash
251-20 webm  audio only      2 |    3.75MiB  132k https | audio only          opus       132k 48k [en-US] English (US) original (default), medium, webm_dash
602    mp4   256x144     13    | ~  3.93MiB  138k m3u8  | vp09.00.10.08  138k video only
269    mp4   256x144     25    | ~  5.12MiB  180k m3u8  | avc1.4D400C    180k video only
160    mp4   256x144     25    |    3.08MiB  108k https | avc1.4d400c    108k video only          144p, mp4_dash
603    mp4   256x144     25    | ~  5.92MiB  208k m3u8  | vp09.00.11.08  208k video only
278    webm  256x144     25    |    3.01MiB  106k https | vp9            106k video only          144p, webm_dash
394    mp4   256x144     25    |    2.57MiB   90k https | av01.0.00M.08   90k video only          144p, mp4_dash
229    mp4   426x240     25    | ~  9.27MiB  325k m3u8  | avc1.4D4015    325k video only
133    mp4   426x240     25    |    6.74MiB  237k https | avc1.4d4015    237k video only          240p, mp4_dash
604    mp4   426x240     25    | ~ 12.78MiB  449k m3u8  | vp09.00.20.08  449k video only
242    webm  426x240     25    |    6.52MiB  229k https | vp9            229k video only          240p, webm_dash
395    mp4   426x240     25    |    5.75MiB  202k https | av01.0.00M.08  202k video only          240p, mp4_dash
230    mp4   640x360     25    | ~ 21.27MiB  746k m3u8  | avc1.4D401E    746k video only
134    mp4   640x360     25    |   15.04MiB  529k https | avc1.4d401e    529k video only          360p, mp4_dash
605    mp4   640x360     25    | ~ 21.55MiB  756k m3u8  | vp09.00.21.08  756k video only
243    webm  640x360     25    |   11.18MiB  393k https | vp9            393k video only          360p, webm_dash
396    mp4   640x360     25    |   12.33MiB  434k https | av01.0.01M.08  434k video only          360p, mp4_dash
231    mp4   854x480     25    | ~ 38.75MiB 1360k m3u8  | avc1.4D401E   1360k video only
135    mp4   854x480     25    |   29.81MiB 1048k https | avc1.4d401e   1048k video only          480p, mp4_dash
606    mp4   854x480     25    | ~ 38.29MiB 1344k m3u8  | vp09.00.30.08 1344k video only
244    webm  854x480     25    |   21.38MiB  752k https | vp9            752k video only          480p, webm_dash
397    mp4   854x480     25    |   24.21MiB  851k https | av01.0.04M.08  851k video only          480p, mp4_dash
232    mp4   1280x720    25    | ~ 71.27MiB 2502k m3u8  | avc1.64001F   2502k video only
136    mp4   1280x720    25    |   57.53MiB 2023k https | avc1.64001f   2023k video only          720p, mp4_dash
609    mp4   1280x720    25    | ~ 75.70MiB 2657k m3u8  | vp09.00.31.08 2657k video only
247    webm  1280x720    25    |   36.91MiB 1298k https | vp9           1298k video only          720p, webm_dash
398    mp4   1280x720    25    |   44.97MiB 1581k https | av01.0.05M.08 1581k video only          720p, mp4_dash
270    mp4   1920x1080   25    | ~139.34MiB 4891k m3u8  | avc1.640028   4891k video only
137    mp4   1920x1080   25    |  115.46MiB 4060k https | avc1.640028   4060k video only          1080p, mp4_dash
614    mp4   1920x1080   25    | ~142.56MiB 5004k m3u8  | vp09.00.40.08 5004k video only
248    webm  1920x1080   25    |   69.04MiB 2428k https | vp9           2428k video only          1080p, webm_dash
399    mp4   1920x1080   25    |   78.87MiB 2773k https | av01.0.08M.08 2773k video only          1080p, mp4_dash
