sport,season,n_events,n_pre_start,n_at_tip,n_first_inplay,n_none,median_pre_start_s,median_at_tip_s,median_first_inplay_s,p0_diff_gt_005
nba,nba_full,001593,000000,000000,000000,001593,,,,n/a (0 joined; no p0 comparison possible)
wnba,wnba_full,000085,000000,000000,000000,000085,,,,n/a (0 joined; no p0 comparison possible)
mlb,2022,000199,000000,000000,000000,000199,,,,n/a (0 joined; no p0 comparison possible)
mlb,2023,000200,000000,000000,000000,000200,,,,n/a (0 joined; no p0 comparison possible)
mlb,2024,000243,000000,000000,000000,000243,,,,n/a (0 joined; no p0 comparison possible)
mlb,2025,000231,000000,000000,000000,000231,,,,n/a (0 joined; no p0 comparison possible)
mlb,2026,000100,000000,000000,000000,000100,,,,n/a (0 joined; no p0 comparison possible)
soccer,combo_eng_ger,000685,000000,000000,000000,000685,,,,n/a (0 joined; no p0 comparison possible)
soccer,combo_esp_ita,001372,000000,000000,000000,001372,,,,n/a (0 joined; no p0 comparison possible)
soccer,eng1,000380,000000,000000,000000,000380,,,,n/a (0 joined; no p0 comparison possible)
soccer,esp1,000380,000000,000000,000000,000380,,,,n/a (0 joined; no p0 comparison possible)
soccer,ger1,000305,000000,000000,000000,000305,,,,n/a (0 joined; no p0 comparison possible)
soccer,ita1,000377,000000,000000,000000,000377,,,,n/a (0 joined; no p0 comparison possible)
soccer,wc_2026,000096,000000,000000,000000,000096,,,,n/a (0 joined; no p0 comparison possible)
tennis,atp,029572,000000,000000,000000,029572,,,,n/a (0 joined; no p0 comparison possible)
tennis,wta,011016,000000,000000,000000,011016,,,,n/a (0 joined; no p0 comparison possible)
