section_name,game_id,pool,rows,unique_frames,tracks,pairs_n,held_n,modal_frame_step,held_share,held_permille,ledger_rows,ledger_seconds,ledger_source_fps,ledger_decoded_frames,ledger_evaluated_frames,ledger_stride,implied_stride
1zPhldjbJnU_s1196,1zPhldjbJnU,POST_EPOCH,004017,000995,000010,004007,003948,000003,0.985276,0985,4017,532,30.0,3901,1301,3,2.998463
1zPhldjbJnU_s3408,1zPhldjbJnU,POST_EPOCH,004316,000996,000010,004306,003548,000003,0.823967,0824,4316,655,30.0,3901,1301,3,2.998463
1zPhldjbJnU_s5620,1zPhldjbJnU,POST_EPOCH,005636,001000,000010,005626,005471,000003,0.972449,0972,5636,675,30.0,3901,1301,3,2.998463
3fT6aYz2N9w_s1339,3fT6aYz2N9w,POST_EPOCH,005158,000980,000010,005148,004534,000003,0.880730,0881,5158,848,29.97002997002997,3897,1299,3,3.000000
3fT6aYz2N9w_s5086,3fT6aYz2N9w,POST_EPOCH,000632,000481,000010,000622,000207,000003,0.332797,0333,632,531,29.97002997002997,3897,1299,3,3.000000
50pp-OqYVok_s2750,50pp-OqYVok,POST_EPOCH,004508,000999,000010,004498,003039,000003,0.675634,0676,4508,427,30.0,3901,1301,3,2.998463
50pp-OqYVok_s5410,50pp-OqYVok,POST_EPOCH,004194,000991,000010,004184,002973,000003,0.710564,0711,4194,732,30.0,3901,1301,3,2.998463
7Ci3zQ5Vm4M_s2312,7Ci3zQ5Vm4M,POST_EPOCH,004257,000965,000010,004247,002807,000003,0.660937,0661,4257,387,30.0,3901,1301,3,2.998463
UPco-jzOoEg_s2796,UPco-jzOoEg,POST_EPOCH,001517,000445,000010,001507,001334,000006,0.885202,0885,1517,636,60.0,7801,1301,6,5.996157
acb-8Oh7-GrvKvE_s2630,acb-8Oh7-GrvKvE,POST_EPOCH,002578,000470,000010,002568,000968,000006,0.376947,0377,2578,997,60.0,7801,1301,6,5.996157
acb-8Oh7-GrvKvE_s6440,acb-8Oh7-GrvKvE,POST_EPOCH,002530,000470,000010,002520,001125,000006,0.446429,0446,2530,762,60.0,7801,1301,6,5.996157
eurocup-Y6POC6V1Y5E_s1221,eurocup-Y6POC6V1Y5E,POST_EPOCH,003927,000963,000010,003917,002606,000003,0.665305,0665,3927,2486,30.0,3901,1301,3,2.998463
eurocup-Y6POC6V1Y5E_s3483,eurocup-Y6POC6V1Y5E,POST_EPOCH,003983,000892,000010,003973,003167,000003,0.797131,0797,3983,3633,30.0,3901,1301,3,2.998463
eurocup-Y6POC6V1Y5E_s5745,eurocup-Y6POC6V1Y5E,POST_EPOCH,004170,001000,000010,004160,003751,000003,0.901683,0902,4170,1448,30.0,3901,1301,3,2.998463
euroleague-AIPW_g_VZN0_s1153,euroleague-AIPW_g_VZN0,POST_EPOCH,001952,000433,000010,001942,001318,000003,0.678682,0679,1952,1255,25.0,3251,1626,2,1.999385
euroleague-AIPW_g_VZN0_s3279,euroleague-AIPW_g_VZN0,POST_EPOCH,004144,000888,000010,004134,003879,000003,0.938316,0938,4144,935,25.0,3251,1626,2,1.999385
euroleague-AIPW_g_VZN0_s5405,euroleague-AIPW_g_VZN0,POST_EPOCH,004160,000974,000010,004150,003167,000003,0.763133,0763,4160,808,25.0,3251,1626,2,1.999385
fiba-1DKl1QOo_b8_s1289,fiba-1DKl1QOo_b8,POST_EPOCH,001650,000609,000010,001640,000802,000003,0.489024,0489,1650,799,25.0,3251,1626,2,1.999385
fiba-1DKl1QOo_b8_s4886,fiba-1DKl1QOo_b8,POST_EPOCH,004103,000901,000010,004093,003811,000003,0.931102,0931,4103,718,25.0,3251,1626,2,1.999385
fiba-UG_eQNRDHiI_s1385,fiba-UG_eQNRDHiI,POST_EPOCH,004593,000994,000010,004583,003897,000003,0.850316,0850,4593,1169,30.0,3901,1301,3,2.998463
fiba-UG_eQNRDHiI_s3975,fiba-UG_eQNRDHiI,POST_EPOCH,005984,000967,000010,005974,003929,000003,0.657683,0658,5984,806,30.0,3901,1301,3,2.998463
fiba-UG_eQNRDHiI_s90,fiba-UG_eQNRDHiI,POST_EPOCH,005003,000970,000010,004993,002530,000003,0.506709,0507,5003,889,30.0,3901,1301,3,2.998463
fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE,POST_EPOCH,001314,000422,000010,001304,000720,000003,0.552147,0552,1314,3453,30.0,3901,1301,3,2.998463
lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA,POST_EPOCH,005498,000990,000010,005488,004623,000003,0.842383,0842,5498,1331,30.0,3901,1301,3,2.998463
lnb-ouDVA0vM20g_s1379,lnb-ouDVA0vM20g,G346_LIVE,004361,001000,000010,004351,004249,000003,0.976557,0977,4361,846,30.0,3901,1301,3,2.998463
nbl-kRQtUZmPm0E_s363,nbl-kRQtUZmPm0E,POST_EPOCH,001719,000530,000010,001709,000765,000005,0.447630,0448,1719,722,50.0,6501,1301,5,4.996925
nbl-kRQtUZmPm0E_s90,nbl-kRQtUZmPm0E,POST_EPOCH,002466,000600,000010,002456,002352,000005,0.957655,0958,2466,474,50.0,6501,1301,5,4.996925
ncaaw-lFZWLVzvCEs_s2232,ncaaw-lFZWLVzvCEs,POST_EPOCH,003600,000990,000010,003590,002889,000003,0.804735,0805,3600,1122,29.97002997002997,3897,1299,3,3.000000
ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs,POST_EPOCH,002970,000936,000010,002960,002688,000003,0.908108,0908,2970,1232,29.97002997002997,3898,1300,3,2.998462
ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs,POST_EPOCH,004110,001000,000010,004100,002922,000003,0.712683,0713,4110,912,29.97002997002997,3897,1299,3,3.000000
tDpmV777-IQ_s5262,tDpmV777-IQ,POST_EPOCH,002863,000446,000010,002853,002031,000006,0.711882,0712,2863,328,59.940064961459086,7793,1299,6,5.999230
wHs1OssEcAw_s1183,wHs1OssEcAw,POST_EPOCH,003248,000494,000010,003238,002003,000006,0.618592,0619,3248,429,59.940062474027286,7793,1299,6,5.999230
wHs1OssEcAw_s3369,wHs1OssEcAw,POST_EPOCH,001649,000500,000010,001639,001595,000006,0.973154,0973,1649,1061,59.940065041021256,7793,1299,6,5.999230
wHs1OssEcAw_s5555,wHs1OssEcAw,POST_EPOCH,000818,000392,000010,000808,000596,000006,0.737624,0738,818,406,59.94006248241897,7793,1299,6,5.999230
