section_name,pool,arm,mode,duration,gate,status,reason,measurement,threshold,rows_total,player_rows,ball_rows,tracks,unique_frames,steps_n,held_rows_dropped
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,coordinate_contract,NOT_APPLICABLE,court_space_required,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,insufficient_data,PASS,at least 30 frames,995,30,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,duplicate_frame_identity,PASS,no duplicate frame-track rows,0,0,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,coverage_attempted_frames,MEASURED_NO_BAR,emitted-frame density; attempted-frame denominator unavailable,0.1035175879396985,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,median_track_len,PASS,landed minimum track length,420.0,3.0,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,oob,NOT_APPLICABLE,court_space_required,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,jump_max,MEASURED_NO_BAR,G48 has no landed pixel-rate threshold,0.0,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,attempted_frames,MEASURED_NO_BAR,attempted-frame metadata is outside image-space inputs,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,ball_valid_attempted_frames,PASS,landed ball-row presence minimum,0.9969849246231156,0.3,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,liveness_frozen,PASS,liveness verdict SUSPECT,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,zero_step_share,REJECT,landed liveness threshold,0.9852757674070377,0.883869,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,median_step_distance,PASS,landed liveness threshold,0.0,8.408436,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,distinct_position_ratio,REJECT,landed liveness threshold,0.01717699775952203,0.108915,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,stationary_track_share,PASS,landed liveness threshold,0.1,0.149,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,jump_p95,MEASURED_NO_BAR,G48 has no landed pixel-rate threshold,0.0,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,ball_detected_share,PASS,landed ball-row presence minimum,0.9969849246231156,0.3,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,g325_wholly_off_frame,NOT_APPLICABLE,frame_size_absent,,0.95,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M0,FULL,any_gate,REJECT,one or more image gates rejected,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,coordinate_contract,NOT_APPLICABLE,court_space_required,,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,insufficient_data,PASS,at least 30 frames,995,30,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,duplicate_frame_identity,PASS,no duplicate frame-track rows,0,0,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,coverage_attempted_frames,MEASURED_NO_BAR,emitted-frame density; attempted-frame denominator unavailable,0.0,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,median_track_len,PASS,landed minimum track length,4.5,3.0,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,oob,NOT_APPLICABLE,court_space_required,,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,jump_max,MEASURED_NO_BAR,G48 has no landed pixel-rate threshold,262.6513842549166,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,attempted_frames,MEASURED_NO_BAR,attempted-frame metadata is outside image-space inputs,,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,ball_valid_attempted_frames,REJECT,landed ball-row presence minimum,0.02814070351758794,0.3,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,liveness_frozen,PASS,liveness verdict SUSPECT,,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,zero_step_share,PASS,landed liveness threshold,0.0,0.883869,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,median_step_distance,REJECT,landed liveness threshold,58.034472514187634,8.408436,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,distinct_position_ratio,PASS,landed liveness threshold,1.0,0.108915,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,stationary_track_share,PASS,landed liveness threshold,0.1,0.149,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,jump_p95,MEASURED_NO_BAR,G48 has no landed pixel-rate threshold,262.6513842549166,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,ball_detected_share,REJECT,landed ball-row presence minimum,0.02814070351758794,0.3,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,g325_wholly_off_frame,NOT_APPLICABLE,frame_size_absent,,0.95,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A0,M1,FULL,any_gate,REJECT,one or more image gates rejected,,,001061,000069,000992,000010,000995,000059,003948
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,coordinate_contract,NOT_APPLICABLE,court_space_required,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,insufficient_data,PASS,at least 30 frames,995,30,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,duplicate_frame_identity,PASS,no duplicate frame-track rows,0,0,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,coverage_attempted_frames,MEASURED_NO_BAR,emitted-frame density; attempted-frame denominator unavailable,0.1035175879396985,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,median_track_len,PASS,landed minimum track length,420.0,3.0,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,oob,NOT_APPLICABLE,court_space_required,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,jump_max,MEASURED_NO_BAR,G48 has no landed pixel-rate threshold,0.0,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,attempted_frames,MEASURED_NO_BAR,attempted-frame metadata is outside image-space inputs,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,ball_valid_attempted_frames,PASS,landed ball-row presence minimum,0.9969849246231156,0.3,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,liveness_frozen,REJECT,liveness verdict FROZEN,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,zero_step_share,REJECT,landed liveness threshold,1.0,0.883869,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,median_step_distance,PASS,landed liveness threshold,0.0,8.408436,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,distinct_position_ratio,REJECT,landed liveness threshold,0.0024894199651481204,0.108915,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,stationary_track_share,REJECT,landed liveness threshold,1.0,0.149,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,jump_p95,MEASURED_NO_BAR,G48 has no landed pixel-rate threshold,0.0,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,ball_detected_share,PASS,landed ball-row presence minimum,0.9969849246231156,0.3,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,g325_wholly_off_frame,NOT_APPLICABLE,frame_size_absent,,0.95,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M0,FULL,any_gate,REJECT,one or more image gates rejected,,,005009,004017,000992,000010,000995,004007,000000
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M1,FULL,coordinate_contract,NOT_APPLICABLE,court_space_required,,,001002,000010,000992,000010,000993,000000,004007
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M1,FULL,insufficient_data,PASS,at least 30 frames,993,30,001002,000010,000992,000010,000993,000000,004007
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M1,FULL,duplicate_frame_identity,PASS,no duplicate frame-track rows,0,0,001002,000010,000992,000010,000993,000000,004007
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M1,FULL,coverage_attempted_frames,MEASURED_NO_BAR,emitted-frame density; attempted-frame denominator unavailable,0.0,,001002,000010,000992,000010,000993,000000,004007
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M1,FULL,median_track_len,REJECT,landed minimum track length,1.0,3.0,001002,000010,000992,000010,000993,000000,004007
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M1,FULL,oob,NOT_APPLICABLE,court_space_required,,,001002,000010,000992,000010,000993,000000,004007
1zPhldjbJnU_s1196,POST_EPOCH,A1_FROZEN,M1,FULL,jump_max,MEASURED_NO_BAR,G48 has no landed pixel-rate threshold,0.0,,001002,000010,000992,000010,000993,000000,004007
