file,line,pattern,readers_row_id
api/analytics_router.py,54,BALL_QUOTED,R89
api/courtvision_router.py,8436,CLS,R100
api/courtvision_router.py,8437,CLS,R100
api/courtvision_router.py,8506,CLS,R100
api/courtvision_router.py,8507,CLS,R100
api/static/cv_simple.js,71,CLS,R101
api/static/cv_simple.js,72,CLS,R101
api/templates/odds.html,785,CLS,R102
domains/baseball/tracking/adapter.py,56,CLS,R209
domains/baseball/tracking/adapter.py,220,CLS,R209
domains/baseball/tracking/adapter.py,270,BALL_COL,R209
domains/baseball/tracking/test_adapter.py,123,CLS,R210
domains/baseball/tracking/test_adapter.py,145,CLS,R210
domains/baseball/tracking/test_adapter.py,153,BALL_COL,R210
domains/baseball_kbo/ingest_kbo.py,160,CLS,R211
domains/baseball_kbo/ingest_kbo.py,162,CLS,R211
domains/baseball_kbo/ingest_kbo.py,167,CLS,R211
domains/basketball/tracking/adapter.py,21,CLS,R90
domains/basketball/tracking/adapter.py,111,CLS,R90
domains/basketball_nba/concepts/concept_registry.py,273,BALL_QUOTED,R146
domains/basketball_nba/sim2/cond_clutch.py,156,CLS,R274
domains/basketball_nba/sim2/cond_clutch.py,183,CLS,R274
domains/basketball_nba/sim2/cond_composite.py,156,CLS,R275
domains/basketball_nba/sim2/cond_composite.py,178,CLS,R275
domains/basketball_nba/sim2/pace_model.py,62,CLS,R276
domains/basketball_nba/sim2/pace_model.py,64,CLS,R276
domains/basketball_nba/sim2/pace_model.py,71,CLS,R276
domains/basketball_nba/sim2/pace_model.py,72,CLS,R276
domains/basketball_nba/sim2/possession_model.py,216,CLS,R277
domains/basketball_nba/sim2/possession_model.py,218,CLS,R277
domains/basketball_nba/sim2/possession_model.py,225,CLS,R277
domains/basketball_nba/sim2/possession_model.py,240,CLS,R277
domains/basketball_nba/sim2/possession_model.py,247,CLS,R277
domains/basketball_nba/tracking/quality_probe.py,26,BALL_QUOTED,R32
domains/basketball_nba/tracking/quality_probe.py,30,BALL_QUOTED,R32
domains/basketball_nba/tracking/quality_probe.py,90,CLS,R32
domains/basketball_nba/tracking/quality_probe.py,91,BALL_QUOTED|CLS,R32
domains/basketball_nba/tracking/quality_probe.py,103,CLS,R32
domains/basketball_nba/tracking/quality_probe.py,104,BALL_QUOTED|CLS,R32
domains/basketball_nba/tracking/quality_probe.py,105,BALL_COL,R32
domains/basketball_nba/tracking/quality_probe.py,117,BALL_COL,R32
domains/basketball_nba/tracking/quality_probe.py,118,BALL_COL,R32
domains/basketball_nba/tracking/quality_probe.py,119,BALL_COL,R32
domains/basketball_nba/tracking/quality_probe.py,120,BALL_COL,R32
domains/basketball_nba/tracking/screens.py,81,CLS,R45
domains/basketball_nba/tracking/screens.py,82,BALL_QUOTED|CLS,R45
domains/basketball_nba/tracking/screens.py,85,BALL_QUOTED|CLS,R45
domains/basketball_nba/tracking/test_quality_probe.py,21,BALL_COL,R52
domains/football/tracking/adapter.py,13,CLS,R212
domains/football/tracking/adapter.py,98,CLS,R212
domains/football/tracking/adapter.py,116,CLS,R212
domains/football/tracking/presnap_features.py,55,CLS,R213
domains/football/tracking/presnap_features.py,56,CLS,R213
domains/football/tracking/quality_probe.py,65,CLS,R214
domains/football/tracking/test_adapter.py,193,CLS,R215
domains/football/tracking/test_presnap_features.py,25,CLS,R216
domains/football/tracking/test_presnap_features.py,28,CLS,R216
domains/football/tracking/test_quality_probe.py,20,CLS,R217
domains/mlb/knowledge/test_validate_called_strike_dispersion.py,25,BALL_QUOTED,R218
domains/mlb/knowledge/test_validate_research_wave1.py,25,BALL_QUOTED,R219
domains/mlb/knowledge/test_validate_research_wave1.py,28,BALL_QUOTED,R219
domains/mlb/knowledge/test_validate_research_wave1.py,53,BALL_QUOTED,R219
domains/mlb/knowledge/test_validate_research_wave1.py,68,BALL_QUOTED,R219
domains/mlb/knowledge/test_validate_research_wave2.py,22,BALL_QUOTED,R220
domains/mlb/knowledge/test_validate_research_wave2.py,24,BALL_QUOTED,R220
domains/mlb/knowledge/test_validate_research_wave2.py,34,BALL_QUOTED,R220
domains/mlb/knowledge/test_validate_research_wave2.py,102,BALL_QUOTED,R220
domains/mlb/knowledge/test_validate_research_wave5.py,19,BALL_QUOTED,R221
domains/mlb/knowledge/validate_called_strike_dispersion.py,39,BALL_QUOTED,R222
domains/mlb/knowledge/validate_count_zone.py,118,BALL_QUOTED,R223
domains/mlb/knowledge/validate_research_wave1.py,43,BALL_QUOTED,R224
domains/mlb/knowledge/validate_research_wave2.py,44,BALL_QUOTED,R225
domains/mlb/mlb_prob_recal.py,212,CLS,R226
domains/mlb/mlb_prob_recal.py,218,CLS,R226
domains/mlb/mlb_prob_recal.py,222,CLS,R226
domains/mlb/mlb_prob_recal.py,232,CLS,R226
domains/mlb/mlb_prob_recal.py,240,CLS,R226
domains/mlb/mlb_prob_recal.py,243,CLS,R226
domains/mlb/pitch_engine/bullpen.py,100,CLS,R227
domains/mlb/pitch_engine/bullpen.py,130,CLS,R227
domains/mlb/pitch_engine/bullpen.py,161,CLS,R227
domains/mlb/pitch_engine/bullpen.py,182,CLS,R227
domains/mlb/pitch_engine/bullpen_v3.py,88,CLS,R228
domains/mlb/pitch_engine/bullpen_v3.py,97,CLS,R228
domains/mlb/pitch_engine/bullpen_v3.py,118,CLS,R228
domains/mlb/pitch_engine/bullpen_v3.py,128,CLS,R228
domains/mlb/pitch_engine/bullpen_v3.py,153,CLS,R228
domains/mlb/pitch_engine/bullpen_v3.py,181,CLS,R228
domains/mlb/pitch_engine/bullpen_v4.py,62,CLS,R229
domains/mlb/pitch_engine/bullpen_v4.py,78,CLS,R229
domains/mlb/pitch_engine/corpus.py,68,BALL_QUOTED,R230
domains/mlb/pitch_engine/corpus.py,70,BALL_QUOTED,R230
domains/mlb/pitch_engine/corpus.py,85,BALL_QUOTED,R230
domains/mlb/pitch_engine/game_sim.py,51,CLS,R231
domains/mlb/pitch_engine/game_sim.py,75,CLS,R231
domains/mlb/pitch_engine/outcome.py,56,CLS,R232
domains/mlb/pitch_engine/outcome.py,68,CLS,R232
domains/mlb/pitch_engine/outcome.py,94,CLS,R232
domains/mlb/pitch_engine/outcome.py,124,CLS,R232
domains/mlb/pitch_engine/outcome_platoon.py,42,CLS,R233
domains/mlb/pitch_engine/outcome_platoon.py,62,CLS,R233
domains/mlb/pitch_engine/pa_chain.py,40,BALL_QUOTED,R234
domains/mlb/pitch_engine/pa_chain.py,122,CLS,R234
domains/mlb/pitch_engine/pa_chain.py,136,CLS,R234
domains/mlb/pitch_engine/selection.py,61,CLS,R235
domains/mlb/pitch_engine/selection.py,79,CLS,R235
domains/mlb/pitch_engine/selection.py,80,CLS,R235
domains/mlb/pitch_engine/selection.py,89,CLS,R235
domains/mlb/pitch_engine/test_corpus.py,11,BALL_QUOTED,R236
domains/mlb/pitch_engine/test_corpus.py,15,BALL_QUOTED,R236
domains/mlb/pitch_engine/test_corpus.py,36,BALL_QUOTED,R236
domains/mlb/pitch_engine/test_outcome.py,33,BALL_QUOTED,R237
domains/mlb/pitch_engine/test_outcome_platoon.py,30,BALL_QUOTED,R238
domains/mlb/pitch_engine/test_pa_chain.py,23,BALL_QUOTED,R239
domains/mlb/pitch_engine/test_pa_chain.py,45,BALL_QUOTED,R239
domains/mlb/prereg_shift_framing.py,164,BALL_QUOTED,R240
domains/mlb/profiles/attribute_registry.py,128,CLS,R241
domains/mlb/profiles/attribute_registry.py,255,CLS,R241
