sport,season,archive_event_rows,unique_event_keys,n_events,n_pre_start,pre_start_per_mille,n_at_tip,at_tip_per_mille,n_first_inplay,first_inplay_per_mille,n_none,none_per_mille
nba,nba_full,001593,001593,001593,000000,0000,000000,0000,000000,0000,001593,1000
wnba,wnba_full,000085,000085,000085,000000,0000,000000,0000,000000,0000,000085,1000
mlb,2022,000199,000199,000199,000000,0000,000000,0000,000000,0000,000199,1000
mlb,2023,000200,000200,000200,000000,0000,000000,0000,000000,0000,000200,1000
mlb,2024,000243,000243,000243,000000,0000,000000,0000,000000,0000,000243,1000
mlb,2025,000231,000231,000231,000000,0000,000000,0000,000000,0000,000231,1000
mlb,2026,000100,000100,000100,000056,0560,000000,0000,000000,0000,000044,0440
soccer,combo_eng_ger,001354,001354,001354,000000,0000,000000,0000,000000,0000,001354,1000
soccer,combo_esp_ita,002122,002122,002122,000000,0000,000000,0000,000000,0000,002122,1000
soccer,eng1,000380,000014,000014,000000,0000,000000,0000,000000,0000,000014,1000
soccer,esp1,000380,000007,000007,000000,0000,000000,0000,000000,0000,000007,1000
soccer,ger1,000305,000002,000002,000000,0000,000000,0000,000000,0000,000002,1000
soccer,ita1,000377,000000,000000,000000,0000,000000,0000,000000,0000,000000,0000
soccer,wc_2026,000096,000096,000096,000000,0000,000000,0000,000000,0000,000096,1000
tennis,atp,029572,029572,029572,000000,0000,000000,0000,000000,0000,029572,1000
tennis,wta,011016,011016,011016,000000,0000,000000,0000,000000,0000,011016,1000
