file,line,function,catches,body_kind,silent,source
scripts/run_clip.py,59,<module>,Exception,pass,True,except Exception:
scripts/run_clip.py,73,<module>,ImportError,other,False,except ImportError:
scripts/run_clip.py,98,_ensure_decodable_video,"(FileNotFoundError, subprocess.CalledProcessError)",logged,False,"except (FileNotFoundError, subprocess.CalledProcessError):"
scripts/run_clip.py,115,_ensure_decodable_video,Exception,logged,False,except Exception:
scripts/run_clip.py,166,_preflight_check,ImportError,logged,False,except ImportError:
scripts/run_clip.py,233,_tracking_output_summary,"(TypeError, ValueError)",continue,True,"except (TypeError, ValueError):"
scripts/run_clip.py,241,_tracking_output_summary,OSError,return,True,except OSError:
scripts/run_clip.py,376,main,Exception,pass,True,except Exception:
scripts/run_clip.py,424,main,Exception,logged,False,except Exception as e:
scripts/run_clip.py,470,main,Exception,other,False,except Exception:
scripts/run_clip.py,510,main,Exception,logged,False,except Exception as _e:
scripts/run_clip.py,595,main,Exception,logged,False,except Exception as _e:
src/pipeline/unified_pipeline.py,34,<module>,Exception,pass,True,except Exception:
src/pipeline/unified_pipeline.py,43,<module>,ImportError,other,False,except ImportError:
src/pipeline/unified_pipeline.py,51,<module>,ImportError,other,False,except ImportError:
src/pipeline/unified_pipeline.py,57,<module>,ImportError,pass,True,except ImportError:
src/pipeline/unified_pipeline.py,97,_pyav_frame_iter,ImportError,other,False,except ImportError:
src/pipeline/unified_pipeline.py,116,_pyav_frame_iter,Exception,pass,True,except Exception:
src/pipeline/unified_pipeline.py,161,_decord_frame_iter,Exception,other,False,except Exception:
src/pipeline/unified_pipeline.py,188,_decord_frame_iter,Exception,pass,True,except Exception:
src/pipeline/unified_pipeline.py,192,_decord_frame_iter,Exception,other,False,except Exception:
src/pipeline/unified_pipeline.py,199,_decord_frame_iter,Exception,continue,True,except Exception:
src/pipeline/unified_pipeline.py,214,_decord_frame_iter,Exception,pass,True,except Exception:
src/pipeline/unified_pipeline.py,283,_decode_loop,Exception,pass,True,except Exception:
src/pipeline/unified_pipeline.py,339,<module>,ImportError,other,False,except ImportError:
src/pipeline/unified_pipeline.py,541,_shot_defender_contest,"(ValueError, TypeError)",continue,True,"except (ValueError, TypeError):"
